elapsed_sec,rss_kb,cpu_pct
1777708534.652,32,0.0
1777708535.662,1202128,36.7
1777708536.674,3916768,15.9
1777708537.713,5490656,58.6
1777708538.727,7337280,48.3
1777708539.751,7709584,202.8
1777708540.762,7728272,99.8
1777708541.776,7728784,98.2
1777708542.789,7785200,97.1
1777708543.801,7785232,97.6
1777708544.817,7833904,109.1
1777708545.83,7834080,101.1
1777708546.844,7834096,86.5
1777708547.87,7883712,102.4
1777708548.882,7883776,98.1
1777708549.892,7883776,137.8
1777708550.9,7883824,123.3
1777708551.915,7934368,97.9
1777708552.945,7934368,93.3
1777708553.959,7934528,96.2
1777708554.971,7979056,96.5
1777708555.981,7979072,98.5
1777708556.991,7979200,94.0
1777708558.003,8025888,101.4
1777708559.015,8025712,99.5
1777708560.025,8025888,91.4
1777708561.037,8076240,100.5
1777708562.051,8076240,100.9
1777708563.065,8076336,98.2
1777708564.078,8124144,100.2
1777708565.088,8124176,97.1
1777708566.097,8164560,107.7
1777708567.111,8164576,100.4
1777708568.13,8164592,98.8
1777708569.14,8164592,94.8
1777708570.154,8215344,100.3
1777708571.169,8215344,113.2
1777708572.182,8259392,128.2
1777708573.195,8259216,99.4
1777708574.21,8259392,90.5
1777708575.224,8259408,96.3
1777708576.239,8309312,103.3
1777708577.269,8309312,101.8
1777708578.284,8309312,99.1
1777708579.297,8358960,93.2
1777708580.308,8359136,140.9
1777708581.321,8359168,93.0
1777708582.342,8413408,106.5
1777708583.361,8414432,101.1
1777708584.374,8435328,93.7
1777708585.383,8435360,95.8
