elapsed_sec,rss_kb,cpu_pct
1777708586.424,32,0.0
1777708587.435,5967488,97.5
1777708588.449,7716912,172.2
1777708589.462,7725904,98.5
1777708590.476,7725904,95.7
1777708591.491,7725904,93.1
1777708592.502,7752832,94.0
1777708593.511,7752832,96.2
1777708594.524,7752832,95.6
1777708595.539,7779488,99.2
1777708596.56,7779504,96.7
1777708597.574,7779504,94.6
1777708598.588,7816592,118.3
1777708599.603,7816592,97.3
1777708600.618,7816592,96.6
1777708601.63,7843024,102.7
1777708602.644,7842960,98.3
1777708603.657,7842960,97.5
1777708604.675,7868224,105.5
1777708605.688,7868224,99.4
1777708606.7,7868224,108.2
1777708607.714,7889776,101.8
1777708608.729,7889776,120.9
1777708609.751,7889776,96.2
1777708610.766,7916192,102.4
1777708611.778,7916224,98.3
1777708612.79,7780176,95.2
1777708613.804,7809552,105.0
1777708614.817,7810592,100.6
1777708615.833,7821584,161.4
1777708616.85,7821584,98.5
1777708617.864,7861296,105.0
1777708618.876,7861296,97.2
1777708619.889,7861296,98.9
1777708620.904,7861296,95.3
1777708621.917,7899200,101.8
1777708622.931,7828880,100.6
1777708623.954,7828880,95.5
1777708624.967,7839152,136.7
1777708625.977,7839152,101.6
1777708626.99,7839152,97.6
1777708628.005,7839152,92.8
1777708629.02,7876496,109.1
1777708630.034,7876496,98.5
1777708631.044,7827712,92.2
1777708632.066,7746192,95.9
1777708633.08,7783824,101.5
1777708634.093,7783920,97.0
1777708635.108,7725136,163.8
1777708636.13,6582752,87.9
1777708637.16,6538640,93.5
1777708638.172,6549424,91.7
1777708639.202,6495104,83.1
1777708640.214,5891600,89.5
