elapsed_sec,rss_kb,cpu_pct
1777708981.993,32,0.0
1777708983.005,5220384,97.2
1777708984.016,5452560,86.0
1777708985.028,5454576,98.6
1777708986.041,5506096,97.6
1777708987.051,5506112,99.1
1777708988.065,5614096,99.8
1777708989.075,5614160,96.5
1777708990.089,5614160,98.1
1777708991.103,5720672,189.6
1777708992.113,5720672,111.0
1777708993.127,5803776,98.4
1777708994.154,5832832,98.5
1777708995.168,5832656,96.6
1777708996.178,5832832,96.7
1777708997.19,5940720,97.7
1777708998.201,5940720,98.5
1777708999.212,5940720,98.4
1777709000.224,5940720,99.6
1777709001.238,6080144,165.4
1777709002.248,6080144,98.8
1777709003.262,6080144,123.2
1777709004.274,6080144,97.3
1777709005.286,6188672,99.7
1777709006.299,6188672,97.5
1777709007.312,6188672,98.3
1777709008.322,6188672,97.4
1777709009.333,6296544,100.4
1777709010.348,6296544,99.7
1777709011.364,6296544,95.8
1777709012.378,6403456,102.2
1777709013.386,6403456,149.4
1777709014.401,6403456,120.8
1777709015.412,6403456,98.0
1777709016.425,6510800,97.3
1777709017.438,6510800,97.2
1777709018.453,6510800,95.5
1777709019.465,6510800,96.7
1777709020.479,6618656,99.8
1777709021.493,6618656,95.1
1777709022.506,6618656,98.0
1777709023.52,6725616,277.1
1777709024.532,6725616,193.9
1777709025.545,6725616,99.7
1777709026.56,6833376,191.4
1777709027.574,6833376,95.9
1777709028.588,6833376,97.6
1777709029.605,6833376,99.3
1777709030.621,6941264,97.3
1777709031.63,6941264,96.8
1777709032.642,6941264,96.0
1777709033.656,7048240,154.5
1777709034.669,7048240,115.7
1777709035.682,7048240,96.7
