elapsed_sec,rss_kb,cpu_pct
1777709086.397,32,0.0
1777709087.412,5252576,90.5
1777709088.426,5486320,98.3
1777709089.439,5537696,97.8
1777709090.455,5537904,98.5
1777709091.469,5537904,124.1
1777709092.483,5648368,173.1
1777709093.494,5648384,99.1
1777709094.507,5648384,97.7
1777709095.52,5789984,102.0
1777709096.535,5789984,96.1
1777709097.544,5789984,99.6
1777709098.558,5790016,98.1
1777709099.568,5901120,102.7
1777709100.579,5901120,98.9
1777709101.589,5901120,98.5
1777709102.601,5901120,99.0
1777709103.612,6013072,176.9
1777709104.621,6013072,153.5
1777709105.635,6013728,98.2
1777709106.648,6122608,104.1
1777709107.662,6122608,98.2
1777709108.672,6122608,96.9
1777709109.683,6122608,98.5
1777709110.695,6122608,97.2
1777709111.71,6232480,101.9
1777709112.723,6232656,98.2
1777709113.751,6232656,134.1
1777709114.763,6232656,98.2
1777709115.78,6342560,98.6
1777709116.795,6342560,97.2
1777709117.812,6342560,97.5
1777709118.828,6450448,96.2
1777709119.838,6450448,98.7
1777709120.85,6450448,95.8
1777709121.86,6559520,99.3
1777709122.868,6559520,98.7
1777709123.879,6559520,95.8
1777709124.895,6669520,102.0
1777709125.909,6669520,98.2
1777709126.923,6669520,96.7
1777709127.934,6778160,97.3
1777709128.956,6778160,98.4
1777709129.968,6778160,98.4
1777709130.982,6778160,97.2
1777709131.993,6778160,97.5
1777709133.009,6887648,122.4
1777709134.026,6887648,99.5
1777709135.041,6887648,97.6
1777709136.056,6997408,99.6
1777709137.069,6997584,98.1
1777709138.084,6997584,98.3
1777709139.1,7106080,96.2
1777709140.113,7106256,98.6
1777709141.126,7106256,96.9
1777709142.142,7106256,148.3
