elapsed_sec,rss_kb,cpu_pct
1777709595.048,32,0.0
1777709596.066,3095552,36.5
1777709597.083,7366864,52.6
1777709598.092,7705168,100.6
1777709599.104,7705792,98.8
1777709600.116,7705808,97.9
1777709601.133,7731408,101.4
1777709602.154,7731408,104.3
1777709603.165,7731408,133.8
1777709604.175,7766448,126.1
1777709605.201,7766448,102.9
1777709606.224,7766448,96.4
1777709607.245,7793072,105.3
1777709608.261,7792896,99.7
1777709609.281,7793072,97.0
1777709610.292,7805664,100.1
1777709611.312,7805664,96.9
1777709612.331,7814544,102.4
1777709613.346,7814544,95.6
1777709614.357,7847712,108.0
1777709615.378,7847712,99.5
1777709616.393,7847712,94.3
1777709617.412,7860768,97.5
1777709618.431,7860944,101.5
1777709619.446,7860944,97.1
1777709620.464,7871104,101.7
1777709621.482,7871104,99.5
1777709622.49,7871120,93.1
1777709623.5,7907152,105.9
1777709624.509,7907152,100.5
1777709625.524,7907152,98.1
1777709626.544,7920352,101.0
1777709627.553,7920352,99.6
1777709628.569,7920352,116.0
1777709629.587,7930688,101.4
1777709630.603,7930688,99.4
1777709631.621,7930688,93.7
1777709632.64,7966288,100.4
1777709633.648,7966288,100.6
1777709634.666,7966288,96.5
1777709635.685,7979392,101.4
1777709636.704,7979392,111.0
1777709637.724,7989920,108.2
1777709638.738,7989920,100.7
1777709639.753,7989920,95.8
