elapsed_sec,rss_kb,cpu_pct
1777710101.443,32,0.0
1777710102.458,2405552,36.3
1777710103.477,7009648,82.0
1777710104.49,7690688,100.8
1777710105.506,7698272,99.8
1777710106.52,7655376,93.3
1777710107.531,7583792,81.9
1777710108.545,7607136,99.9
1777710109.558,7607280,98.8
1777710110.573,7614976,106.0
1777710111.585,7614992,117.4
1777710112.599,7615040,98.1
1777710113.615,7648560,102.9
1777710114.628,7648560,102.1
1777710115.638,7648576,93.1
1777710116.652,7658080,101.1
1777710117.666,7658080,96.5
1777710118.682,7687216,98.6
1777710119.7,7689120,98.6
1777710120.713,7689232,98.0
1777710121.728,7689392,97.5
1777710122.742,7722928,105.5
1777710123.756,7722928,97.9
1777710124.772,7722944,97.8
1777710125.785,7732432,96.3
1777710126.799,7732432,98.6
1777710127.81,7732480,95.7
1777710128.823,7751232,98.8
1777710129.836,7751232,100.2
1777710130.856,7751280,110.2
1777710131.867,7787152,101.4
1777710132.882,7787152,98.7
1777710133.896,7787152,93.0
1777710134.913,7796448,101.1
1777710135.923,7796448,94.5
1777710136.936,7814160,96.4
1777710137.948,7814160,100.4
1777710138.981,7814160,135.7
1777710139.994,7850080,109.3
1777710141.007,7850080,99.4
1777710142.024,7850080,92.5
1777710143.039,7850080,96.5
1777710144.05,7859472,95.6
1777710145.065,7859472,96.7
1777710146.08,7877952,108.4
1777710147.095,7877968,99.6
1777710148.105,7878000,146.0
