elapsed_sec,rss_kb,cpu_pct
1777710308.387,32,0.0
1777710309.397,5058848,81.1
1777710310.408,5452672,151.4
1777710311.423,5452672,159.9
1777710312.44,5504208,97.7
1777710313.453,5504240,98.4
1777710314.466,5614160,100.8
1777710315.479,5614192,97.9
1777710316.491,5614192,97.3
1777710317.504,5729472,102.8
1777710318.519,5729472,98.4
1777710319.531,5729504,97.2
1777710320.546,5729504,96.8
1777710321.556,5837600,99.1
1777710322.586,5837600,98.2
1777710323.598,5837600,97.3
1777710324.612,5897376,97.2
1777710325.626,5947072,98.5
1777710326.641,5947072,94.8
1777710327.655,5947072,98.1
1777710328.668,6054096,98.2
1777710329.679,6054096,98.5
1777710330.69,6054096,97.8
1777710331.705,6161488,173.3
1777710332.718,6161488,98.1
1777710333.733,6161488,98.9
1777710334.742,6161488,98.0
1777710335.753,6269184,98.6
1777710336.777,6269360,100.2
1777710337.794,6269360,127.4
1777710338.808,6405696,283.1
1777710339.825,6405696,170.8
1777710340.84,6405696,98.1
1777710341.855,6513840,98.3
1777710342.869,6514016,98.1
1777710343.884,6514016,97.8
1777710344.901,6514016,98.1
1777710345.917,6621856,98.3
1777710346.93,6621856,219.9
1777710347.944,6621856,96.0
1777710348.956,6728064,97.6
1777710349.97,6728240,122.5
1777710350.982,6728240,97.8
1777710351.998,6835264,97.7
1777710353.013,6835264,99.4
1777710354.028,6835264,96.3
1777710355.042,6835264,97.2
1777710356.053,6943056,98.8
1777710357.068,6943056,139.3
1777710358.077,6943056,98.4
1777710359.091,7049936,98.3
1777710360.1,7049936,98.1
1777710361.116,7049936,97.6
