elapsed_sec,rss_kb,cpu_pct
1777710710.8,32,0.0
1777710711.819,4807552,69.0
1777710712.835,5639488,142.6
1777710713.85,5639488,139.1
1777710714.861,5691104,98.3
1777710715.872,5691120,97.0
1777710716.883,5813312,101.0
1777710717.901,5813328,97.6
1777710718.912,5813360,97.8
1777710719.923,5938960,104.6
1777710720.94,5938960,97.0
1777710721.951,5938960,97.7
1777710722.967,6059184,108.8
1777710723.987,6059184,98.1
1777710725.0,6059184,98.3
1777710726.02,6059184,97.5
1777710727.036,6179344,99.1
1777710728.054,6179344,99.8
1777710729.081,6179344,97.8
1777710730.098,6296288,100.3
1777710731.115,6296288,96.6
1777710732.134,6296288,98.6
1777710733.154,6414368,101.9
1777710734.173,6414544,96.3
1777710735.193,6414544,99.1
1777710736.207,6414544,98.0
1777710737.228,6534592,127.1
1777710738.247,6534592,98.8
1777710739.267,6534592,97.2
1777710740.286,6649552,99.5
1777710741.296,6649552,99.1
1777710742.314,6649552,98.1
1777710743.335,6767472,98.7
1777710744.345,6767472,95.9
1777710745.367,6767472,99.4
1777710746.384,6767472,97.1
1777710747.405,6887552,97.0
1777710748.425,6887728,101.0
1777710749.445,6887728,98.2
1777710750.465,7026656,102.0
1777710751.482,7026656,97.7
1777710752.494,7026656,98.9
1777710753.512,7026656,97.6
1777710754.523,7149120,123.4
1777710755.543,7149120,97.5
1777710756.557,7149120,97.0
1777710757.579,7149120,97.7
1777710758.59,7269408,98.4
1777710759.608,7269408,99.8
1777710760.625,7269408,99.7
1777710761.643,7386608,98.3
1777710762.662,7386608,100.4
1777710763.676,7386608,98.7
