tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
5,87.70888929099601,17.541777858199204,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,6.527441033200011,8.400019723922014e-05,5.140037033197586,5.873389983200468,46601.687,41027.639,0.6,1.0,15,6747,823,9.383313443515323,1,m4_paper,2,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,7828.171875,277.4,108.0438202247191,89,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0001_ctx8192_r02_gemma4_e4b_q8_0_tbq4
5,113.88383400099701,22.776766800199404,0.8733333333333333,0.8733333333333333,0.7333333333333333,1.0,1.0,1.0,0.6333333333333333,8.181785191598465,2.981640282087028e-05,6.46440074199927,8.12976838320028,56572.286,56992.342000000004,0.0,1.0,15,6655,881,7.735953111591652,2,m4_paper,5,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6944.46875,447.7,124.76120689655171,116,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0002_ctx8192_r05_qwen35_4b_q8_0_tbq4
5,97.5643845829909,19.51287691659818,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,7.026307324797381,0.0028853495954535902,5.760941374997492,6.721865933400113,50990.6,46385.814,0.6,1.0,15,6835,863,8.845440922818602,3,m4_paper,2,8192,gemma4_e4b,f16/f16,f16,f16,8351.6875,261.9,103.67979797979797,99,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0003_ctx8192_r02_gemma4_e4b_f16_f16
5,48.62195437499031,9.724390874998061,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,3.8436067251954227,1.7575002857483923e-05,2.6927198751975086,3.1876068499987014,28052.433,20517.268,0.6,1.0,15,6748,824,16.947076903676276,4,m4_paper,5,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,7516.9375,177.7,98.19411764705882,51,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0004_ctx8192_r05_gemma4_e4b_q8_0_tbq4
5,58.60260658401239,11.720521316802479,0.8733333333333333,0.8733333333333333,0.7333333333333333,1.0,1.0,1.0,0.6333333333333333,4.267663224801072,2.2224601707421243e-05,3.4551968666026367,3.9971811416005947,31658.253000000004,26757.52,0.0,1.0,15,6656,870,14.845756028834186,5,m4_paper,1,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6719.109375,496.0,110.30819672131148,61,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0005_ctx8192_r01_qwen35_4b_q8_0_tbq4
5,57.98563645800459,11.597127291600918,0.8733333333333333,0.8733333333333333,0.7333333333333333,1.0,1.0,1.0,0.6333333333333333,4.221827991801547,1.6425008652731776e-05,3.2949728500010678,4.0798427081987025,31478.182,26369.624,0.0,1.0,15,6654,878,15.141680830491204,6,m4_paper,2,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6945.984375,302.6,109.77333333333333,60,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0006_ctx8192_r02_qwen35_4b_q8_0_tbq4
5,55.04626316802751,11.009252633605502,0.8133333333333332,0.8133333333333332,0.5333333333333333,1.0,1.0,1.0,0.5333333333333333,4.100068791600643,1.5733198961243033e-05,3.258610933198361,3.650099775195122,30706.146,24191.136,0.0,1.0,15,6655,825,14.987393376398787,7,m4_paper,1,8192,qwen35_4b,f16/f16,f16,f16,6966.4375,222.2,101.92280701754386,57,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0007_ctx8192_r01_qwen35_4b_f16_f16
5,46.62892287399154,9.325784574798309,0.7466666666666667,0.7466666666666667,0.6,1.0,1.0,0.8,0.3333333333333333,3.2980773917981425,0.0022041085961973295,2.70508735839976,3.3199267831980253,26065.449,20455.408,0.6,1.0,15,6838,870,18.65794760799127,8,m4_paper,1,8192,gemma4_e4b,f16/f16,f16,f16,8237.65625,202.8,96.80196078431372,51,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0008_ctx8192_r01_gemma4_e4b_f16_f16
5,52.05887270800304,10.411774541600607,0.7466666666666667,0.7466666666666667,0.6,1.0,1.0,0.8,0.3333333333333333,3.5545420917973387,0.002530066604958847,2.9109808748005888,3.9432328085997144,28750.142,23228.532,0.6,1.0,15,6838,873,16.769475683744364,9,m4_paper,5,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7730.6875,172.2,101.18703703703704,54,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0009_ctx8192_r05_gemma4_e4b_q8_0_q8_0
5,57.87278637402051,11.574557274804102,0.8266666666666665,0.8266666666666665,0.6,1.0,1.0,1.0,0.5333333333333333,4.355428891596967,3.192479780409485e-05,3.4630933416017795,3.755515624996042,32792.662,24898.771,0.0,1.0,15,6651,809,13.97893639977158,10,m4_paper,2,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6976.09375,209.3,101.80166666666668,60,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0010_ctx8192_r02_qwen35_4b_q8_0_q8_0
5,52.59210937401804,10.518421874803607,0.78,0.78,0.4666666666666666,1.0,1.0,1.0,0.4333333333333333,4.008505308398162,1.644179574213922e-05,3.207714674802264,3.3017286751972277,30441.271,22028.941,0.0,1.0,15,6655,755,14.355765703000895,11,m4_paper,1,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6882.453125,208.0,102.01111111111112,54,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0011_ctx8192_r01_qwen35_4b_tbq4_tbq4
5,54.9130887069914,10.98261774139828,0.8,0.8,0.4666666666666666,1.0,1.0,1.0,0.5333333333333333,4.202088883399847,1.4250201638787985e-05,3.30179644979944,3.478278341598343,30606.954999999998,24165.064,0.0,1.0,15,6650,793,14.44100156578949,12,m4_paper,1,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6995.421875,247.8,104.55714285714285,56,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0012_ctx8192_r01_qwen35_4b_q8_0_q8_0
5,47.45870224900136,9.491740449800272,0.7466666666666667,0.7466666666666667,0.6,0.8,1.0,1.0,0.3333333333333333,3.4009631999972045,2.1033798111602665e-05,2.7331650500040268,3.3570964585989715,27533.235,19866.323,0.8,0.8,15,6756,859,18.099947097016866,13,m4_paper,2,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7667.75,135.1,94.55098039215687,51,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0013_ctx8192_r02_gemma4_e4b_q4_0_q4_0
5,54.48822349999682,10.897644699999365,0.8266666666666665,0.8266666666666665,0.6,1.0,1.0,1.0,0.5333333333333333,4.101516541800811,1.6066402895376087e-05,3.2661007418035295,3.5295720250025626,31235.364999999998,23050.366,0.0,1.0,15,6651,786,14.425135368930606,14,m4_paper,3,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,6990.09375,189.8,101.52499999999999,56,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0014_ctx8192_r03_qwen35_4b_q8_0_q8_0
5,57.103745750006055,11.42074915000121,0.8533333333333333,0.8533333333333333,0.7333333333333333,1.0,1.0,1.0,0.5333333333333333,4.06463233359973,1.665860181674361e-05,3.237571541595389,4.11806584999722,30585.7,26373.194,0.0,1.0,15,6659,877,15.358011781563507,15,m4_paper,1,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6874.09375,212.6,104.76440677966103,59,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0015_ctx8192_r01_qwen35_4b_q4_0_q4_0
5,52.62215529198875,10.524431058397749,0.8066666666666666,0.8066666666666666,0.6,1.0,1.0,1.0,0.4333333333333333,3.975690683198627,1.6233391943387687e-05,3.171922149998136,3.3763468580000335,29915.058,22567.416,0.0,1.0,15,6660,781,14.841657390625736,16,m4_paper,2,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,6883.046875,277.1,109.1351851851852,54,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0016_ctx8192_r02_qwen35_4b_q4_0_q4_0
5,46.34204770901124,9.268409541802248,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,3.337936066597467,0.0024233249976532535,2.6113729836040873,3.3162181501975283,25761.133,20501.246,0.6,1.0,15,6838,872,18.816604856898437,17,m4_paper,2,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,8041.734375,137.1,97.46122448979592,49,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0017_ctx8192_r02_gemma4_e4b_q8_0_q8_0
5,54.93707945701317,10.987415891402634,0.8733333333333333,0.8733333333333333,0.7333333333333333,1.0,1.0,1.0,0.6333333333333333,3.8725997498055222,1.531680172774941e-05,3.1122685079986696,4.002079483598936,28933.659,25820.146,0.0,1.0,15,6657,909,16.546201745421666,18,m4_paper,4,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6939.703125,176.9,102.65892857142856,56,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0018_ctx8192_r04_qwen35_4b_q8_0_tbq4
5,46.46928266498435,9.29385653299687,0.7866666666666666,0.7866666666666666,0.6,1.0,1.0,1.0,0.3333333333333333,3.4160914915963074,0.0019376668089535088,2.6140608168003383,3.2612950913986425,25864.935,20533.629,0.6,1.0,15,6839,862,18.54988823938822,19,m4_paper,4,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7983.21875,140.0,95.91632653061224,49,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0019_ctx8192_r04_gemma4_e4b_q8_0_q8_0
5,51.61311245900288,10.322622491800576,0.8266666666666665,0.8266666666666665,0.6,1.0,1.0,1.0,0.5333333333333333,3.870608766801888,1.6575001063756643e-05,3.0772690084006173,3.37417783359997,28944.870000000003,22500.66,0.0,1.0,15,6655,800,15.499937164910426,20,m4_paper,5,8192,qwen35_4b,f16/f16,f16,f16,7219.9375,226.5,100.70188679245283,53,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0020_ctx8192_r05_qwen35_4b_f16_f16
5,44.686966748995474,8.937393349799095,0.8266666666666665,0.8266666666666665,0.7333333333333333,1.0,1.0,1.0,0.4,3.282430316801765,1.8566797371022405e-05,2.6349040667992085,3.0195952416048386,25951.674,18696.124,0.8,1.0,15,6757,794,17.768044191942128,21,m4_paper,4,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7707.671875,136.5,97.48085106382979,47,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0021_ctx8192_r04_gemma4_e4b_q4_0_q4_0
5,50.41795941599412,10.083591883198824,0.78,0.78,0.4666666666666666,1.0,1.0,1.0,0.4333333333333333,3.8530606335989432,1.5032800729386508e-05,3.0933753752033226,3.136706133800908,28920.869,21337.713000000003,0.0,1.0,15,6657,760,15.073993648360643,22,m4_paper,3,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,6878.53125,212.8,103.51538461538462,52,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0022_ctx8192_r03_qwen35_4b_tbq4_tbq4
5,46.104386167018674,9.220877233403735,0.8,0.8,0.6666666666666667,1.0,1.0,1.0,0.3333333333333333,3.3437834997981555,0.0027909670025110245,2.588566291794996,3.2852939914009767,25625.945,20404.775999999998,0.6,1.0,15,6840,869,18.848532043175744,23,m4_paper,3,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,8043.515625,165.4,97.64791666666667,48,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0023_ctx8192_r03_gemma4_e4b_q8_0_q8_0
5,44.69181962500443,8.938363925000886,0.76,0.76,0.6666666666666667,1.0,1.0,0.8,0.3333333333333333,3.2150409079971722,0.002483632799703628,2.548197508402518,3.172192341601476,24748.366,19834.15,0.6,1.0,15,6837,870,19.46664976498848,24,m4_paper,3,8192,gemma4_e4b,f16/f16,f16,f16,8499.453125,164.9,101.80434782608695,46,0,repeat_core8k,core,5,llm,0.0,/Users/ander.alvarez/dev/perso/turboquant-cpu/agent/results/20260502_094633_m4_paper/raw/0024_ctx8192_r03_gemma4_e4b_f16_f16
