elapsed_sec,rss_kb,cpu_pct
1777708710.468,12888,0.0
1777708711.476,136408,101.0
1777708712.486,7381032,130.0
1777708713.496,7455860,193.0
1777708714.507,7485608,296.0
1777708715.517,7492280,358.0
1777708716.527,7492424,399.0
1777708717.539,7493004,429.0
1777708718.551,7493004,451.0
1777708719.563,7493004,468.0
1777708720.576,7496076,482.0
1777708721.591,7496076,494.0
1777708722.607,7496076,503.0
1777708723.623,7496076,511.0
1777708724.639,7496076,518.0
1777708725.654,7496076,524.0
1777708726.666,7516400,529.0
1777708727.679,7516400,534.0
1777708728.69,7516400,538.0
1777708729.702,7516400,542.0
1777708730.718,7516400,545.0
1777708731.733,7516400,548.0
1777708732.747,7516400,551.0
1777708733.761,7516400,553.0
1777708734.776,7516400,556.0
1777708735.787,7532604,558.0
1777708736.798,7532604,559.0
1777708737.808,7532604,561.0
1777708738.82,7532604,563.0
1777708739.831,7532604,564.0
1777708740.842,7532604,566.0
1777708741.853,7532604,567.0
1777708742.866,7532604,568.0
1777708743.878,7532604,569.0
1777708744.89,7532604,570.0
1777708745.905,7532604,572.0
1777708746.92,7532604,573.0
1777708747.932,7556628,573.0
1777708748.943,7556700,574.0
1777708749.954,7556700,575.0
1777708750.966,7556700,576.0
1777708751.977,7556700,577.0
1777708752.988,7556700,577.0
1777708754.003,7556700,578.0
1777708755.015,7556700,579.0
1777708756.027,7556700,579.0
1777708757.04,7556700,580.0
1777708758.054,7556700,581.0
1777708759.069,7556700,569.0
1777708760.084,7556700,570.0
1777708761.096,7577176,571.0
1777708762.107,7577176,571.0
1777708763.118,7577176,572.0
1777708764.129,7577176,573.0
1777708765.14,7577176,573.0
1777708766.155,7577176,574.0
1777708767.169,7577176,575.0
1777708768.181,7577176,575.0
1777708769.196,7577176,576.0
1777708770.211,7577176,576.0
1777708771.221,7594908,577.0
1777708772.233,7594908,577.0
1777708773.244,7594908,578.0
1777708774.255,7594908,578.0
1777708775.267,7594908,578.0
1777708776.278,7594908,579.0
1777708777.293,7594908,579.0
1777708778.308,7594908,580.0
1777708779.323,7594908,580.0
1777708780.338,7594908,581.0
1777708781.353,7594908,581.0
1777708782.364,7618940,581.0
1777708783.375,7618996,582.0
1777708784.387,7618996,582.0
1777708785.398,7618996,582.0
1777708786.409,7618996,583.0
1777708787.42,7618996,583.0
1777708788.435,7618996,583.0
1777708789.451,7618996,584.0
1777708790.466,7618996,584.0
1777708791.481,7618996,584.0
1777708792.495,7618996,584.0
1777708793.506,7639112,585.0
1777708794.517,7639112,585.0
1777708795.528,7639112,585.0
1777708796.539,7639112,585.0
1777708797.55,7639112,586.0
1777708798.561,7639112,586.0
1777708799.573,7639112,586.0
1777708800.585,7639112,586.0
1777708801.599,7639112,587.0
1777708802.612,7639112,587.0
1777708803.626,7639112,587.0
1777708804.636,7658420,587.0
1777708805.648,7658420,587.0
1777708806.659,7658420,588.0
1777708807.67,7658420,588.0
1777708808.682,7658420,588.0
1777708809.693,7658420,588.0
1777708810.709,7658420,588.0
1777708811.725,7658420,589.0
1777708812.741,7658420,589.0
1777708813.757,7658420,589.0
1777708814.772,7658420,589.0
1777708815.787,7658420,589.0
1777708816.799,7682064,590.0
1777708817.81,7682080,590.0
1777708818.822,7682080,590.0
1777708819.833,7682080,590.0
1777708820.846,7682080,590.0
1777708821.857,7682080,590.0
1777708822.87,7682080,590.0
1777708823.885,7682080,591.0
1777708824.9,7682080,591.0
1777708825.915,7682080,591.0
1777708826.928,7682080,591.0
1777708827.942,7682080,591.0
1777708828.954,7702448,591.0
1777708829.965,7702448,591.0
1777708830.976,7702448,592.0
1777708831.988,7702448,592.0
1777708833.0,7702448,592.0
1777708834.011,7702448,592.0
1777708835.026,7702448,592.0
1777708836.042,7702448,592.0
1777708837.057,7702448,592.0
1777708838.073,7702448,588.0
1777708839.084,7720208,588.0
1777708840.096,7720208,588.0
1777708841.107,7720208,588.0
1777708842.118,7720208,588.0
1777708843.13,7720208,589.0
1777708844.145,7720208,589.0
1777708845.161,7720208,589.0
1777708846.177,7720208,589.0
1777708847.193,7720208,589.0
1777708848.209,7720208,589.0
1777708849.225,7720208,589.0
1777708850.236,7737448,590.0
1777708851.248,7737448,590.0
1777708852.26,7737448,590.0
1777708853.271,7737448,590.0
1777708854.282,7737448,590.0
1777708855.293,7737448,590.0
1777708856.304,7737448,590.0
1777708857.315,7737448,590.0
1777708858.331,7737448,590.0
1777708859.347,7737448,591.0
1777708860.363,7737448,591.0
1777708861.378,7737448,591.0
1777708862.393,7737448,591.0
1777708863.403,7757568,591.0
1777708864.415,7757568,591.0
1777708865.426,7757568,591.0
1777708866.437,7757568,591.0
1777708867.448,7757568,591.0
1777708868.464,7757568,591.0
1777708869.48,7757568,592.0
1777708870.495,7757568,592.0
1777708871.51,7757568,592.0
1777708872.526,7757568,592.0
1777708873.537,7787188,592.0
1777708874.549,7787188,592.0
1777708875.56,7788224,592.0
1777708876.571,7788224,592.0
1777708877.582,7788224,592.0
1777708878.594,7788224,592.0
1777708879.606,7788224,593.0
1777708880.617,7796988,593.0
1777708881.633,7796988,593.0
1777708882.648,7796988,593.0
1777708883.663,7796988,593.0
1777708884.677,7796988,593.0
1777708885.692,7796988,593.0
1777708886.704,7796988,593.0
