elapsed_sec,rss_kb,cpu_pct
1777714951.277,12264,0.0
1777714952.284,3576060,100.0
1777714953.297,4539080,279.0
1777714954.306,4659740,385.0
1777714955.317,4660852,440.0
1777714956.328,4660852,473.0
1777714957.339,4660852,495.0
1777714958.349,4660852,511.0
1777714959.361,4660852,523.0
1777714960.375,4715220,532.0
1777714961.39,4715220,540.0
1777714962.401,4732832,546.0
1777714963.412,4771228,549.0
1777714964.424,4771228,554.0
1777714965.434,4771228,557.0
1777714966.445,4771228,561.0
1777714967.455,4822688,563.0
1777714968.467,4822688,566.0
1777714969.479,4822688,568.0
1777714970.491,4822688,570.0
1777714971.504,4822688,572.0
1777714972.516,4822688,574.0
1777714973.527,4822688,575.0
1777714974.537,4878212,575.0
1777714975.548,4878212,577.0
1777714976.559,4878212,578.0
1777714977.57,4878212,579.0
1777714978.581,4878212,580.0
1777714979.592,4878212,581.0
1777714980.602,4929672,582.0
1777714981.614,4929672,582.0
1777714982.624,4985256,583.0
1777714983.635,4985256,583.0
1777714984.647,4985256,584.0
1777714985.658,4985256,585.0
1777714986.669,4985256,585.0
1777714987.68,4985256,586.0
1777714988.692,4985256,586.0
1777714989.704,5036716,587.0
1777714990.715,5036780,587.0
1777714991.728,5036780,588.0
1777714992.74,5036780,588.0
1777714993.752,5036780,589.0
1777714994.764,5036780,589.0
1777714995.776,5036780,590.0
1777714996.788,5036780,590.0
1777714997.8,5036780,590.0
1777714998.812,5093264,590.0
1777714999.824,5093264,591.0
1777715000.835,5093264,591.0
1777715001.847,5093264,591.0
1777715002.858,5093264,592.0
1777715003.87,5144724,592.0
1777715004.882,5144724,592.0
1777715005.893,5144724,592.0
1777715006.91,5144724,593.0
1777715007.922,5144724,593.0
1777715008.935,5144724,593.0
1777715009.946,5144724,593.0
1777715010.958,5200316,593.0
1777715011.97,5200316,593.0
1777715012.982,5200316,594.0
1777715013.994,5200316,594.0
1777715015.006,5200316,594.0
1777715016.016,5251776,594.0
1777715017.031,5251776,594.0
1777715018.043,5251776,595.0
1777715019.055,5251776,595.0
1777715020.067,5251776,586.0
1777715021.08,5251776,587.0
1777715022.09,5308076,587.0
1777715023.102,5308384,587.0
1777715024.113,5308384,587.0
1777715025.124,5308384,587.0
1777715026.135,5308384,588.0
1777715027.146,5308384,588.0
1777715028.156,5359844,588.0
1777715029.168,5359844,588.0
1777715030.181,5359844,589.0
1777715031.193,5359844,589.0
1777715032.206,5359844,589.0
1777715033.217,5359844,589.0
1777715034.229,5359844,589.0
1777715035.241,5359844,590.0
1777715036.252,5359844,590.0
1777715037.263,5359964,590.0
1777715038.273,5416208,590.0
1777715039.284,5416208,590.0
1777715040.295,5416208,590.0
1777715041.306,5416208,590.0
1777715042.317,5467668,591.0
1777715043.329,5467668,591.0
1777715044.34,5522276,591.0
1777715045.351,5522276,591.0
1777715046.362,5522276,591.0
1777715047.373,5522276,591.0
1777715048.385,5522276,591.0
1777715049.396,5573736,591.0
1777715050.407,5573736,592.0
1777715051.419,5573736,592.0
1777715052.429,5629256,592.0
1777715053.44,5629512,592.0
1777715054.451,5629512,592.0
1777715055.462,5629512,592.0
1777715056.473,5629512,592.0
1777715057.484,5629512,592.0
1777715058.496,5680972,593.0
1777715059.509,5680972,593.0
1777715060.521,5680972,593.0
1777715061.532,5680972,593.0
1777715062.545,5680972,593.0
1777715063.557,5680972,593.0
1777715064.57,5680972,593.0
1777715065.582,5680972,593.0
1777715066.594,5680972,593.0
1777715067.605,5737304,593.0
1777715068.616,5737304,594.0
1777715069.627,5737304,594.0
1777715070.638,5737304,594.0
1777715071.649,5737304,594.0
1777715072.659,5737304,594.0
1777715073.671,5788764,594.0
1777715074.688,5788764,594.0
1777715075.7,5788764,594.0
1777715076.713,5788764,594.0
1777715077.724,5788764,594.0
1777715078.737,5788764,595.0
1777715079.744,5892976,595.0
1777715080.755,5846428,595.0
1777715081.766,5846428,595.0
1777715082.777,5846428,595.0
1777715083.788,5846428,595.0
1777715084.8,5846428,595.0
1777715085.812,5846428,595.0
1777715086.824,5897888,595.0
1777715087.836,5898168,595.0
1777715088.849,5898168,595.0
1777715089.861,5898168,595.0
1777715090.873,5898168,595.0
1777715091.885,5898168,595.0
1777715092.896,5898168,596.0
1777715093.908,5898168,596.0
1777715094.922,5898168,596.0
1777715095.934,5898168,596.0
1777715096.95,5898168,596.0
1777715097.962,5898168,596.0
1777715098.977,5898168,596.0
1777715099.989,5898168,596.0
1777715101.002,5898168,596.0
1777715102.016,5898168,596.0
1777715103.033,5898168,596.0
1777715104.043,5955360,596.0
1777715105.054,5955360,596.0
1777715106.065,5955360,593.0
1777715107.076,5955360,593.0
1777715108.089,5955360,593.0
1777715109.101,5955360,593.0
1777715110.112,5955360,593.0
1777715111.123,6006820,593.0
1777715112.135,6006820,593.0
1777715113.147,6006820,593.0
1777715114.159,6006820,593.0
1777715115.172,6006820,593.0
1777715116.184,6006820,593.0
1777715117.197,6006820,593.0
1777715118.208,6006820,594.0
1777715119.22,6006820,594.0
1777715120.231,6063160,594.0
1777715121.242,6063160,594.0
1777715122.253,6063160,594.0
1777715123.264,6063160,594.0
1777715124.275,6063160,594.0
1777715125.286,6063160,594.0
1777715126.297,6114620,594.0
1777715127.309,6114620,594.0
1777715128.321,6114620,594.0
1777715129.333,6114620,594.0
1777715130.345,6114620,594.0
1777715131.357,6114620,594.0
1777715132.369,6179104,594.0
1777715133.38,6179488,594.0
1777715134.392,6179488,594.0
1777715135.402,6179488,594.0
1777715136.414,6179488,595.0
1777715137.427,6179488,595.0
1777715138.439,6179488,595.0
1777715139.45,6230948,595.0
1777715140.461,6233856,595.0
