elapsed_sec,rss_kb,cpu_pct
1777710944.078,32,0.0
1777710945.094,5253792,58.3
1777710946.106,5473616,95.2
1777710947.126,5525712,93.6
1777710948.149,5525712,105.0
1777710949.164,5642224,99.6
1777710950.179,5642224,94.1
1777710951.198,5642288,99.5
1777710952.214,5642288,95.1
1777710953.232,5752384,102.9
1777710954.247,5752208,97.5
1777710955.267,5752432,96.9
1777710956.289,5861280,268.1
1777710957.308,5861280,95.3
1777710958.32,5861280,99.7
1777710959.334,5970224,97.4
1777710960.352,5970224,96.0
1777710961.365,5970224,95.9
1777710962.381,6105392,100.5
1777710963.394,6105392,96.8
1777710964.416,6105392,96.4
1777710965.433,6215552,104.7
1777710966.458,6215552,96.5
1777710967.481,6215552,95.8
1777710968.504,6324304,103.9
1777710969.521,6324304,95.9
1777710970.542,6324256,96.7
1777710971.558,6324304,97.8
1777710972.576,6434480,140.7
1777710973.588,6434480,97.9
1777710974.606,6434480,96.0
1777710975.629,6543168,98.4
1777710976.675,6543168,96.3
1777710977.686,6543168,96.3
1777710978.705,6543168,97.5
1777710979.725,6653344,97.4
1777710980.746,6653344,99.0
1777710981.762,6653344,94.2
1777710982.784,6761984,98.8
1777710983.803,6761984,97.9
1777710984.823,6761984,99.2
1777710985.837,6871920,145.4
1777710986.847,6871920,97.3
1777710987.867,6871920,98.7
1777710988.882,6980576,98.6
1777710989.902,6980576,97.6
1777710990.911,6980576,96.8
1777710991.932,6980576,97.9
1777710992.956,7090384,167.6
1777710993.987,7090384,95.7
1777710995.007,7090384,97.0
1777710996.022,7090384,95.7
1777710997.042,7199760,97.6
1777710998.058,7199760,94.7
1777710999.077,7199760,98.0
1777711000.096,7199760,98.7
1777711001.113,7330768,237.2
1777711002.133,7330768,96.1
1777711003.15,7330768,96.4
1777711004.175,7330768,97.0
1777711005.194,7441632,98.7
1777711006.212,7441632,95.7
1777711007.232,7441632,99.6
1777711008.254,7550240,95.8
1777711009.266,7550240,95.2
1777711010.288,7550240,99.3
1777711011.305,7659424,96.4
1777711012.324,7659424,96.4
1777711013.343,7659424,92.0
1777711014.359,7768240,99.0
1777711015.378,7768240,98.7
1777711016.395,7768240,97.2
1777711017.405,7877040,95.2
1777711018.425,7877040,99.0
1777711019.435,7877040,93.7
1777711020.453,7995360,102.1
1777711021.47,7995360,95.8
1777711022.491,7995360,124.4
1777711023.505,8106032,91.0
1777711024.524,8106032,120.1
1777711025.535,8106032,96.0
1777711026.547,8106032,98.1
1777711027.567,8215568,100.9
1777711028.583,8215568,96.6
1777711029.599,8215392,98.1
1777711030.618,8215568,94.9
1777711031.629,8326752,141.5
1777711032.646,8326752,104.4
1777711033.665,8326752,98.5
1777711034.678,8326752,96.1
1777711035.69,8326752,94.4
1777711036.705,8436512,95.4
1777711037.724,8436512,93.1
1777711038.76,8436512,148.3
1777711039.784,8544336,98.2
1777711040.796,8544336,100.4
1777711041.813,8653168,98.3
1777711042.833,8653168,95.6
1777711043.852,8653168,98.0
1777711044.871,8653168,97.5
1777711045.886,8653168,100.8
1777711046.907,8762480,123.3
1777711047.915,8762480,109.7
1777711048.926,8762480,234.5
1777711049.941,8762480,97.6
1777711050.961,8762480,93.6
1777711051.978,8873296,98.4
1777711052.992,8873296,98.1
1777711054.003,8873296,97.4
1777711055.018,8981760,97.6
1777711056.038,8981936,97.1
1777711057.058,8981936,94.5
1777711058.073,8981936,97.1
1777711059.092,9091328,99.6
1777711060.11,9091152,97.5
1777711061.134,9091328,97.0
1777711062.149,9091344,102.8
1777711063.167,9091344,154.6
1777711064.19,9091344,98.0
1777711065.201,9200656,99.1
1777711066.214,9200656,94.1
1777711067.235,9200656,98.5
1777711068.244,9309424,97.5
1777711069.26,9309424,96.9
1777711070.271,9309424,96.5
1777711071.292,9418288,94.6
1777711072.312,9418464,96.5
1777711073.326,9418464,97.6
1777711074.342,9418464,97.7
1777711075.361,9418464,96.9
1777711076.373,9527744,97.4
1777711077.384,9527744,95.4
1777711078.404,9527744,97.4
1777711079.412,9527664,96.0
1777711080.435,9527744,114.1
1777711081.446,9636560,96.9
1777711082.459,9636560,98.3
1777711083.47,9636560,98.2
1777711084.482,9745168,98.5
1777711085.5,9745168,96.3
1777711086.52,9745168,95.4
1777711087.531,9854320,101.6
1777711088.541,9854320,91.8
1777711089.556,9854320,112.3
1777711090.573,9854320,100.6
1777711091.589,9854320,98.8
1777711092.608,9854320,97.2
1777711093.619,9854320,96.2
1777711094.634,9964096,103.3
1777711095.655,9964096,96.1
1777711096.69,9964096,157.1
1777711097.71,9963952,96.6
1777711098.73,9964128,189.1
1777711099.747,9964128,96.2
1777711100.767,9964128,94.7
1777711101.794,9964128,97.9
