elapsed_sec,rss_kb,cpu_pct
1777711251.298,32,0.0
1777711252.315,6181072,98.8
1777711253.333,7698656,94.7
1777711254.342,7705984,98.6
1777711255.36,7706064,97.2
1777711256.37,7760576,109.5
1777711257.387,7762064,98.9
1777711258.401,7772800,99.0
1777711259.42,7810688,95.9
1777711260.43,7810688,99.5
1777711261.452,7810688,94.5
1777711262.483,7847280,106.3
1777711263.499,7847280,98.8
1777711264.518,7847280,121.8
1777711265.532,7882784,104.6
1777711266.543,7882784,98.0
1777711267.562,7882784,96.7
1777711268.58,7916064,100.7
1777711269.599,7916064,96.3
1777711270.618,7916064,97.3
1777711271.636,7951728,108.1
1777711272.656,7951728,103.4
1777711273.667,7951728,91.9
1777711274.693,7984864,97.6
1777711275.708,7984864,100.5
1777711276.728,7984864,96.1
1777711277.739,8019536,103.1
1777711278.758,8019536,101.4
1777711279.781,8019536,135.9
1777711280.8,8052416,98.3
1777711281.822,8052416,98.4
1777711282.837,8052416,92.1
1777711283.854,8087328,99.6
1777711284.872,8087344,98.5
1777711285.885,8122800,95.1
1777711286.896,8123184,101.3
1777711287.923,8123184,98.1
1777711288.943,8123184,96.5
1777711289.962,8162080,102.6
1777711290.98,8162080,101.1
1777711291.999,8162080,96.0
1777711293.015,8195184,96.7
1777711294.036,8195184,97.6
1777711295.05,8229424,107.3
1777711296.061,8229424,98.7
1777711297.083,8229424,96.4
1777711298.1,8262544,104.1
1777711299.117,8262544,101.7
1777711300.131,8262544,97.0
1777711301.145,8297344,99.7
1777711302.155,8297344,92.9
1777711303.17,8297344,104.2
1777711304.18,8297344,127.8
1777711305.2,8297360,93.7
1777711306.217,8332096,99.3
1777711307.24,8331920,98.5
1777711308.256,8332096,97.1
1777711309.267,8332096,94.2
1777711310.284,8332096,95.4
1777711311.297,8368208,97.0
1777711312.309,8368208,96.1
1777711313.324,8368208,123.9
1777711314.334,8368208,99.1
1777711315.356,8368208,93.9
1777711316.376,8406080,97.2
1777711317.386,8406096,99.3
1777711318.399,8446976,95.4
1777711319.417,8446976,96.9
1777711320.442,8446976,94.3
1777711321.46,8446976,121.9
1777711322.472,8483744,101.8
1777711323.483,8483744,95.5
1777711324.501,8516592,112.1
1777711325.517,8516592,100.6
1777711326.534,8516592,96.9
1777711327.554,8553248,95.0
1777711328.566,8553072,96.4
1777711329.585,8553248,152.7
1777711330.599,8553248,122.7
1777711331.612,8553248,94.8
1777711332.629,8589856,100.9
1777711333.647,8589856,99.6
1777711334.658,8622528,107.5
1777711335.677,8622528,98.5
1777711336.696,8622528,95.1
1777711337.716,8622528,99.4
1777711338.738,8657264,98.1
1777711339.758,8657264,95.9
1777711340.775,8690448,107.9
1777711341.794,8690448,99.9
1777711342.812,8690448,96.8
1777711343.827,8690448,97.0
1777711344.839,8725632,96.9
1777711345.849,8725632,97.6
1777711346.863,8756528,160.6
1777711347.882,8756528,99.9
1777711348.903,8756528,96.1
1777711349.913,8790256,100.1
1777711350.932,8790256,93.9
1777711351.956,8790256,100.1
1777711352.975,8790256,97.1
1777711353.995,8802096,98.8
1777711355.013,8802096,99.1
1777711356.027,8834512,96.8
1777711357.045,8834512,101.4
1777711358.065,8834512,101.4
1777711359.079,8834512,97.6
1777711360.092,8834512,95.5
1777711361.107,8870736,103.3
1777711362.121,8870736,101.0
1777711363.144,8870736,95.8
1777711364.166,8903392,100.7
1777711365.187,8903392,98.1
1777711366.206,8903392,96.6
1777711367.225,8938928,101.7
1777711368.235,8938928,96.4
1777711369.245,8971632,107.0
1777711370.262,8971632,108.7
1777711371.278,8971648,96.1
1777711372.3,8971648,95.8
1777711373.317,9008704,98.5
1777711374.331,9023568,106.7
1777711375.351,9023568,101.5
1777711376.367,9023568,99.4
1777711377.386,9023568,95.6
1777711378.407,9053712,105.0
1777711379.417,9053712,98.1
1777711380.43,9053712,96.9
1777711381.451,9086448,98.3
1777711382.46,9086448,97.8
1777711383.473,9120768,98.8
1777711384.497,9120768,95.4
1777711385.513,9120784,99.4
1777711386.525,9120784,97.9
1777711387.542,9120784,113.8
1777711388.562,9156240,97.9
1777711389.576,9156240,101.5
1777711390.586,9156240,100.9
1777711391.604,9156240,96.0
1777711392.622,9156240,95.3
