elapsed_sec,rss_kb,cpu_pct
1777711393.668,32,0.0
1777711394.681,6241264,96.9
1777711395.7,7664080,93.1
1777711396.716,7676496,93.7
1777711397.732,7676512,96.2
1777711398.749,7715088,93.8
1777711399.768,7715088,102.0
1777711400.785,7715104,95.3
1777711401.799,7740000,100.8
1777711402.819,7740000,93.4
1777711403.837,7761264,103.7
1777711404.855,7761264,100.6
1777711405.876,7761264,97.6
1777711406.893,7784720,99.2
1777711407.902,7784720,98.7
1777711408.921,7841408,109.9
1777711409.941,7842240,148.4
1777711410.956,7842256,99.7
1777711411.974,7864304,101.7
1777711412.993,7864304,99.2
1777711414.004,7864304,94.7
1777711415.018,7903008,102.8
1777711416.027,7903008,98.4
1777711417.052,7903008,98.9
1777711418.07,7932128,102.5
1777711419.091,7932128,97.6
1777711420.107,7979952,136.7
1777711421.123,7979952,101.5
1777711422.136,7979952,96.3
1777711423.152,8001360,102.5
1777711424.175,8001376,97.3
1777711425.194,8032432,110.9
1777711426.209,8032432,100.9
1777711427.228,8032432,97.6
1777711428.247,8064288,99.4
1777711429.266,8064288,104.0
1777711430.282,8064288,102.6
1777711431.301,8064288,97.7
1777711432.318,8085216,101.9
1777711433.338,8085216,100.0
1777711434.358,8127440,109.8
1777711435.374,8127648,115.9
1777711436.389,8127648,98.2
1777711437.407,8127648,96.4
1777711438.422,8142496,95.7
1777711439.442,8159424,100.8
1777711440.458,8159424,100.6
1777711441.473,8159424,95.3
1777711442.485,8188384,100.8
1777711443.499,8188400,134.4
1777711444.514,8188400,98.4
1777711445.53,8188400,99.7
1777711446.541,8208416,98.5
1777711447.554,8208416,101.0
1777711448.576,8208416,99.0
1777711449.586,8232032,105.4
1777711450.602,8232032,102.2
1777711451.621,8232032,96.8
1777711452.632,8256960,128.3
1777711453.65,8256960,126.7
1777711454.665,8280384,103.4
1777711455.687,8280384,99.3
1777711456.703,8280384,98.7
1777711457.722,8305312,99.6
1777711458.739,8305312,98.4
1777711459.756,8337072,106.1
1777711460.772,8337072,102.1
1777711461.79,8337072,94.3
1777711462.809,8357584,100.3
1777711463.829,8357584,96.6
1777711464.842,8381200,104.0
1777711465.862,8381200,98.7
1777711466.878,8381200,94.4
1777711467.896,8414560,103.4
1777711468.907,8414576,101.9
1777711469.922,8414576,98.6
1777711470.94,8450896,101.2
1777711471.959,8459424,101.4
1777711472.972,8459600,92.9
1777711473.992,8483200,97.4
1777711475.011,8483200,102.2
1777711476.029,8483200,97.7
1777711477.047,8483200,96.0
1777711478.065,8501824,108.8
1777711479.081,8501824,103.2
1777711480.103,8501824,100.1
1777711481.161,8541264,100.5
1777711482.182,8541264,122.7
1777711483.2,8541264,114.1
1777711484.219,8554768,99.2
1777711485.231,8554768,101.2
1777711486.247,8554768,102.0
1777711487.265,8554768,98.3
1777711488.283,8566480,98.8
1777711489.303,8566480,95.6
1777711490.317,8582144,129.1
1777711491.334,8582144,101.5
1777711492.353,8582144,99.6
1777711493.368,8599376,103.8
1777711494.378,8599376,97.9
1777711495.398,8623136,102.7
1777711496.406,8632208,100.1
1777711497.427,8632208,92.3
1777711498.443,8657232,96.6
1777711499.454,8657232,104.1
1777711500.468,8657232,95.8
1777711501.477,8689216,101.6
1777711502.489,8689216,101.3
1777711503.508,8689216,94.8
1777711504.528,8722624,109.5
1777711505.538,8722624,102.8
1777711506.551,8722624,99.2
1777711507.571,8754256,101.0
1777711508.588,8754256,99.8
1777711509.607,8787152,96.7
1777711510.628,8786976,109.8
1777711511.647,8787152,99.5
1777711512.67,8787152,99.3
1777711513.691,8787152,97.0
1777711514.702,8807632,101.2
1777711515.711,8807632,99.5
1777711516.731,8807632,101.7
1777711517.747,8807632,96.2
1777711518.765,8832656,95.5
1777711519.784,8832656,98.1
1777711520.795,8832656,100.1
1777711521.81,8832656,98.5
1777711522.829,8832656,94.8
