elapsed_sec,rss_kb,cpu_pct
1777711523.873,32,0.1
1777711524.885,6590640,98.1
1777711525.901,7791856,95.6
1777711526.916,7813184,102.5
1777711527.935,7813248,96.1
1777711528.954,7875136,101.6
1777711529.974,7891792,99.6
1777711530.988,7891792,91.0
1777711532.005,7951632,101.1
1777711533.02,7951632,97.5
1777711534.037,8036192,106.7
1777711535.056,8037856,100.2
1777711536.07,8059968,100.0
1777711537.088,8059968,97.6
1777711538.109,8150960,98.2
1777711539.119,8151136,103.2
1777711540.137,8151312,102.1
1777711541.156,8151312,97.5
1777711542.176,8180288,107.6
1777711543.192,8180288,102.3
1777711544.211,8180288,93.6
1777711545.228,8205184,102.5
1777711546.236,8221888,96.0
1777711547.251,8282048,102.0
1777711548.263,8282048,99.3
1777711549.281,8311296,110.9
1777711550.3,8311296,121.8
1777711551.319,8311296,94.6
1777711552.337,8396096,101.8
1777711553.355,8396272,101.4
1777711554.376,8396272,97.7
1777711555.396,8472400,102.6
1777711556.416,8472400,99.3
1777711557.432,8472400,95.5
1777711558.447,8552128,96.4
1777711559.457,8552128,101.3
1777711560.472,8552128,93.8
1777711561.493,8628176,102.1
1777711562.512,8628176,94.3
1777711563.531,8628176,97.9
1777711564.549,8709872,91.4
1777711565.569,8710048,99.5
1777711566.584,8710048,96.9
1777711567.604,8785984,101.6
1777711568.625,8785984,100.0
1777711569.643,8785984,92.0
1777711570.661,8864704,99.7
1777711571.681,8864704,97.8
1777711572.701,8940128,101.4
1777711573.72,8940128,101.2
1777711574.748,8940128,94.5
1777711575.757,9019024,99.4
1777711576.777,9023136,109.2
1777711577.796,9023136,99.6
1777711578.807,9023136,96.7
1777711579.828,9073728,100.9
1777711580.848,9073728,100.6
1777711581.862,9127280,109.3
1777711582.88,9127280,99.2
1777711583.899,9127280,98.3
1777711584.909,9127280,98.4
1777711585.931,9188176,96.2
1777711586.95,9188224,103.3
1777711587.966,9208288,100.1
1777711588.979,9208288,106.9
1777711589.989,9293376,100.6
1777711591.003,9293376,99.2
1777711592.026,9368656,95.8
1777711593.044,9368832,98.6
1777711594.059,9368832,100.7
1777711595.076,9451952,94.5
1777711596.095,9451952,102.3
1777711597.109,9451952,100.0
1777711598.129,9451952,97.6
1777711599.149,9497232,101.2
1777711600.168,9497232,89.3
1777711601.187,9525168,100.8
1777711602.205,9525168,103.0
1777711603.224,9525168,98.1
1777711604.245,9612016,97.4
1777711605.26,9612016,131.7
1777711606.277,9612016,99.1
1777711607.295,9612016,94.7
1777711608.306,9658336,107.6
1777711609.32,9658336,103.1
1777711610.339,9658336,93.9
1777711611.349,9713920,98.3
1777711612.367,9713920,100.6
1777711613.387,9713920,124.9
1777711614.406,9772304,101.5
1777711615.424,9772304,100.4
1777711616.436,9827056,104.5
1777711617.45,9827056,101.8
1777711618.47,9827056,92.7
1777711619.482,9885504,106.6
1777711620.507,8357888,95.3
1777711621.519,8358208,98.6
1777711622.544,8403968,102.9
1777711623.559,8393424,101.0
1777711624.578,8414656,97.7
1777711625.604,8502192,106.1
1777711626.616,8502192,102.7
1777711627.633,8502192,97.8
1777711628.654,8576752,101.8
1777711629.673,8576752,97.7
1777711630.691,8576752,97.2
1777711631.71,8660240,99.9
1777711632.731,8663360,110.8
1777711633.753,8663360,100.7
1777711634.771,8663360,97.4
1777711635.79,8769232,97.9
1777711636.803,8769264,132.3
1777711637.816,8769264,100.6
1777711638.829,8701104,96.5
1777711639.848,8665680,108.2
1777711640.859,8665680,104.5
1777711641.871,8665680,96.9
1777711642.889,8666736,101.2
1777711643.91,8666736,98.6
1777711644.923,8666736,97.6
1777711645.94,8656832,127.6
1777711646.954,8657008,94.0
1777711647.973,8712672,102.8
1777711648.983,8712672,101.5
1777711650.007,8712672,97.3
1777711651.026,8771040,100.4
1777711652.045,8771040,98.8
1777711653.059,8826320,104.1
1777711654.075,8826320,100.0
1777711655.092,8826320,97.7
