elapsed_sec,rss_kb,cpu_pct
1777711656.15,32,0.0
1777711657.164,1740336,23.2
1777711658.197,5408160,40.8
1777711659.215,5624416,96.7
1777711660.227,5676032,124.5
1777711661.248,5676048,99.0
1777711662.267,5816640,95.5
1777711663.285,5816592,102.4
1777711664.294,5936704,98.0
1777711665.308,5938400,100.4
1777711666.335,5938448,97.5
1777711667.347,6055504,127.5
1777711668.364,6055504,221.2
1777711669.375,6055504,98.8
1777711670.386,6173520,125.6
1777711671.405,6173520,99.1
1777711672.423,6173520,98.6
1777711673.437,6290448,101.7
1777711674.452,6290272,99.2
1777711675.472,6290448,97.8
1777711676.484,6290448,98.5
1777711677.503,6409632,101.3
1777711678.523,6409632,94.7
1777711679.536,6409632,100.1
1777711680.548,6528736,102.5
1777711681.569,6528736,100.1
1777711682.588,6528736,99.4
1777711683.605,6646176,98.2
1777711684.625,6646176,125.7
1777711685.637,6646176,125.5
1777711686.657,6767392,100.4
1777711687.675,6767392,100.8
1777711688.689,6767392,94.6
1777711689.707,6888112,99.4
1777711690.725,6888112,99.0
1777711691.742,6888112,97.6
1777711692.759,7005392,98.6
1777711693.767,7005392,99.5
1777711694.787,7005392,97.8
1777711695.808,7124160,101.0
1777711696.829,7124160,97.4
1777711697.843,7124160,98.5
1777711698.86,7240544,99.3
1777711699.871,7240544,99.6
1777711700.883,7240544,100.0
1777711701.902,7359712,104.3
1777711702.918,7359712,153.9
1777711703.938,7359712,100.1
1777711704.954,7476896,106.1
1777711705.972,7476896,99.4
1777711706.98,7476912,97.8
1777711707.997,7595408,102.7
1777711709.015,7595408,97.0
1777711710.033,7595408,97.9
1777711711.051,7710160,99.7
1777711712.071,7710336,99.6
1777711713.089,7710336,93.9
1777711714.106,7828192,96.9
1777711715.125,7828192,99.4
1777711716.145,7828192,98.7
1777711717.163,7945024,97.5
1777711718.176,7945024,122.5
1777711719.196,7945024,146.2
1777711720.211,8063936,100.3
1777711721.229,8063936,99.4
1777711722.245,8063936,95.1
1777711723.264,8129456,101.4
1777711724.281,8129456,99.1
1777711725.301,8163600,98.8
1777711726.323,8196496,120.6
1777711727.343,8197344,199.9
1777711728.351,8197344,96.1
1777711729.37,8197344,98.0
1777711730.387,8317344,101.5
1777711731.405,8317408,100.8
1777711732.423,8317344,98.1
1777711733.439,8413376,104.1
1777711734.455,8413376,208.2
1777711735.466,8413376,99.4
1777711736.484,8413376,99.3
1777711737.504,8484288,98.9
1777711738.516,8484112,104.3
1777711739.533,8484288,99.1
1777711740.546,8484288,98.8
1777711741.564,8602912,100.3
1777711742.581,8602912,97.6
1777711743.595,8602912,98.4
1777711744.612,8602912,124.2
1777711745.628,8602912,101.0
1777711746.648,8602912,96.9
1777711747.667,8721952,101.6
1777711748.687,8721952,100.7
1777711749.704,8721952,97.7
1777711750.724,8838912,101.3
1777711751.743,8838912,202.9
1777711752.759,8838912,97.6
1777711753.781,8838912,97.9
1777711754.799,8959680,97.3
1777711755.818,8959680,105.4
1777711756.84,8959680,98.9
1777711757.86,8959680,98.5
1777711758.88,9078688,130.4
1777711759.895,9078688,97.8
1777711760.909,9078688,99.7
1777711761.925,9195536,103.6
1777711762.948,9195536,98.7
1777711763.957,9195536,99.1
1777711764.977,9195536,99.5
1777711765.997,9315408,105.8
1777711767.016,9315408,288.1
1777711768.036,9315408,98.5
1777711769.059,9434528,102.0
1777711770.068,9434528,98.3
1777711771.077,9434528,100.0
1777711772.087,9434528,99.0
1777711773.106,9556928,100.7
1777711774.125,9556928,98.2
1777711775.139,9556928,97.3
1777711776.155,9684368,104.2
1777711777.174,9684368,98.3
1777711778.184,9684368,98.2
1777711779.198,9684368,96.9
1777711780.216,9808096,99.9
1777711781.24,9808096,99.3
1777711782.254,9808096,99.5
1777711783.263,9808096,100.3
1777711784.272,9925344,100.4
1777711785.285,9925344,111.0
1777711786.305,9925360,222.9
1777711787.321,9925360,219.0
1777711788.34,9925360,92.6
1777711789.356,9925360,99.4
1777711790.376,10047792,100.5
1777711791.395,10047792,99.3
1777711792.408,10047792,98.8
1777711793.427,10047792,99.7
1777711794.448,10047792,151.6
1777711795.463,10047792,97.6
1777711796.483,10170800,103.7
1777711797.498,10170800,98.7
1777711798.506,10170800,94.2
1777711799.519,10288112,102.9
1777711800.54,10288112,99.8
1777711801.558,10288112,104.7
1777711802.577,10406032,99.5
1777711803.597,10406032,98.0
1777711804.614,10406032,99.1
1777711805.631,10523280,103.6
1777711806.647,10523280,98.7
1777711807.665,10523280,98.6
