elapsed_sec,rss_kb,cpu_pct
1777711808.72,32,0.0
1777711809.739,1395232,31.5
1777711810.751,4149136,14.0
1777711811.778,7341776,31.7
1777711812.796,7634336,98.0
1777711813.809,7637712,98.2
1777711814.828,7670160,101.2
1777711815.843,7674224,125.3
1777711816.862,7694624,99.9
1777711817.874,7699200,98.8
1777711818.893,7699216,96.0
1777711819.914,7748848,108.0
1777711820.929,7748848,98.5
1777711821.948,7748864,99.8
1777711822.961,7765920,94.1
1777711823.979,7765936,100.4
1777711824.991,7765936,95.8
1777711826.011,7808576,102.3
1777711827.02,7808576,102.3
1777711828.041,7808576,100.0
1777711829.062,7817744,100.6
1777711830.079,7817744,98.7
1777711831.098,7837920,104.0
1777711832.108,7837920,101.6
1777711833.126,7837920,99.0
1777711834.143,7856336,106.2
1777711835.153,7856336,101.6
1777711836.171,7873824,96.3
1777711837.19,7880512,100.0
1777711838.209,7880512,99.1
1777711839.224,7898880,105.0
1777711840.24,7898880,100.9
1777711841.259,7898896,98.4
1777711842.276,7923152,101.5
1777711843.286,7923152,95.3
1777711844.3,7941280,105.3
1777711845.322,7941280,102.0
1777711846.343,7941296,97.8
1777711847.36,7974608,101.7
1777711848.371,7974624,106.2
1777711849.391,7974640,96.9
1777711850.409,7987280,101.4
1777711851.428,7987312,97.8
1777711852.439,8029904,107.7
1777711853.452,8029904,99.9
1777711854.465,8029920,98.4
1777711855.485,8039104,105.5
1777711856.503,8039104,99.0
1777711857.522,8059008,96.5
1777711858.541,8059184,85.6
1777711859.56,8059184,97.2
1777711860.578,8077312,95.2
1777711861.597,8089392,97.7
1777711862.614,8089392,100.5
1777711863.635,8089392,99.4
1777711864.653,8097968,150.2
1777711865.669,8097968,101.8
1777711866.688,8097968,97.0
1777711867.709,8125104,101.9
1777711868.728,8125104,98.0
1777711869.739,8143104,106.6
1777711870.761,8143280,103.1
1777711871.781,8160608,128.6
1777711872.798,8185760,99.6
1777711873.815,8185760,96.1
1777711874.831,8194992,98.4
1777711875.849,8194992,99.2
1777711876.867,8194992,97.0
1777711877.887,8233552,102.7
1777711878.902,8233552,101.8
1777711879.92,8233552,127.7
1777711880.938,8242784,102.4
1777711881.958,8242784,100.0
1777711882.97,8272400,107.4
1777711883.988,8272400,100.6
1777711885.004,8272400,95.3
1777711886.021,8284896,97.6
1777711887.037,8297008,101.8
1777711888.053,8297008,102.2
1777711889.072,8297024,98.2
1777711890.088,8309584,99.5
1777711891.1,8309584,100.1
1777711892.117,8333808,104.7
1777711893.129,8333808,102.5
1777711894.147,8333808,96.2
1777711895.165,8352064,103.8
1777711896.179,8352064,99.1
1777711897.195,8368992,154.4
1777711898.212,8368992,99.7
1777711899.227,8368992,98.7
1777711900.251,8382768,97.0
1777711901.262,8386112,101.1
1777711902.278,8390320,98.9
1777711903.291,8398128,108.8
1777711904.31,8398128,98.1
1777711905.331,8398128,102.1
1777711906.341,8419264,152.0
1777711907.355,8419264,99.0
1777711908.369,8419264,97.2
1777711909.392,8434064,102.0
1777711910.411,8434064,97.8
1777711911.43,8451008,105.0
1777711912.447,8451008,100.2
1777711913.461,8451008,98.2
1777711914.469,8468288,101.4
1777711915.488,8468288,111.9
1777711916.507,8475488,102.3
1777711917.527,8475488,100.9
1777711918.545,8475488,88.3
1777711919.565,8485776,96.9
1777711920.584,8508048,101.1
1777711921.595,8508048,102.7
1777711922.611,8508048,107.3
1777711923.631,8522336,104.1
1777711924.645,8522336,100.7
1777711925.663,8541552,99.0
1777711926.681,8541552,100.9
1777711927.7,8541552,95.7
1777711928.711,8541552,96.4
1777711929.73,8559104,95.8
1777711930.74,8575280,104.4
1777711931.755,8575280,105.0
1777711932.769,8575280,97.9
1777711933.781,8588128,100.9
1777711934.795,8588112,98.5
1777711935.812,8588112,100.4
1777711936.827,8588112,98.5
1777711937.849,8588112,99.3
