elapsed_sec,rss_kb,cpu_pct
1777711938.886,32,0.0
1777711939.894,5216496,85.1
1777711940.91,5428448,87.8
1777711941.924,5480032,98.7
1777711942.954,5480032,100.0
1777711943.97,5605520,103.3
1777711944.989,5605392,98.6
1777711946.009,5605568,100.0
1777711947.027,5605568,124.9
1777711948.048,5713728,99.6
1777711949.063,5713760,99.1
1777711950.081,5713760,97.8
1777711951.101,5820768,100.7
1777711952.122,5820768,98.5
1777711953.136,5820768,98.4
1777711954.155,5928224,102.7
1777711955.167,5928224,98.1
1777711956.187,5928224,99.2
1777711957.198,6035264,155.8
1777711958.217,6035264,98.4
1777711959.235,6035264,98.3
1777711960.251,6142640,103.5
1777711961.27,6142640,98.9
1777711962.287,6142640,98.0
1777711963.307,6256960,127.0
1777711964.325,6261072,237.8
1777711965.337,6261072,99.1
1777711966.353,6261072,98.8
1777711967.373,6368544,99.5
1777711968.39,6368544,95.3
1777711969.411,6368544,98.8
1777711970.428,6480544,101.0
1777711971.441,6480544,127.3
1777711972.46,6480544,98.9
1777711973.473,6480544,97.7
1777711974.483,6588336,101.5
1777711975.501,6588336,99.0
1777711976.519,6588336,96.0
1777711977.543,6695376,99.4
1777711978.558,6695376,98.7
1777711979.576,6695376,97.2
1777711980.61,6695376,98.1
1777711981.634,6802656,102.3
1777711982.652,6802624,97.6
1777711983.664,6802656,95.9
1777711984.683,6941440,102.7
1777711985.698,6941440,97.8
1777711986.713,6941440,99.7
1777711987.733,6941440,99.6
1777711988.746,6941440,96.7
1777711989.763,7050240,97.8
1777711990.78,7050240,98.1
1777711991.805,7050240,97.9
1777711992.826,7050240,98.2
1777711993.841,7117280,228.2
1777711994.858,7117280,97.6
1777711995.877,7117296,97.6
1777711996.897,7117296,96.6
1777711997.91,7174336,97.2
1777711998.928,7174240,99.1
1777711999.946,7174336,99.0
1777712000.96,7281232,134.1
1777712001.978,7281232,172.2
1777712002.992,7281232,99.9
1777712004.005,7389024,100.5
1777712005.019,7389056,99.4
1777712006.038,7389056,98.1
1777712007.057,7389056,94.5
1777712008.076,7444320,98.5
1777712009.088,7444496,353.6
1777712010.099,7444496,97.0
1777712011.118,7444496,97.0
1777712012.134,7500944,96.6
1777712013.152,7500944,99.0
1777712014.171,7500960,98.7
1777712015.186,7557296,103.6
1777712016.205,7557296,96.8
1777712017.224,7557296,97.3
1777712018.242,7614032,96.8
1777712019.26,7613856,99.1
1777712020.279,7614032,99.0
1777712021.289,7614032,100.0
1777712022.308,7721024,99.3
1777712023.325,7720848,98.4
1777712024.334,7721024,98.0
1777712025.35,7827936,97.4
1777712026.367,7828112,98.1
1777712027.386,7828112,96.8
1777712028.399,7935024,121.0
1777712029.419,7935024,98.9
1777712030.435,7935024,98.2
1777712031.455,7935024,97.9
1777712032.468,8043280,97.7
1777712033.488,8043280,158.6
1777712034.507,8043280,153.1
1777712035.523,8043280,99.1
1777712036.542,8043280,99.4
1777712037.561,8150784,98.8
1777712038.579,8150816,104.1
1777712039.597,8150816,98.8
1777712040.615,8150816,97.7
1777712041.637,8258224,157.9
1777712042.66,8258224,96.5
1777712043.673,8258224,100.1
1777712044.689,8365744,107.9
1777712045.709,8365744,99.5
1777712046.729,8365744,96.2
1777712047.746,8365744,99.8
1777712048.763,8474448,97.4
1777712049.781,8474448,99.8
1777712050.795,8474448,98.6
1777712051.809,8474448,99.1
1777712052.825,8474448,100.3
1777712053.841,8474448,100.0
1777712054.856,8581808,100.9
1777712055.875,8581808,99.6
1777712056.89,8581808,122.2
1777712057.908,8688816,99.5
1777712058.927,8688816,98.4
1777712059.942,8688816,99.4
1777712060.953,8796080,98.9
1777712061.962,8795904,99.7
1777712062.982,8796080,98.8
1777712064.003,8902416,101.4
1777712065.015,8902416,100.6
1777712066.029,9009456,98.1
1777712067.043,9009456,99.0
1777712068.06,9009488,149.7
1777712069.077,9009488,122.5
1777712070.095,9009488,99.1
1777712071.108,9009488,97.8
1777712072.126,9117904,97.2
1777712073.143,9117904,99.6
1777712074.156,9117904,100.0
1777712075.172,9224768,152.5
1777712076.188,9224768,99.5
1777712077.199,9224768,99.0
1777712078.219,9332192,96.6
1777712079.24,9332192,105.4
1777712080.252,9332192,97.6
1777712081.272,9332192,99.2
1777712082.291,9439568,101.4
1777712083.317,9439568,97.8
1777712084.334,9439568,98.2
1777712085.348,9546448,101.9
1777712086.358,9546448,99.7
1777712087.382,9546448,95.1
1777712088.398,9546448,99.7
1777712089.416,9546448,97.9
1777712090.431,9654224,99.4
1777712091.45,9654224,156.6
1777712092.468,9654224,99.6
1777712093.484,9654224,99.7
1777712094.502,9761216,99.2
1777712095.521,9761216,98.8
1777712096.54,9868096,97.6
1777712097.56,9868096,96.5
1777712098.573,9868096,130.0
1777712099.592,9868096,99.7
