elapsed_sec,rss_kb,cpu_pct
1777712256.226,32,0.0
1777712257.245,5278912,95.4
1777712258.264,5502224,88.4
1777712259.284,5502224,100.0
1777712260.303,5553872,96.8
1777712261.32,5675968,105.1
1777712262.342,5675968,152.9
1777712263.362,5676048,99.1
1777712264.381,5787424,103.1
1777712265.401,5787424,98.7
1777712266.42,5787456,99.7
1777712267.435,5897968,105.9
1777712268.453,5897968,98.9
1777712269.466,5897968,98.7
1777712270.486,6009136,97.3
1777712271.505,6009136,99.5
1777712272.522,6009136,100.1
1777712273.532,6120224,98.6
1777712274.55,6124192,98.9
1777712275.57,6124192,99.3
1777712276.589,6124192,98.7
1777712277.608,6235904,101.1
1777712278.624,6235904,108.2
1777712279.643,6235904,120.5
1777712280.655,6346032,100.8
1777712281.675,6346032,100.2
1777712282.693,6346032,98.1
1777712283.713,6457408,104.3
1777712284.735,6457408,99.9
1777712285.747,6457408,100.1
1777712286.765,6527376,131.2
1777712287.777,6527376,175.5
1777712288.796,6527376,99.1
1777712289.815,6587472,101.8
1777712290.831,6587472,98.6
1777712291.849,6587472,100.1
1777712292.868,6698112,104.8
1777712293.887,6698112,98.6
1777712294.906,6698112,97.1
1777712295.923,6698112,97.3
1777712296.936,6809008,154.5
1777712297.957,6809008,99.0
1777712298.975,6809008,97.6
1777712299.993,6951904,100.4
1777712301.009,6951904,100.0
1777712302.028,6951904,98.9
1777712303.045,7065456,153.8
1777712304.064,7065456,100.4
1777712305.075,7065456,100.0
1777712306.088,7175776,101.5
1777712307.102,7175776,97.9
1777712308.12,7175792,99.8
1777712309.132,7287248,100.1
1777712310.152,7287248,98.3
1777712311.174,7287248,98.1
1777712312.193,7287248,98.7
1777712313.212,7287248,99.4
1777712314.231,7398576,99.2
1777712315.25,7398576,100.6
1777712316.261,7398576,98.4
1777712317.28,7469888,98.6
1777712318.299,7469888,100.0
1777712319.319,7469888,111.8
1777712320.338,7531696,97.9
1777712321.356,7531696,99.9
1777712322.377,7531696,100.7
1777712323.398,7531712,97.9
1777712324.418,7591776,99.5
1777712325.436,7591776,98.5
1777712326.457,7591776,147.1
1777712327.482,7591776,99.5
1777712328.499,7653616,98.8
1777712329.516,7653648,105.8
1777712330.53,7653648,100.1
1777712331.549,7653648,100.0
1777712332.569,7765520,102.7
1777712333.588,7765696,100.1
1777712334.606,7765696,99.1
1777712335.621,7876048,100.8
1777712336.636,7876048,96.0
1777712337.658,7876048,98.2
1777712338.676,7876048,97.3
1777712339.695,7988016,101.2
1777712340.713,7987968,96.3
1777712341.729,7988016,123.9
1777712342.749,8098416,100.9
1777712343.764,8098416,99.3
1777712344.78,8098416,97.8
1777712345.793,8210736,99.7
1777712346.813,8210736,99.8
1777712347.831,8210752,100.9
1777712348.847,8210752,99.9
1777712349.868,8210752,98.5
1777712350.887,8210752,99.4
1777712351.904,8324064,98.2
1777712352.922,8324064,98.0
1777712353.939,8433392,106.9
1777712354.957,8433392,98.5
1777712355.977,8433392,97.0
1777712356.997,8543968,151.5
1777712358.016,8543968,104.6
1777712359.027,8543968,140.7
1777712360.046,8543968,98.8
1777712361.065,8655296,99.4
1777712362.074,8655296,99.6
1777712363.092,8655296,98.1
1777712364.11,8655296,99.8
1777712365.123,8765744,102.2
1777712366.142,8765744,97.6
1777712367.159,8765744,99.4
1777712368.177,8877216,134.4
1777712369.188,8877216,99.3
1777712370.208,8877216,97.8
1777712371.234,8877216,97.9
1777712372.247,8991088,98.3
1777712373.269,8991088,102.0
1777712374.286,8991088,98.1
1777712375.306,9101648,99.7
1777712376.318,9101648,98.5
1777712377.336,9101648,99.3
1777712378.355,9212512,100.5
1777712379.373,9212512,99.5
1777712380.389,9212368,99.0
1777712381.41,9322896,191.8
1777712382.425,9322896,98.8
1777712383.44,9433792,104.9
1777712384.451,9433792,98.3
1777712385.461,9433792,98.3
1777712386.471,9544352,103.8
1777712387.491,9544352,98.4
1777712388.505,9544352,99.2
1777712389.525,9655008,100.6
1777712390.543,9655008,101.3
1777712391.557,9655008,124.6
1777712392.576,9765376,99.6
1777712393.594,9765376,98.8
1777712394.613,9765376,98.1
1777712395.632,9877296,100.4
1777712396.648,9877296,98.5
1777712397.658,9877296,98.4
1777712398.671,9987648,95.8
1777712399.688,9987568,100.3
1777712400.711,9987648,98.4
1777712401.732,10100032,98.9
1777712402.745,10099856,101.1
1777712403.768,10100032,99.8
1777712404.787,10100032,100.8
1777712405.799,10100032,98.9
1777712406.812,10100032,99.1
