elapsed_sec,rss_kb,cpu_pct
1777712849.359,32,0.0
1777712850.375,4877168,81.8
1777712851.394,5455312,87.2
1777712852.417,5455728,97.9
1777712853.433,5458848,208.4
1777712854.451,5510432,98.0
1777712855.471,5510464,100.0
1777712856.484,5626080,99.9
1777712857.504,5626144,99.3
1777712858.519,5626144,99.7
1777712859.534,5626144,98.4
1777712860.559,5744288,239.7
1777712861.573,5744288,147.6
1777712862.589,5744288,100.6
1777712863.609,5744288,98.0
1777712864.625,5744288,98.7
1777712865.637,5860320,99.9
1777712866.659,5860320,97.5
1777712867.68,5860320,98.1
1777712868.7,5971216,102.5
1777712869.716,5971216,223.6
1777712870.733,5971216,97.1
1777712871.746,5971216,98.9
1777712872.759,5971216,98.3
1777712873.778,6085536,106.3
1777712874.797,6085536,96.5
1777712875.816,6085568,100.0
1777712876.836,6085568,144.8
1777712877.853,6195728,98.6
1777712878.873,6195728,96.7
1777712879.889,6195728,98.5
1777712880.909,6195728,98.4
1777712881.922,6311584,98.5
1777712882.938,6311584,99.0
1777712883.949,6311584,100.6
1777712884.969,6311584,99.5
1777712885.988,6421056,278.4
1777712887.006,6421056,142.9
1777712888.016,6421056,96.6
1777712889.033,6421056,97.6
1777712890.052,6534448,104.9
1777712891.071,6534448,99.9
1777712892.088,6534448,98.2
