elapsed_sec,rss_kb,cpu_pct
1777712952.092,32,0.0
1777712953.106,6554032,98.0
1777712954.125,7730752,99.5
1777712955.139,7731040,99.1
1777712956.149,7733664,105.2
1777712957.165,7765696,100.8
1777712958.187,7765776,122.9
1777712959.206,7855696,122.0
1777712960.225,7855712,101.1
1777712961.239,7855712,93.2
1777712962.256,7920480,105.8
1777712963.27,7920480,99.1
1777712964.292,7920480,100.6
1777712965.313,7920480,99.2
1777712966.341,7920480,92.6
1777712967.35,7952352,102.7
1777712968.391,7952384,99.4
1777712969.411,7952384,95.7
1777712970.42,8018928,102.1
1777712971.436,8018928,99.5
1777712972.453,8018928,132.8
1777712973.472,8018928,101.4
1777712974.487,8018928,98.7
1777712975.498,8106640,100.5
1777712976.515,8106640,98.5
1777712977.533,8106640,96.5
1777712978.549,8106640,98.5
1777712979.561,8170512,104.1
1777712980.578,8170512,99.1
1777712981.594,8170512,100.6
1777712982.613,8170512,101.0
1777712983.634,8259040,97.3
1777712984.654,8259216,100.2
1777712985.665,8259216,100.9
1777712986.681,8323344,103.8
1777712987.7,8323344,101.9
1777712988.711,8323344,104.4
1777712989.721,8323408,99.6
1777712990.733,8404480,98.3
1777712991.75,8404480,100.3
1777712992.772,8404480,100.7
