elapsed_sec,rss_kb,cpu_pct
1777712993.813,32,0.0
1777712994.824,3763264,36.3
1777712995.837,5468720,90.8
1777712996.856,5469136,97.3
1777712997.867,5469136,97.7
1777712998.877,5469248,98.6
1777712999.887,5521088,96.9
1777713000.907,5514512,97.3
1777713001.922,5634448,98.2
1777713002.941,5634448,98.3
1777713003.96,5634448,98.5
1777713004.979,5634448,147.9
1777713005.998,5756320,106.6
1777713007.008,5756320,99.6
1777713008.025,5756320,100.0
1777713009.044,5757264,97.9
1777713010.056,5757296,97.5
1777713011.072,5876224,98.7
1777713012.088,5876048,98.0
1777713013.106,5876224,149.6
1777713014.126,5876224,123.8
1777713015.146,5876224,99.5
1777713016.162,5987984,159.1
1777713017.179,5987984,98.0
1777713018.19,5987984,103.1
1777713019.205,5987984,99.7
1777713020.223,5987984,99.9
1777713021.243,6107136,261.5
1777713022.26,6107136,99.6
1777713023.273,6107136,97.9
1777713024.287,6218400,100.1
1777713025.307,6218400,100.0
1777713026.323,6218400,99.3
1777713027.337,6218400,98.1
1777713028.346,6335008,100.3
1777713029.366,6335008,97.1
1777713030.386,6335008,98.7
1777713031.409,6445616,100.7
1777713032.427,6445616,98.8
1777713033.446,6445632,99.7
1777713034.464,6445632,99.3
1777713035.479,6445632,99.7
1777713036.496,6563344,99.6
1777713037.512,6563344,99.7
