elapsed_sec,rss_kb,cpu_pct
1777713290.064,32,0.0
1777713291.084,5818864,81.7
1777713292.094,7627104,100.4
1777713293.112,7633616,103.1
1777713294.124,7633648,95.1
1777713295.144,7652320,102.1
1777713296.155,7652336,100.7
1777713297.17,7652336,99.0
1777713298.188,7664272,134.8
1777713299.2,7664288,97.7
1777713300.223,7687776,105.9
1777713301.241,7692304,103.1
1777713302.262,7692304,98.6
1777713303.275,7692304,93.7
1777713304.294,7720384,102.0
1777713305.306,7720416,98.4
1777713306.321,7720416,97.6
1777713307.338,7759824,180.9
1777713308.357,7759824,100.2
1777713309.375,7759824,96.8
1777713310.393,7779104,104.3
1777713311.406,7779120,102.3
1777713312.425,7817056,96.9
1777713313.443,7825456,98.9
1777713314.462,7825456,101.0
1777713315.48,7834784,101.7
1777713316.5,7834784,103.9
1777713317.518,7834784,95.8
1777713318.531,7851264,102.3
1777713319.552,7851264,98.6
