elapsed_sec,rss_kb,cpu_pct
1777713580.177,32,0.0
1777713581.196,5219776,67.5
1777713582.216,5473008,99.7
1777713583.236,5473184,99.5
1777713584.248,5482320,102.2
1777713585.266,5482320,208.2
1777713586.284,5483344,101.8
1777713587.3,5483344,98.7
1777713588.32,5534800,100.7
1777713589.339,5534864,100.0
1777713590.35,5654000,104.6
1777713591.367,5654000,100.0
1777713592.379,5654096,95.9
1777713593.39,5654096,98.6
1777713594.411,5762640,187.1
1777713595.423,5762640,98.2
1777713596.442,5762640,125.8
1777713597.458,5762640,99.0
1777713598.474,5762640,98.8
1777713599.495,5762464,99.4
1777713600.512,5763200,98.3
1777713601.53,5763200,99.1
1777713602.547,5883312,153.2
1777713603.563,5883312,100.2
1777713604.58,5883312,100.0
1777713605.601,5883312,98.5
1777713606.622,5990944,98.0
1777713607.641,5990944,99.3
1777713608.66,5990944,99.2
1777713609.672,5990944,98.4
1777713610.683,5990944,232.8
1777713611.703,5990944,229.8
1777713612.719,5990944,98.2
1777713613.739,5990944,100.1
1777713614.756,5990944,97.9
1777713615.767,6109392,150.5
1777713616.787,6109392,98.5
1777713617.801,6109392,99.8
1777713618.817,6217408,150.3
1777713619.836,6217408,204.5
1777713620.854,6217232,100.9
1777713621.873,6217408,100.4
1777713622.893,6217408,97.2
1777713623.909,6217408,206.2
1777713624.93,6217408,98.8
1777713625.943,6217408,100.3
1777713626.963,6217408,122.7
1777713627.976,6337136,99.5
1777713628.987,6337136,100.0
1777713630.002,6337136,98.3
1777713631.022,6444560,101.5
1777713632.041,6444560,98.7
1777713633.059,6444560,102.8
1777713634.069,6444560,99.4
1777713635.088,6446208,102.8
1777713636.105,6446384,100.1
1777713637.122,6446384,99.9
1777713638.138,6446384,97.9
1777713639.154,6564000,98.2
1777713640.171,6564000,99.3
