elapsed_sec,rss_kb,cpu_pct
1777713829.577,32,0.0
1777713830.596,5019376,39.1
1777713831.616,7362128,19.6
1777713832.635,7696400,155.8
1777713833.655,7699232,107.4
1777713834.672,7699248,100.0
1777713835.685,7712608,98.9
1777713836.704,7755072,103.1
1777713837.722,7755072,102.5
1777713838.742,7755072,91.5
1777713839.757,7785280,110.3
1777713840.776,7785280,178.6
1777713841.794,7785296,103.8
1777713842.809,7785312,98.5
1777713843.829,7824416,96.3
1777713844.845,7824416,102.2
1777713845.857,7824416,98.8
1777713846.873,7850944,102.6
1777713847.89,7850944,100.5
1777713848.909,7850944,103.3
1777713849.924,7850944,97.3
1777713850.944,7884448,112.5
1777713851.955,7884272,101.8
1777713852.974,7884448,92.9
1777713853.993,7906304,105.5
1777713855.009,7906304,101.4
1777713856.019,7906304,100.0
1777713857.039,7906304,98.9
1777713858.057,7940784,129.1
1777713859.067,7940784,111.8
1777713860.084,7940784,99.2
1777713861.097,7968288,107.6
1777713862.115,7968288,101.5
1777713863.126,7968288,100.9
1777713864.142,7968288,100.3
1777713865.163,8002320,104.5
1777713866.185,8002320,101.2
1777713867.204,8002320,94.1
