elapsed_sec,rss_kb,cpu_pct
1777713868.252,32,0.0
1777713869.265,5275344,74.6
1777713870.279,5532320,152.5
1777713871.298,5532320,100.0
1777713872.31,5532816,100.6
1777713873.329,5584304,146.4
1777713874.34,5715712,102.7
1777713875.359,5715712,152.8
1777713876.38,5715760,98.7
1777713877.394,5834128,99.7
1777713878.411,5842656,100.0
1777713879.428,5842656,99.6
1777713880.447,5842480,99.7
1777713881.458,5842656,98.1
1777713882.477,5973856,170.6
1777713883.496,5973856,100.0
1777713884.517,5973856,99.6
1777713885.536,6092448,103.5
1777713886.555,6092448,98.9
1777713887.574,6092448,102.6
1777713888.593,6092448,99.0
1777713889.605,6092448,104.6
1777713890.626,6224096,115.4
1777713891.645,6224096,98.5
1777713892.666,6224096,98.5
1777713893.679,6345744,125.4
1777713894.698,6345744,98.2
1777713895.715,6345744,100.1
1777713896.735,6345744,98.7
1777713897.758,6474320,101.3
1777713898.775,6474320,97.4
1777713899.796,6474320,98.9
1777713900.815,6592544,95.7
1777713901.835,6592544,100.5
1777713902.854,6592544,98.7
1777713903.874,6592544,128.2
1777713904.893,6592544,97.4
1777713905.914,6723136,102.3
1777713906.933,6723136,97.5
1777713907.949,6723136,99.2
