elapsed_sec,rss_kb,cpu_pct
1777713908.99,32,0.0
1777713910.002,4910304,48.3
1777713911.021,7682736,218.6
1777713912.037,7684464,122.5
1777713913.049,7687328,103.6
1777713914.059,7687376,103.6
1777713915.079,7687392,97.3
1777713916.097,7728496,101.4
1777713917.118,7729296,99.0
1777713918.142,7729120,98.4
1777713919.152,7747920,177.4
1777713920.167,7747920,161.0
1777713921.18,7747920,101.5
1777713922.194,7747920,100.6
1777713923.205,7771952,100.9
1777713924.222,7771952,100.8
1777713925.241,7771952,102.1
1777713926.27,7771952,99.2
1777713927.292,7791136,129.9
1777713928.308,7791136,100.2
1777713929.326,7791136,102.2
1777713930.34,7791136,98.2
1777713931.363,7791136,100.0
1777713932.38,7815424,102.4
1777713933.398,7815424,100.4
1777713934.41,7815424,119.5
1777713935.429,7833440,132.4
1777713936.445,7833440,100.9
1777713937.46,7833264,106.4
1777713938.476,7833440,100.6
1777713939.501,7833440,98.2
1777713940.517,7856768,105.7
1777713941.534,7856768,100.7
1777713942.552,7856768,96.7
1777713943.565,7874464,108.5
1777713944.58,7874640,99.5
1777713945.596,7874640,108.4
1777713946.618,7874640,99.2
1777713947.635,7874624,98.6
1777713948.648,7898336,104.5
1777713949.67,7898336,104.2
1777713950.686,7898336,118.3
1777713951.711,7898336,97.8
