elapsed_sec,rss_kb,cpu_pct
1777728751.999,11740,0.0
1777728753.007,136620,101.0
1777728754.017,7384820,130.0
1777728755.027,7442032,193.0
1777728756.037,7464472,296.0
1777728757.048,7465504,358.0
1777728758.058,7465504,342.0
1777728759.069,7479268,375.0
1777728760.085,7479268,401.0
1777728761.1,7479268,422.0
1777728762.113,7479268,439.0
1777728763.124,7479268,453.0
1777728764.136,7479268,464.0
1777728765.147,7541360,474.0
1777728766.159,7541628,483.0
1777728767.17,7541840,491.0
1777728768.181,7541840,498.0
1777728769.192,7541840,504.0
1777728770.203,7541840,509.0
1777728771.214,7560368,514.0
1777728772.229,7560368,518.0
1777728773.24,7560368,522.0
1777728774.255,7560368,526.0
1777728775.269,7560368,529.0
1777728776.283,7560368,533.0
1777728777.293,7625260,535.0
1777728778.305,7625260,538.0
1777728779.317,7625260,540.0
1777728780.329,7625260,542.0
1777728781.34,7625260,545.0
1777728782.351,7625260,547.0
1777728783.362,7625260,548.0
1777728784.377,7625260,550.0
1777728785.392,7625260,552.0
1777728786.407,7625260,554.0
1777728787.422,7625260,555.0
1777728788.437,7625260,557.0
1777728789.448,7691104,558.0
1777728790.46,7691220,559.0
1777728791.471,7691268,560.0
1777728792.482,7691268,561.0
1777728793.493,7691268,562.0
1777728794.504,7691268,563.0
1777728795.515,7691268,564.0
1777728796.53,7691268,565.0
1777728797.545,7691268,566.0
1777728798.56,7691268,567.0
1777728799.576,7691268,568.0
1777728800.588,7691268,569.0
1777728801.602,7691268,569.0
1777728802.613,7758560,570.0
1777728803.625,7758560,571.0
1777728804.636,7758560,571.0
1777728805.647,7758560,572.0
1777728806.658,7758560,573.0
1777728807.672,7758560,573.0
1777728808.687,7758560,574.0
1777728809.699,7758560,574.0
1777728810.713,7758560,575.0
1777728811.728,7758560,576.0
1777728812.738,7815948,576.0
1777728813.75,7815948,576.0
1777728814.761,7815948,577.0
1777728815.774,7815948,577.0
1777728816.786,7815948,578.0
1777728817.797,7815948,578.0
1777728818.813,7815948,579.0
1777728819.829,7815948,579.0
1777728820.845,7815948,580.0
1777728821.861,7815948,580.0
1777728822.877,7815948,580.0
1777728823.892,7815948,581.0
1777728824.907,7815948,581.0
1777728825.917,7876892,581.0
1777728826.929,7876892,582.0
1777728827.941,7876892,582.0
1777728828.953,7876892,582.0
1777728829.964,7876892,583.0
1777728830.98,7876892,583.0
1777728831.995,7876892,583.0
1777728833.009,7876892,584.0
1777728834.023,7876892,584.0
1777728835.032,7931628,584.0
1777728836.044,7931628,584.0
1777728837.055,7931628,585.0
1777728838.066,7931628,578.0
1777728839.077,7931628,578.0
1777728840.089,7931628,579.0
1777728841.105,7931628,579.0
1777728842.12,7931628,579.0
1777728843.136,7931628,580.0
1777728844.152,7931628,580.0
1777728845.167,7931628,580.0
1777728846.175,7990908,581.0
1777728847.186,7990908,581.0
1777728848.198,7990908,581.0
1777728849.21,7990908,581.0
1777728850.222,7990908,582.0
1777728851.233,7990908,582.0
1777728852.244,7990908,582.0
1777728853.26,7990908,582.0
1777728854.275,7990908,583.0
1777728855.29,7990908,583.0
1777728856.306,7990908,583.0
1777728857.317,8049212,583.0
1777728858.328,8049212,583.0
1777728859.339,8049212,584.0
1777728860.352,8049212,584.0
1777728861.363,8049212,584.0
1777728862.375,8049212,584.0
1777728863.391,8049212,585.0
1777728864.405,8049212,585.0
1777728865.42,8049212,585.0
1777728866.433,8049212,585.0
1777728867.447,8049212,585.0
1777728868.462,8049212,586.0
1777728869.475,8049212,586.0
1777728870.491,8049212,586.0
1777728871.506,8049212,586.0
1777728872.522,8049212,586.0
