elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777820458.547,32,0.0,12045,-6387,76.9314,92,False,False
1777820460.581,4029760,15.8,12045,-6387,76.9314,92,False,False
1777820462.611,7241360,15.1,12045,-6387,76.9314,92,False,False
1777820464.644,7613184,142.6,12045,-6387,76.9314,92,False,False
1777820466.678,7650032,155.9,12045,-6387,76.9314,92,False,False
1777820468.711,7651056,105.1,12045,-6387,76.9314,92,False,False
1777820470.75,7651056,98.8,12028,-6731,80.9605,91,False,False
1777820472.793,7651104,97.8,12028,-6731,80.9605,91,False,False
1777820474.824,7651136,140.5,12028,-6731,80.9605,91,False,False
1777820476.851,7651360,162.3,12028,-6731,80.9605,91,False,False
1777820478.883,7651360,98.5,12028,-6731,80.9605,91,False,False
1777820480.919,7651360,176.5,12028,-6731,80.9605,91,False,False
1777820482.953,7651360,182.3,12028,-6731,80.9605,91,False,False
1777820484.987,7651360,359.4,12028,-6731,80.9605,91,False,False
1777820487.015,7651360,98.4,12028,-6731,80.9605,91,False,False
1777820489.048,7651360,111.9,12028,-6731,80.9605,91,False,False
1777820491.086,7664096,101.1,12028,-6731,80.9605,91,False,False
1777820493.113,7664352,97.7,12028,-6731,80.9605,91,False,False
1777820495.151,7719584,99.7,12028,-6731,80.9605,91,False,False
1777820497.19,7719744,96.6,12028,-6731,80.9605,91,False,False
1777820499.227,7737248,98.9,12028,-6731,80.9605,91,False,False
1777820501.255,7737264,94.2,12028,-6731,80.9605,91,False,False
1777820503.288,7755328,197.2,12028,-6731,80.9605,91,False,False
1777820505.32,7755328,98.8,12028,-6731,80.9605,91,False,False
1777820507.35,7755328,98.6,12028,-6731,80.9605,91,False,False
1777820509.386,7755328,107.9,11989,-7327,87.8434,90,False,False
1777820511.417,7755328,124.6,11989,-7327,87.8434,90,False,False
1777820513.452,7755328,402.3,11989,-7327,87.8434,90,False,False
1777820515.482,7755152,108.8,11989,-7327,87.8434,90,False,False
1777820517.52,7755312,276.2,11989,-7327,87.8434,90,False,False
1777820519.55,7755312,226.7,11989,-7327,87.8434,90,False,False
1777820521.58,7755312,459.1,11989,-7327,87.8434,90,False,False
1777820523.61,7737328,93.7,11989,-7327,87.8434,90,False,False
1777820525.665,7728912,326.6,11989,-7327,87.8434,90,False,False
