elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777820950.937,32,0.0,11656,-7490,87.3034,79,False,False
1777820952.966,7793968,120.8,11656,-7490,87.3034,79,False,False
1777820954.997,7819888,99.4,11656,-7490,87.3034,79,False,False
1777820957.026,7883440,98.0,11656,-7490,87.3034,79,False,False
1777820959.06,7883440,99.2,11656,-7490,87.3034,79,False,False
1777820961.089,7883472,149.9,11656,-7490,87.3034,79,False,False
1777820963.12,7883520,100.1,11656,-7490,87.3034,79,False,False
1777820965.148,7883680,96.9,11656,-7490,87.3034,79,False,False
1777820967.178,7883680,108.2,11612,-7715,89.5866,78,False,False
1777820969.206,7883680,99.1,11612,-7715,89.5866,78,False,False
1777820971.24,7883680,100.0,11612,-7715,89.5866,78,False,False
1777820973.27,7883696,99.1,11612,-7715,89.5866,78,False,False
1777820975.3,7883792,100.5,11612,-7715,89.5866,78,False,False
1777820977.334,7924784,96.5,11612,-7715,89.5866,78,False,False
1777820979.371,8096608,99.3,11612,-7715,89.5866,78,False,False
1777820981.403,8115008,111.0,11612,-7715,89.5866,78,False,False
1777820983.435,8115008,100.1,11612,-7715,89.5866,78,False,False
1777820985.474,8165568,101.0,11612,-7715,89.5866,78,False,False
1777820987.506,8165568,125.1,11612,-7715,89.5866,78,False,False
1777820989.535,8165568,167.3,11612,-7715,89.5866,78,False,False
1777820991.561,8165568,99.9,11612,-7715,89.5866,78,False,False
1777820993.596,8165584,105.9,11612,-7715,89.5866,78,False,False
1777820995.63,8165408,107.6,11612,-7715,89.5866,78,False,False
1777820997.665,8165584,98.8,11612,-7715,89.5866,78,False,False
1777820999.698,8165584,99.1,11612,-7715,89.5866,78,False,False
1777821001.728,8165584,94.3,11612,-7715,89.5866,78,False,False
1777821003.762,8165584,256.9,11599,-7737,89.7415,77,False,False
1777821005.795,8206576,96.7,11599,-7737,89.7415,77,False,False
1777821007.828,8378528,104.3,11599,-7737,89.7415,77,False,False
1777821009.867,8397248,96.4,11599,-7737,89.7415,77,False,False
1777821011.903,8410112,98.0,11599,-7737,89.7415,77,False,False
1777821013.934,8406080,96.1,11599,-7737,89.7415,77,False,False
1777821015.971,8437552,100.0,11599,-7737,89.7415,77,False,False
1777821018.005,8436912,100.2,11599,-7737,89.7415,77,False,False
1777821020.036,8434448,149.6,11599,-7737,89.7415,77,False,False
1777821022.074,8434448,97.0,11599,-7737,89.7415,77,False,False
1777821024.107,8434448,99.4,11599,-7737,89.7415,77,False,False
1777821026.14,8434448,99.2,11599,-7737,89.7415,77,False,False
1777821028.174,8434448,228.2,11599,-7737,89.7415,77,False,False
1777821030.21,8434448,107.8,11599,-7737,89.7415,77,False,False
1777821032.236,8434448,98.2,11599,-7737,89.7415,77,False,False
1777821034.266,8451056,97.7,11599,-7737,89.7415,77,False,False
1777821036.305,8445120,97.9,11599,-7737,89.7415,77,False,False
1777821038.343,8465248,95.1,11599,-7737,89.7415,77,False,False
1777821040.374,8463248,98.2,11556,-7310,84.4744,76,False,False
1777821042.405,8468592,106.0,11556,-7310,84.4744,76,False,False
1777821044.436,8467184,108.3,11556,-7310,84.4744,76,False,False
1777821046.472,8454640,105.2,11556,-7310,84.4744,76,False,False
1777821048.508,8425328,97.4,11556,-7310,84.4744,76,False,False
1777821050.54,8425328,98.8,11556,-7310,84.4744,76,False,False
1777821052.573,8411456,236.4,11556,-7310,84.4744,76,False,False
1777821054.609,8403888,99.7,11556,-7310,84.4744,76,False,False
1777821056.64,8398368,99.9,11556,-7310,84.4744,76,False,False
1777821058.673,8398368,108.2,11556,-7310,84.4744,76,False,False
1777821060.706,8394928,98.3,11556,-7310,84.4744,76,False,False
1777821062.757,8402528,97.2,11556,-7310,84.4744,76,False,False
1777821064.795,8392192,97.2,11556,-7310,84.4744,76,False,False
1777821066.829,8431648,109.0,11556,-7310,84.4744,76,False,False
1777821068.869,8449824,103.8,11556,-7310,84.4744,76,False,False
1777821070.907,8450000,96.1,11556,-7310,84.4744,76,False,False
1777821072.943,8499968,161.9,11556,-7310,84.4744,76,False,False
1777821074.977,8499904,152.9,11556,-7310,84.4744,76,False,False
1777821077.008,8499904,99.8,11556,-7310,84.4744,76,False,False
1777821079.042,8499904,97.9,11542,-7491,86.4611,75,False,False
1777821081.076,8497776,272.7,11542,-7491,86.4611,75,False,False
1777821083.108,8495664,103.4,11542,-7491,86.4611,75,False,False
1777821085.142,8413872,97.3,11542,-7491,86.4611,75,False,False
1777821087.174,8389536,98.0,11542,-7491,86.4611,75,False,False
1777821089.205,8389536,428.4,11542,-7491,86.4611,75,False,False
1777821091.239,8389552,98.9,11542,-7491,86.4611,75,False,False
1777821093.272,8430560,97.2,11542,-7491,86.4611,75,False,False
1777821095.31,8602416,101.1,11542,-7491,86.4611,75,False,False
1777821097.344,8602496,92.1,11542,-7491,86.4611,75,False,False
