tasks,total_wall_sec,mean_wall_sec,mean_score,mean_quality_total,mean_correctness_score,mean_json_score,mean_tool_use_score,mean_safety_score,mean_ground_truth_score,mean_planner_sec,mean_deterministic_tool_sec,mean_llm_tool_sec,mean_final_sec,total_prompt_eval_ms,total_decode_ms,plan_valid_rate,final_json_valid_rate,total_llm_calls,total_prompt_tokens,total_completion_tokens,completion_tokens_per_sec,job_index,host_label,repeat,ctx_size,model,config,type_k,type_v,server_max_rss_mb,server_max_cpu_pct,server_mean_cpu_pct,server_profile_samples,thermal_max_c,rapl_package_joules,rapl_package_watts_avg,battery_power_w_avg,battery_power_w_max,battery_joules,server_version,server_version_major,server_returncode,run_kind,task_suite,task_count,planner_mode,context_fill_ratio,raw_dir
5,144.41091074998258,28.882182149996517,0.7266666666666667,0.7266666666666667,0.4,1.0,1.0,0.8,0.4333333333333333,5.382160716800717,0.002684883400797844,19.492803758598164,4.003928174998146,103870.888,40253.126,1.0,1.0,15,19906,1255,8.69047908833406,1,m4_fixed_core8k_battery,1,8192,qwen35_4b,q8_0/tbq4,q8_0,tbq4,6889.890625,384.4,117.73424657534247,73,0.0,0.0,0.0,64.5287808219178,85.6259,9487.842771876898,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0001_ctx8192_r01_qwen35_4b_q8_0_tbq4
5,175.87710554205114,35.17542110841023,0.72,0.72,0.4666666666666666,1.0,1.0,0.8,0.3333333333333333,3.724615058203926,0.002955274999840185,28.119616183196193,3.32766994999256,148797.99300000002,26988.117,1.0,1.0,15,26732,1074,6.106536701806325,2,m4_fixed_core8k_battery,1,8192,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,7885.296875,459.1,133.65842696629213,89,0.0,0.0,0.0,85.24639213483145,88.8655,15258.436217981194,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0002_ctx8192_r01_gemma4_e4b_q4_0_q4_0
5,163.04630241604173,32.609260483208345,0.7866666666666667,0.7866666666666667,0.6,1.0,1.0,1.0,0.3333333333333333,3.50189076680108,0.002804008807288483,26.162241241597805,2.9417424664017746,137675.371,25259.457000000002,1.0,1.0,15,26490,1053,6.45828813285862,3,m4_fixed_core8k_battery,1,8192,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,7995.9375,418.5,124.26666666666667,81,0.0,0.0,0.0,85.54131728395062,88.9277,13925.21094571928,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0003_ctx8192_r01_gemma4_e4b_q8_0_q8_0
5,142.92073291598354,28.584146583196706,0.7866666666666667,0.7866666666666667,0.6,1.0,1.0,1.0,0.3333333333333333,3.1208452748018316,0.002620341797592118,22.56572795859538,2.894411999802105,119519.743,23315.107,1.0,1.0,15,26543,1011,7.073851213695637,4,m4_fixed_core8k_battery,1,8192,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,8108.34375,312.7,109.99166666666666,72,0.0,0.0,0.0,85.44800833333333,88.1134,12336.80015387897,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0004_ctx8192_r01_gemma4_e4b_q8_0_tbq4
5,145.23534941801336,29.04706988360267,0.8133333333333332,0.8133333333333332,0.6666666666666667,1.0,1.0,1.0,0.4,3.3678331833973063,0.0026308327913284303,22.741045933397253,2.9350364919868297,119999.073,25047.322,1.0,1.0,15,26452,1058,7.284727886424443,5,m4_fixed_core8k_battery,1,8192,gemma4_e4b,f16/f16,f16,f16,8400.875,428.4,115.85068493150685,73,0.0,0.0,0.0,87.61585753424657,89.7415,12828.960364021495,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0005_ctx8192_r01_gemma4_e4b_f16_f16
5,160.83573245702428,32.16714649140486,0.6799999999999999,0.6799999999999999,0.26666666666666666,1.0,1.0,0.8,0.3333333333333333,5.567298366397154,0.002581358409952372,23.049281133397017,3.5474520579969977,120916.392,39620.672999999995,0.8,1.0,15,23497,1219,7.5791615543251245,6,m4_fixed_core8k_battery,1,8192,qwen35_4b,f16/f16,f16,f16,7783.015625,456.6,127.68518518518519,81,0.0,0.0,0.0,83.27556049382716,87.672,13550.911036313808,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0006_ctx8192_r01_qwen35_4b_f16_f16
5,141.2793002909748,28.25586005819496,0.7333333333333333,0.7333333333333333,0.5333333333333333,1.0,1.0,0.8,0.3333333333333333,3.4223288418026643,0.0024381249968428165,22.047926991805433,2.7826005165989045,116659.496,24530.276,1.0,1.0,15,26581,1032,7.30467943905811,7,m4_fixed_core8k_battery,1,8192,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,7896.15625,200.8,106.84583333333333,72,0.0,0.0,0.0,86.3202111111111,89.8269,12477.163120702211,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0007_ctx8192_r01_gemma4_e4b_tbq4_tbq4
5,156.39760787502746,31.279521575005493,0.8133333333333332,0.8133333333333332,0.5333333333333333,1.0,1.0,1.0,0.5333333333333333,4.9500345417996865,0.004661775199929252,22.317479091405403,4.006806749996031,117961.419,38198.546,1.0,1.0,15,23578,1268,8.107540883957892,8,m4_fixed_core8k_battery,1,8192,qwen35_4b,tbq4/tbq4,tbq4,tbq4,7070.234375,397.8,120.12820512820512,78,0.0,0.0,0.0,84.17425384615385,86.6047,13201.724389449426,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0008_ctx8192_r01_qwen35_4b_tbq4_tbq4
5,184.00656120697386,36.80131224139477,0.8066666666666666,0.8066666666666666,0.4,1.0,1.0,1.0,0.6333333333333333,5.633993241586722,0.004594983416609466,27.495249249809422,3.6669229332008397,144025.083,39770.08,0.8,1.0,15,23748,1178,6.401945627770113,9,m4_fixed_core8k_battery,1,8192,qwen35_4b,q4_0/q4_0,q4_0,q4_0,7072.28125,611.7,174.24021739130436,92,0.0,0.0,0.0,69.6581445652174,84.6025,12878.693533516376,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0009_ctx8192_r01_qwen35_4b_q4_0_q4_0
5,182.909874414996,36.581974882999205,0.6866666666666666,0.6866666666666666,0.4,1.0,1.0,0.8,0.2333333333333333,5.639840408402961,0.002589625207474455,27.086004899599356,3.8529862333845815,140716.502,41987.469,0.8,1.0,15,23499,1253,6.850368270206804,10,m4_fixed_core8k_battery,1,8192,qwen35_4b,q8_0/q8_0,q8_0,q8_0,7323.15625,632.8,171.1945054945055,91,0.0,0.0,0.0,74.6475967032967,82.6655,13682.139293617936,version: 7 (90b03b6) built with AppleClang 21.0.0.21000099 for Darwin arm64,7,0,fixed_core8k,core,5,llm,0.35,agent/results/20260503_m4_fixed_core8k/raw/0010_ctx8192_r01_qwen35_4b_q8_0_q8_0
