elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777820322.971,15980,0.0,53.0,171564204166
1777820323.979,3599788,101.0,57.0,171593591236
1777820324.992,4570728,280.0,63.0,171652542379
1777820326.003,4700128,386.0,74.0,171737597948
1777820327.014,4700444,441.0,76.0,171824392647
1777820328.025,4700444,474.0,76.0,171913610498
1777820329.036,4700444,496.0,76.0,172003168740
1777820330.044,4700444,511.0,71.0,172093160087
1777820331.055,4751904,523.0,74.0,172180273511
1777820332.067,4754812,479.0,65.0,172254593450
1777820333.079,4754812,490.0,65.0,172315677706
1777820334.092,4754812,500.0,65.0,172378047358
1777820335.107,4754812,508.0,69.0,172440753252
1777820336.119,4754812,515.0,65.0,172503218302
1777820337.131,4754812,522.0,66.0,172565519290
1777820338.142,4754812,527.0,65.0,172627920925
1777820339.155,4754812,532.0,65.0,172688963188
1777820340.168,4801900,535.0,64.0,172748582298
1777820341.182,4801900,539.0,65.0,172808837759
1777820342.2,4801900,543.0,66.0,172869503864
1777820343.214,4801900,546.0,66.0,172929931260
1777820344.227,4801900,548.0,66.0,172990384475
1777820345.241,4801900,551.0,67.0,173050968182
1777820346.253,4801900,553.0,68.0,173111263865
1777820347.264,4875524,555.0,78.0,173183496773
1777820348.274,4875940,557.0,78.0,173273489951
1777820349.285,4875940,559.0,82.0,173363203161
1777820350.295,4875940,560.0,80.0,173454442857
1777820351.306,4875940,562.0,82.0,173545346128
1777820352.317,4875940,563.0,80.0,173636044748
1777820353.328,4875940,565.0,73.0,173725444910
1777820354.339,4876548,566.0,83.0,173815159646
1777820355.35,4876548,567.0,82.0,173908568281
1777820356.36,4876548,568.0,78.0,174000271660
1777820357.371,4876548,569.0,83.0,174091377872
1777820358.382,4876548,570.0,83.0,174182589125
1777820359.393,4876548,571.0,86.0,174273943017
1777820360.404,4876548,572.0,83.0,174365245396
1777820361.415,4877572,573.0,82.0,174456753767
1777820362.426,4877572,574.0,84.0,174550334094
1777820363.437,4877572,575.0,84.0,174641931089
1777820364.448,4877572,575.0,82.0,174731966198
1777820365.459,4877572,576.0,82.0,174820795316
1777820366.47,4877572,577.0,82.0,174909538497
1777820367.481,4877572,577.0,81.0,174998319642
1777820368.491,4878596,578.0,85.0,175084850304
