elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777821499.277,13948,0.0,65.0,249093639906
1777821500.284,136268,100.0,73.0,249124332638
1777821501.297,7402392,128.0,68.0,249158643402
1777821502.308,7478760,193.0,82.0,249208427332
1777821503.318,7508840,296.0,84.0,249305187460
1777821504.329,7515656,358.0,85.0,249400116477
1777821505.34,7515656,399.0,86.0,249492155182
1777821506.351,7516288,429.0,83.0,249584400552
1777821507.363,7516288,451.0,79.0,249668650702
1777821508.375,7525900,468.0,76.0,249733806785
1777821509.389,7525900,482.0,73.0,249798086040
1777821510.405,7525900,494.0,72.0,249862458922
1777821511.421,7525900,503.0,71.0,249926060260
1777821512.438,7525900,512.0,71.0,249989720193
1777821513.454,7525900,518.0,72.0,250053391294
1777821514.465,7555948,524.0,82.0,250122920779
1777821515.477,7559144,529.0,73.0,250195059938
1777821516.489,7560164,534.0,74.0,250260327288
1777821517.501,7560164,538.0,75.0,250325612948
1777821518.513,7560164,541.0,76.0,250391004993
1777821519.525,7560164,545.0,75.0,250456344669
1777821520.537,7560164,548.0,77.0,250521811787
1777821521.548,7560164,550.0,74.0,250587364964
1777821522.561,7560164,553.0,73.0,250653007862
1777821523.573,7560164,555.0,75.0,250718395817
1777821524.585,7560164,557.0,75.0,250783864034
1777821525.597,7560164,559.0,76.0,250849573948
1777821526.61,7560164,561.0,74.0,250915225025
1777821527.622,7560164,562.0,75.0,250980844120
1777821528.634,7560164,564.0,75.0,251046522114
1777821529.646,7560164,565.0,75.0,251112416232
1777821530.658,7560164,567.0,75.0,251177899219
1777821531.671,7560164,568.0,74.0,251243608340
1777821532.683,7560164,569.0,75.0,251309099566
1777821533.695,7560164,570.0,75.0,251374961764
1777821534.706,7560164,571.0,75.0,251440685045
1777821535.718,7560164,572.0,76.0,251506434877
1777821536.73,7560164,573.0,76.0,251571865678
1777821537.741,7560164,574.0,76.0,251637840790
1777821538.753,7560164,575.0,76.0,251703769638
1777821539.765,7560164,575.0,77.0,251769391784
1777821540.778,7560164,576.0,76.0,251835178908
1777821541.789,7560164,577.0,74.0,251900924895
1777821542.801,7560164,577.0,76.0,251966666487
1777821543.813,7560164,578.0,73.0,252032378599
1777821544.825,7560164,579.0,75.0,252098148084
1777821545.837,7560164,579.0,74.0,252163916165
1777821546.849,7560164,580.0,73.0,252229717693
1777821547.861,7560164,580.0,73.0,252295327999
1777821548.873,7560164,581.0,76.0,252361309397
1777821549.885,7560164,581.0,75.0,252426921351
1777821550.898,7560164,582.0,73.0,252492747293
1777821551.911,7560164,582.0,73.0,252558589898
1777821552.924,7560164,583.0,76.0,252624430489
1777821553.936,7560164,583.0,75.0,252690210838
1777821554.948,7560164,584.0,76.0,252756012122
1777821555.96,7560164,584.0,75.0,252821935476
1777821556.972,7560164,584.0,76.0,252887553839
1777821557.984,7560164,585.0,75.0,252953242757
1777821558.996,7560164,585.0,74.0,253019032567
1777821560.008,7560164,585.0,76.0,253084957447
1777821561.021,7560164,586.0,75.0,253150677738
1777821562.033,7560164,586.0,76.0,253216268146
1777821563.044,7560164,586.0,74.0,253282102084
1777821564.056,7560164,587.0,76.0,253347891588
1777821565.068,7560164,578.0,77.0,253413811586
1777821566.08,7560164,578.0,76.0,253479399186
1777821567.092,7560164,579.0,72.0,253545188508
1777821568.104,7560164,579.0,73.0,253611066208
1777821569.116,7560164,580.0,77.0,253676863280
1777821570.128,7560164,580.0,75.0,253742671339
1777821571.14,7560164,580.0,77.0,253808587553
1777821572.152,7560164,581.0,77.0,253874178754
1777821573.164,7560164,581.0,78.0,253939838498
1777821574.176,7560164,581.0,76.0,254005713818
1777821575.188,7560164,582.0,76.0,254071715602
