elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777822051.328,12908,0.0,62.0,22856722187
1777822052.336,136032,101.0,75.0,22887347536
1777822053.347,7381080,130.0,67.0,22921803136
1777822054.357,7457352,193.0,82.0,22971717681
1777822055.369,7487432,296.0,85.0,23069109949
1777822056.38,7494248,358.0,83.0,23165646689
1777822057.391,7494372,399.0,88.0,23262412860
1777822058.404,7494880,429.0,74.0,23333041707
1777822059.416,7494880,451.0,74.0,23398166907
1777822060.428,7494880,469.0,73.0,23463425407
1777822061.444,7497952,483.0,72.0,23525858718
1777822062.46,7497952,494.0,72.0,23589565465
1777822063.476,7497952,504.0,73.0,23653431573
1777822064.492,7497952,512.0,73.0,23717196791
1777822065.504,7530656,518.0,74.0,23793758728
1777822066.516,7530656,524.0,74.0,23859126359
1777822067.528,7531676,529.0,76.0,23924439546
1777822068.539,7531676,534.0,76.0,23989608508
1777822069.551,7531676,538.0,76.0,24055135440
1777822070.563,7531676,542.0,74.0,24120427936
1777822071.575,7531676,545.0,74.0,24186002414
1777822072.587,7531676,548.0,76.0,24251473011
1777822073.599,7531676,550.0,76.0,24316719365
1777822074.609,7531676,553.0,74.0,24382211263
1777822075.621,7531676,555.0,74.0,24447763036
1777822076.633,7531676,557.0,76.0,24513472096
1777822077.646,7531676,559.0,76.0,24579166874
1777822078.657,7531676,561.0,75.0,24644895099
1777822079.669,7531676,562.0,75.0,24710671542
1777822080.68,7531676,564.0,74.0,24776429247
1777822081.692,7531676,565.0,76.0,24841816165
1777822082.704,7531676,567.0,76.0,24907481219
1777822083.716,7531676,568.0,73.0,24973157870
1777822084.728,7531676,569.0,74.0,25038956285
1777822085.74,7531676,570.0,76.0,25104671815
1777822086.752,7531676,571.0,75.0,25170407670
1777822087.763,7531676,572.0,75.0,25236287018
1777822088.776,7531676,573.0,76.0,25302011154
1777822089.788,7531676,574.0,77.0,25367645385
1777822090.8,7531676,575.0,76.0,25433295486
1777822091.813,7531676,576.0,73.0,25499133635
1777822092.825,7531676,576.0,76.0,25564891462
1777822093.838,7531676,577.0,77.0,25630752744
1777822094.85,7531676,578.0,77.0,25696487134
1777822095.862,7531676,578.0,75.0,25762489223
1777822096.875,7531676,579.0,75.0,25828089580
1777822097.886,7531676,580.0,75.0,25893816280
1777822098.898,7531676,580.0,74.0,25959534434
1777822099.91,7531676,581.0,75.0,26025470911
1777822100.922,7531676,581.0,75.0,26091139993
1777822101.934,7531676,582.0,75.0,26156985039
1777822102.946,7531676,582.0,75.0,26222681954
1777822103.957,7531676,583.0,76.0,26288356285
1777822104.969,7531676,583.0,76.0,26354069862
1777822105.981,7531676,583.0,75.0,26419988150
1777822106.994,7531676,584.0,75.0,26485622015
1777822108.005,7531676,584.0,76.0,26551350424
1777822109.017,7531676,585.0,76.0,26617222997
1777822110.029,7531676,585.0,75.0,26683082325
1777822111.041,7531676,585.0,76.0,26749031986
1777822112.053,7531676,586.0,78.0,26814820636
1777822113.064,7531676,577.0,77.0,26880520541
1777822114.076,7531676,577.0,73.0,26946029711
1777822115.088,7531676,578.0,74.0,27011728823
1777822116.1,7531676,578.0,77.0,27077510515
1777822117.111,7531676,578.0,73.0,27143193513
1777822118.123,7531676,579.0,76.0,27209358139
1777822119.134,7531676,579.0,75.0,27274805115
1777822120.146,7531676,580.0,77.0,27340468765
1777822121.158,7531676,580.0,75.0,27406436675
1777822122.169,7531676,580.0,76.0,27472056258
1777822123.182,7531676,581.0,75.0,27537831175
1777822124.193,7531676,581.0,76.0,27603796338
1777822125.205,7531676,581.0,76.0,27669426236
1777822126.217,7531676,582.0,76.0,27735149945
