elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777822573.143,11664,0.0,64.0,56754938630
1777822574.151,127684,100.0,70.0,56785699843
1777822575.166,7482036,120.0,68.0,56819084401
1777822576.177,7559480,195.0,83.0,56870919107
1777822577.187,7589560,297.0,85.0,56967778173
1777822578.198,7596376,359.0,83.0,57063799106
1777822579.209,7596500,400.0,86.0,57159889131
1777822580.222,7597008,430.0,76.0,57241045784
1777822581.234,7597008,452.0,74.0,57306100000
1777822582.245,7615096,469.0,73.0,57371316935
1777822583.262,7615096,483.0,72.0,57433292545
1777822584.277,7615096,494.0,73.0,57497380211
1777822585.289,7615096,504.0,73.0,57563636938
1777822586.305,7615096,512.0,73.0,57630313037
1777822587.32,7615096,519.0,74.0,57697013489
1777822588.332,7671620,524.0,74.0,57765958991
1777822589.344,7671620,529.0,73.0,57831367820
1777822590.356,7672640,534.0,73.0,57896699318
1777822591.368,7672640,538.0,74.0,57962210014
1777822592.381,7672640,541.0,74.0,58027736458
1777822593.392,7672640,545.0,75.0,58093219384
1777822594.404,7672640,548.0,75.0,58158748330
1777822595.416,7672640,550.0,76.0,58224488701
1777822596.427,7672640,553.0,75.0,58289832650
1777822597.439,7672640,555.0,74.0,58355456078
1777822598.451,7672640,557.0,75.0,58421129189
1777822599.463,7672640,559.0,74.0,58486784294
1777822600.476,7672640,561.0,74.0,58552521247
1777822601.488,7672640,562.0,76.0,58618184714
1777822602.498,7672640,564.0,77.0,58683907447
1777822603.51,7672640,565.0,75.0,58749447440
1777822604.521,7672640,567.0,75.0,58815203924
1777822605.533,7672640,568.0,77.0,58880751547
1777822606.543,7672640,569.0,72.0,58946158423
1777822607.555,7672640,570.0,76.0,59012014578
1777822608.565,7672640,571.0,76.0,59077762762
1777822609.577,7672640,572.0,75.0,59143513997
1777822610.588,7672640,573.0,76.0,59209504429
1777822611.601,7672640,574.0,76.0,59275001087
1777822612.613,7672640,575.0,76.0,59340736331
1777822613.625,7672640,575.0,78.0,59406524981
1777822614.637,7672640,576.0,76.0,59472277316
1777822615.649,7672640,577.0,74.0,59537750842
1777822616.661,7672640,578.0,76.0,59603822938
1777822617.673,7672640,578.0,75.0,59669586869
1777822618.685,7672640,579.0,77.0,59735573639
1777822619.697,7672640,579.0,78.0,59801061874
1777822620.709,7672640,580.0,75.0,59866878905
1777822621.72,7672640,580.0,76.0,59932486037
1777822622.731,7672640,581.0,76.0,59998196990
1777822623.743,7672640,581.0,75.0,60064066206
1777822624.755,7672640,582.0,77.0,60129878476
1777822625.767,7672640,582.0,75.0,60195608594
1777822626.779,7672640,583.0,76.0,60261596157
1777822627.79,7672640,583.0,74.0,60327064434
1777822628.802,7672640,583.0,75.0,60392766719
1777822629.814,7672640,584.0,76.0,60458327342
1777822630.825,7672640,584.0,75.0,60524261012
1777822631.837,7672640,584.0,73.0,60590134317
1777822632.849,7672640,585.0,74.0,60655857599
1777822633.861,7672640,585.0,76.0,60721749459
1777822634.873,7672640,585.0,75.0,60787664756
1777822635.885,7672640,586.0,76.0,60853254005
1777822636.897,7672640,586.0,76.0,60918731681
