elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777823598.144,13104,0.0,62.0,123228793908
1777823599.152,136276,101.0,73.0,123259264655
1777823600.162,7348556,131.0,70.0,123293630961
1777823601.171,7429484,192.0,82.0,123342709754
1777823602.183,7459564,296.0,82.0,123439560824
1777823603.193,7466380,358.0,87.0,123535497102
1777823604.204,7466504,399.0,86.0,123630105320
1777823605.215,7467012,429.0,86.0,123723043253
1777823606.226,7467012,451.0,86.0,123816191391
1777823607.238,7472104,468.0,75.0,123889625163
1777823608.253,7475176,482.0,73.0,123953592895
1777823609.268,7475176,494.0,73.0,124019136489
1777823610.284,7475176,503.0,72.0,124083279880
1777823611.301,7475176,511.0,72.0,124146528314
1777823612.317,7475176,518.0,73.0,124209754531
1777823613.333,7475176,524.0,71.0,124272936255
1777823614.35,7475176,530.0,71.0,124336101193
1777823615.361,7498960,534.0,83.0,124403818671
1777823616.373,7502156,538.0,75.0,124483474778
1777823617.385,7503176,542.0,74.0,124548729799
1777823618.398,7503176,545.0,74.0,124613909930
1777823619.41,7503176,548.0,72.0,124679035068
1777823620.422,7503176,551.0,72.0,124744496082
1777823621.434,7503176,553.0,74.0,124809817815
1777823622.446,7503176,555.0,72.0,124875037252
1777823623.458,7503176,557.0,74.0,124940773290
1777823624.471,7503176,559.0,74.0,125006163259
1777823625.483,7503176,561.0,75.0,125071713629
1777823626.496,7503176,563.0,73.0,125137178671
1777823627.507,7503176,564.0,75.0,125202817175
1777823628.519,7503176,566.0,74.0,125268436147
1777823629.532,7503176,567.0,76.0,125334147771
1777823630.543,7503176,568.0,74.0,125399961140
1777823631.555,7503176,569.0,74.0,125465536412
1777823632.567,7503176,570.0,74.0,125531028371
1777823633.578,7503176,571.0,76.0,125596711186
1777823634.59,7503176,572.0,74.0,125662360371
1777823635.602,7503176,573.0,75.0,125728094333
1777823636.614,7503176,574.0,74.0,125793818775
1777823637.626,7503176,575.0,75.0,125859573672
1777823638.638,7503176,576.0,76.0,125925557939
1777823639.65,7503176,576.0,76.0,125991098970
1777823640.662,7503176,577.0,75.0,126056768663
1777823641.675,7503176,578.0,75.0,126122686646
1777823642.687,7503176,579.0,73.0,126188333023
1777823643.699,7503176,579.0,75.0,126254162506
1777823644.711,7503176,580.0,74.0,126319943709
1777823645.723,7503176,580.0,73.0,126385572265
1777823646.734,7503176,581.0,76.0,126451638319
1777823647.746,7503176,581.0,73.0,126517120024
1777823648.758,7503176,582.0,73.0,126582769392
1777823649.77,7503176,582.0,75.0,126648674985
1777823650.782,7503176,583.0,74.0,126714409802
1777823651.794,7503176,583.0,73.0,126780148647
1777823652.807,7503176,584.0,73.0,126846026957
1777823653.819,7503176,584.0,74.0,126911775751
1777823654.831,7503176,584.0,76.0,126977749582
1777823655.843,7503176,585.0,74.0,127043269494
1777823656.855,7503176,585.0,75.0,127109070412
1777823657.867,7503176,586.0,73.0,127174885674
1777823658.88,7503176,586.0,75.0,127240705635
1777823659.891,7503176,586.0,74.0,127306404441
1777823660.903,7503176,587.0,74.0,127372242651
1777823661.915,7503176,587.0,76.0,127438201223
1777823662.927,7503176,587.0,75.0,127504012517
1777823663.939,7503176,588.0,75.0,127569448689
1777823664.951,7503176,588.0,76.0,127635164586
1777823665.963,7503176,588.0,75.0,127701072742
1777823666.975,7503176,588.0,76.0,127766853213
1777823667.987,7503176,589.0,76.0,127832628680
1777823668.998,7503176,589.0,77.0,127898326265
1777823670.01,7503176,589.0,74.0,127964403733
1777823671.023,7503176,589.0,76.0,128030032349
1777823672.035,7503176,590.0,74.0,128095935745
1777823673.047,7503176,590.0,75.0,128161499847
1777823674.059,7503176,582.0,73.0,128227212264
1777823675.071,7503176,583.0,74.0,128293267759
1777823676.083,7503176,583.0,74.0,128358831068
1777823677.095,7503176,583.0,73.0,128424639127
1777823678.108,7503176,583.0,74.0,128490427960
1777823679.12,7503176,584.0,74.0,128556273190
1777823680.133,7503176,584.0,73.0,128622286387
1777823681.145,7503176,584.0,74.0,128687995203
1777823682.157,7503176,585.0,73.0,128753752909
1777823683.169,7503176,585.0,73.0,128819453851
1777823684.182,7514708,585.0,74.0,128885287118
1777823685.198,7514708,585.0,72.0,128948973783
1777823686.214,7514708,586.0,70.0,129012604663
1777823687.227,7514708,586.0,73.0,129076165596
1777823688.242,7514708,586.0,78.0,129140548244
1777823689.257,7514708,586.0,72.0,129204426743
1777823690.274,7514708,587.0,72.0,129268256352
1777823691.289,7514708,587.0,72.0,129332034998
1777823692.304,7514708,587.0,72.0,129395916060
1777823693.319,7514708,587.0,73.0,129462710749
1777823694.334,7514708,588.0,73.0,129529872931
1777823695.345,7563340,588.0,87.0,129610048629
1777823696.357,7563340,588.0,76.0,129681101487
1777823697.369,7563340,588.0,74.0,129746230104
1777823698.382,7563340,588.0,74.0,129811602495
1777823699.394,7563340,588.0,72.0,129877045565
1777823700.406,7563340,589.0,74.0,129942376147
1777823701.418,7563340,589.0,76.0,130007663639
1777823702.433,7563340,589.0,72.0,130071718285
1777823703.449,7563340,589.0,72.0,130134979597
1777823704.465,7563340,589.0,72.0,130198258183
1777823705.481,7563340,590.0,72.0,130261494959
1777823706.498,7563340,590.0,72.0,130324855698
1777823707.514,7563340,590.0,73.0,130388109992
1777823708.531,7563340,590.0,72.0,130451511868
1777823709.542,7568616,590.0,88.0,130535536250
1777823710.554,7568616,590.0,75.0,130603701786
1777823711.566,7568616,590.0,75.0,130668912312
1777823712.579,7568616,591.0,76.0,130734160375
1777823713.591,7568616,591.0,75.0,130799451712
1777823714.603,7568616,591.0,74.0,130864841498
1777823715.615,7568616,591.0,73.0,130930194725
1777823716.631,7568616,591.0,72.0,130992278245
1777823717.647,7568616,591.0,73.0,131055321968
1777823718.663,7568616,591.0,72.0,131118420927
1777823719.679,7568616,592.0,71.0,131181574452
1777823720.696,7568616,592.0,72.0,131244821605
1777823721.708,7583296,592.0,80.0,131309077849
1777823722.718,7583296,592.0,77.0,131394826958
1777823723.731,7583296,592.0,74.0,131459738291
1777823724.743,7583296,592.0,74.0,131524761745
1777823725.755,7583296,592.0,74.0,131589965008
1777823726.767,7583296,592.0,76.0,131655372373
1777823727.779,7583296,593.0,74.0,131720758863
1777823728.791,7583296,593.0,74.0,131786051848
