elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777824125.806,12648,0.0,62.0,157538205160
1777824126.813,3573604,101.0,68.0,157568760197
1777824127.825,4537880,278.0,72.0,157629438020
1777824128.836,4667180,385.0,84.0,157716732230
1777824129.847,4667496,440.0,86.0,157806361273
1777824130.859,4667496,473.0,86.0,157898896864
1777824131.871,4667496,496.0,77.0,157978607475
1777824132.883,4667496,512.0,75.0,158043852120
1777824133.895,4718956,523.0,76.0,158108643946
1777824134.907,4721864,532.0,73.0,158172757125
1777824135.921,4721864,540.0,72.0,158234070261
1777824136.934,4721864,546.0,72.0,158295517308
1777824137.947,4721864,551.0,72.0,158356888916
1777824138.962,4721864,555.0,72.0,158418440211
1777824139.974,4721864,559.0,72.0,158479503593
1777824140.988,4721864,562.0,72.0,158540901324
1777824142.0,4721864,565.0,72.0,158605402257
1777824143.012,4768948,567.0,72.0,158668897700
1777824144.024,4768948,569.0,72.0,158732809951
1777824145.036,4768948,571.0,72.0,158796705234
1777824146.051,4768948,573.0,73.0,158860797844
1777824147.063,4768948,548.0,72.0,158924638195
1777824148.076,4768948,551.0,75.0,158986110938
1777824149.089,4768948,553.0,70.0,159047175846
1777824150.102,4768948,555.0,70.0,159108212188
1777824151.114,4840252,556.0,76.0,159185617691
1777824152.125,4840668,558.0,85.0,159277100428
1777824153.137,4840668,560.0,75.0,159354159679
1777824154.149,4840668,562.0,75.0,159419316739
1777824155.161,4840668,563.0,76.0,159484548993
1777824156.173,4840668,565.0,74.0,159549431029
1777824157.185,4840668,566.0,76.0,159615005324
1777824158.196,4841276,567.0,77.0,159680825224
1777824159.208,4841276,568.0,71.0,159745486436
1777824160.219,4841276,569.0,76.0,159810972901
1777824161.231,4841276,570.0,75.0,159876753800
1777824162.245,4841276,571.0,74.0,159942495026
1777824163.257,4841276,572.0,73.0,160008018906
1777824164.269,4841276,573.0,75.0,160073154298
1777824165.281,4841276,574.0,76.0,160138664873
1777824166.292,4842300,575.0,76.0,160204330537
1777824167.304,4842300,576.0,73.0,160270516098
1777824168.316,4842300,576.0,74.0,160336223632
1777824169.327,4842300,577.0,70.0,160401610550
1777824170.339,4842300,578.0,75.0,160467424285
1777824171.351,4842300,578.0,75.0,160532957870
1777824172.363,4842300,579.0,74.0,160598856138
1777824173.375,4842300,579.0,76.0,160664455946
1777824174.387,4842300,580.0,76.0,160730326383
1777824175.399,4843324,580.0,72.0,160795659651
1777824176.411,4843324,581.0,78.0,160861532651
1777824177.424,4843324,581.0,74.0,160927162183
1777824178.436,4843324,582.0,77.0,160992865506
1777824179.449,4843324,582.0,73.0,161058697979
1777824180.461,4843324,583.0,71.0,161124347713
1777824181.471,4843324,583.0,73.0,161190179332
1777824182.482,4843324,584.0,75.0,161256284143
1777824183.494,4844348,584.0,76.0,161322360634
1777824184.504,4844348,584.0,76.0,161388019890
1777824185.516,4844348,585.0,76.0,161453577705
1777824186.528,4844348,585.0,74.0,161519250938
1777824187.54,4844348,585.0,76.0,161585125281
1777824188.552,4844348,586.0,76.0,161650837820
1777824189.564,4844348,586.0,75.0,161716519415
1777824190.576,4844348,586.0,73.0,161782246969
1777824191.59,4844348,587.0,74.0,161848155125
1777824192.602,4845372,587.0,72.0,161913561269
1777824193.614,4845372,587.0,76.0,161979500248
1777824194.624,4845372,587.0,71.0,162045124470
1777824195.637,4845372,588.0,74.0,162111139071
1777824196.648,4845372,588.0,76.0,162176639514
1777824197.66,4845372,588.0,70.0,162242354555
1777824198.672,4845372,588.0,73.0,162308566483
1777824199.685,4845372,589.0,76.0,162374425323
1777824200.697,4845372,589.0,75.0,162440095199
1777824201.709,4846396,589.0,75.0,162505913268
1777824202.722,4846396,589.0,75.0,162571673109
1777824203.734,4846396,589.0,75.0,162637005095
1777824204.745,4846396,590.0,76.0,162702590743
1777824205.756,4846396,590.0,74.0,162768853452
1777824206.768,4846396,590.0,73.0,162834602124
1777824207.778,4846396,590.0,74.0,162900102261
1777824208.79,4846396,590.0,76.0,162965841778
1777824209.802,4846396,591.0,75.0,163031960017
1777824210.814,4846396,591.0,76.0,163097705149
1777824211.826,4846396,591.0,74.0,163163495142
1777824212.837,4846396,591.0,76.0,163229180337
