elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777825335.434,15884,0.0,63.0,236019922887
1777825336.443,3606152,100.0,68.0,236050595415
1777825337.458,4603556,280.0,73.0,236112914104
1777825338.469,4733120,386.0,86.0,236201104857
1777825339.48,4733436,441.0,83.0,236290424697
1777825340.491,4733436,474.0,86.0,236382680991
1777825341.503,4733436,496.0,78.0,236472089026
1777825342.515,4733436,512.0,76.0,236537340568
1777825343.526,4784896,523.0,76.0,236601903696
1777825344.537,4787804,532.0,73.0,236666109037
1777825345.55,4787804,540.0,71.0,236727834710
1777825346.562,4787804,546.0,72.0,236791269545
1777825347.579,4787804,551.0,74.0,236855348726
1777825348.591,4787804,555.0,73.0,236919142264
1777825349.604,4787804,559.0,73.0,236982777538
1777825350.615,4787804,562.0,72.0,237046448335
1777825351.627,4787804,565.0,74.0,237109768546
1777825352.64,4787804,567.0,73.0,237171315386
1777825353.653,4787804,570.0,72.0,237232723188
1777825354.666,4787804,572.0,71.0,237294092659
1777825355.679,4787804,573.0,73.0,237355559299
1777825356.692,4787804,575.0,71.0,237417041014
1777825357.705,4787804,576.0,71.0,237478361292
1777825358.718,4787804,578.0,72.0,237539842213
1777825359.728,4866308,578.0,79.0,237609243403
1777825360.739,4866724,579.0,86.0,237700823002
1777825361.751,4866724,580.0,77.0,237783072365
1777825362.764,4866724,581.0,75.0,237848365044
1777825363.776,4866724,582.0,71.0,237913105723
1777825364.788,4866724,583.0,76.0,237978679042
1777825365.802,4866724,584.0,74.0,238044188151
1777825366.814,4866724,585.0,74.0,238109546810
1777825367.825,4867332,585.0,76.0,238175091503
1777825368.838,4867332,586.0,74.0,238240402920
1777825369.849,4867332,587.0,74.0,238305966656
1777825370.861,4867332,587.0,74.0,238371467831
1777825371.873,4867332,588.0,74.0,238437069775
1777825372.885,4867332,588.0,73.0,238502600796
1777825373.897,4867332,589.0,76.0,238568177166
1777825374.909,4867332,589.0,74.0,238633770138
1777825375.922,4868356,589.0,74.0,238699102307
1777825376.933,4868356,590.0,74.0,238765175563
1777825377.944,4868356,590.0,74.0,238830152753
