host_label,model,config,type_k,type_v,phase,n_prompt,n_gen,threads,avg_tokens_per_sec,stddev_tokens_per_sec,avg_ms,build_commit,build_number,speedup_vs_f16_pct,speedup_vs_q4_pct
x86_llama_bench,gemma4_e4b,f16/f16,f16,f16,prompt,2048,0,6,75.157615,7.0976,27371.453285,ef7047a,6,0.0,40.95181502319094
x86_llama_bench,gemma4_e4b,f16/f16,f16,f16,decode,0,64,6,10.014992,0.084304,6390.645842,ef7047a,6,0.0,-0.27801694588015513
x86_llama_bench,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,prompt,2048,0,6,64.096867,0.055928,31951.651808,ef7047a,6,-14.716736288132616,20.208308112891448
x86_llama_bench,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,decode,0,64,6,10.041727,0.044218,6373.46753,ef7047a,6,0.26694978887651377,-0.011809322653699716
x86_llama_bench,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,prompt,2048,0,6,53.321495,0.189799,38408.768793,ef7047a,6,-29.05376920222922,0.0
x86_llama_bench,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,decode,0,64,6,10.042913,0.093085,6372.92682,ef7047a,6,0.2787920349811568,0.0
x86_llama_bench,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,prompt,2048,0,6,66.871816,0.058009,30625.7688,ef7047a,6,-11.024563512293483,25.412492654228846
x86_llama_bench,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,decode,0,64,6,10.089333,0.049567,6343.409479,ef7047a,6,0.742297148115556,0.462216490374856
x86_llama_bench,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,prompt,2048,0,6,68.049797,0.674173,30097.084575,ef7047a,6,-9.457216011976977,27.621697403645573
x86_llama_bench,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,decode,0,64,6,10.111736,0.010617,6329.282794,ef7047a,6,0.9659917851157607,0.685289218377183
x86_llama_bench,qwen35_4b,f16/f16,f16,f16,prompt,2048,0,6,59.610831,0.38317,34356.882624,ef7047a,6,0.0,13.307125240434514
x86_llama_bench,qwen35_4b,f16/f16,f16,f16,decode,0,64,6,7.598505,0.116857,8423.705649,ef7047a,6,0.0,1.027572791059539
x86_llama_bench,qwen35_4b,q8_0/q8_0,q8_0,q8_0,prompt,2048,0,6,56.954017,0.432032,35959.86809,ef7047a,6,-4.456931660623886,8.257104101850832
x86_llama_bench,qwen35_4b,q8_0/q8_0,q8_0,q8_0,decode,0,64,6,7.662275,0.015257,8352.627641,ef7047a,6,0.8392440355043496,1.8754406699233117
x86_llama_bench,qwen35_4b,q4_0/q4_0,q4_0,q4_0,prompt,2048,0,6,52.609958,0.600612,38930.528217,ef7047a,6,-11.744296938252708,0.0
x86_llama_bench,qwen35_4b,q4_0/q4_0,q4_0,q4_0,decode,0,64,6,7.521219,0.234475,8513.395501,ef7047a,6,-1.0171211310646022,0.0
x86_llama_bench,qwen35_4b,tbq4/tbq4,tbq4,tbq4,prompt,2048,0,6,59.002093,0.078432,34710.663819,ef7047a,6,-1.0211869047757394,12.150047715301348
x86_llama_bench,qwen35_4b,tbq4/tbq4,tbq4,tbq4,decode,0,64,6,7.509054,0.090201,8523.658958,ef7047a,6,-1.1772184133589492,-0.16174239840643923
x86_llama_bench,qwen35_4b,q8_0/tbq4,q8_0,tbq4,prompt,2048,0,6,59.370729,0.033096,34495.118267,ef7047a,6,-0.4027825077627223,12.850743959917232
x86_llama_bench,qwen35_4b,q8_0/tbq4,q8_0,tbq4,decode,0,64,6,7.575734,0.141133,8449.492009,ef7047a,6,-0.29967737074596545,0.7248160171908324
