elapsed_sec,rss_kb,cpu_pct,thermal_max_c
1777804945.285,17156,0.0,59.0
1777804946.294,2900248,101.0,61.0
1777804947.305,4535100,149.0,67.0
1777804948.315,4667452,298.0,68.0
1777804949.326,4667768,375.0,73.0
1777804950.337,4667768,421.0,77.0
1777804951.348,4667768,452.0,77.0
1777804952.359,4667768,474.0,78.0
1777804953.369,4667768,490.0,78.0
1777804954.38,4719228,503.0,77.0
1777804955.393,4722136,513.0,69.0
1777804956.405,4722136,522.0,66.0
1777804957.419,4722136,529.0,67.0
1777804958.432,4722136,535.0,67.0
1777804959.446,4722136,540.0,66.0
1777804960.459,4722136,545.0,66.0
1777804961.476,4722136,549.0,68.0
1777804962.488,4722136,552.0,70.0
1777804963.5,4722136,555.0,65.0
1777804964.514,4722136,558.0,68.0
1777804965.527,4722136,560.0,66.0
1777804966.543,4722136,563.0,67.0
1777804967.555,4722136,565.0,66.0
1777804968.569,4722136,567.0,69.0
1777804969.581,4722136,568.0,68.0
1777804970.595,4722136,570.0,68.0
1777804971.608,4722136,571.0,68.0
1777804972.618,4779188,572.0,84.0
1777804973.629,4779188,573.0,80.0
1777804974.641,4779188,574.0,78.0
1777804975.652,4779188,575.0,83.0
1777804976.663,4779188,576.0,85.0
1777804977.675,4779188,577.0,78.0
1777804978.686,4830648,578.0,84.0
1777804979.699,4830648,579.0,71.0
1777804980.712,4830648,580.0,71.0
1777804981.724,4830648,580.0,69.0
1777804982.738,4830648,581.0,69.0
1777804983.751,4830648,582.0,70.0
1777804984.764,4830648,582.0,68.0
1777804985.777,4830648,583.0,70.0
1777804986.79,4830648,584.0,72.0
1777804987.808,4830648,584.0,70.0
1777804988.822,4830648,585.0,69.0
1777804989.835,4830648,585.0,69.0
1777804990.849,4830648,586.0,69.0
1777804991.859,4900628,586.0,84.0
1777804992.871,4901008,586.0,84.0
1777804993.882,4901008,587.0,83.0
1777804994.893,4901008,587.0,86.0
1777804995.904,4901008,588.0,86.0
1777804996.916,4901008,588.0,82.0
1777804997.927,4901008,588.0,79.0
1777804998.937,4952468,588.0,86.0
1777804999.949,4953108,589.0,74.0
1777805000.96,4953108,589.0,73.0
1777805001.974,4953108,589.0,72.0
1777805002.987,4953108,590.0,70.0
1777805004.004,4953108,590.0,72.0
1777805005.016,4953108,590.0,72.0
1777805006.029,4953108,591.0,73.0
1777805007.042,4953108,591.0,70.0
1777805008.053,5010148,591.0,76.0
1777805009.064,5010148,582.0,83.0
1777805010.075,5010148,582.0,78.0
1777805011.087,5010148,583.0,78.0
1777805012.098,5010148,583.0,83.0
1777805013.109,5010148,583.0,76.0
1777805014.12,5061608,584.0,82.0
1777805015.133,5061608,584.0,73.0
1777805016.145,5061608,584.0,71.0
1777805017.158,5061608,585.0,70.0
1777805018.171,5061608,585.0,69.0
1777805019.184,5061608,585.0,73.0
1777805020.201,5061608,586.0,68.0
1777805021.215,5061608,586.0,70.0
1777805022.228,5061608,586.0,70.0
1777805023.241,5061608,586.0,70.0
1777805024.254,5061608,587.0,70.0
1777805025.272,5061608,587.0,70.0
1777805026.285,5061608,587.0,73.0
1777805027.298,5061608,587.0,68.0
1777805028.308,5118368,587.0,81.0
1777805029.319,5118368,588.0,83.0
1777805030.33,5118368,588.0,82.0
1777805031.341,5118368,588.0,82.0
1777805032.352,5118368,588.0,83.0
1777805033.363,5169828,588.0,83.0
1777805034.376,5169828,589.0,75.0
1777805035.391,5169828,589.0,71.0
1777805036.405,5169828,589.0,69.0
1777805037.419,5169828,589.0,71.0
1777805038.432,5169828,589.0,70.0
1777805039.444,5169828,590.0,70.0
1777805040.456,5169828,590.0,71.0
1777805041.47,5169828,590.0,73.0
1777805042.483,5169828,590.0,70.0
1777805043.497,5169828,590.0,70.0
1777805044.51,5169828,591.0,69.0
1777805045.524,5169828,591.0,69.0
1777805046.536,5169828,591.0,71.0
1777805047.547,5225812,591.0,80.0
1777805048.559,5225812,591.0,83.0
1777805049.57,5225812,591.0,86.0
1777805050.582,5225812,591.0,86.0
1777805051.593,5225812,591.0,84.0
1777805052.604,5277272,592.0,88.0
1777805053.617,5277272,592.0,72.0
1777805054.63,5277272,592.0,74.0
1777805055.642,5277272,592.0,71.0
1777805056.656,5277272,592.0,72.0
1777805057.67,5277272,592.0,74.0
1777805058.683,5277272,592.0,71.0
