elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777805318.646,15948,0.0,59.0,201903366487
1777805319.154,85032,50.0,64.0,201918724114
1777805319.661,3627720,101.0,62.0,201933682877
1777805320.194,4534940,135.0,58.0,201955610799
1777805320.709,4538120,290.0,72.0,201995082317
1777805321.218,4667228,292.0,81.0,202036670528
1777805321.729,4667228,394.0,82.0,202082847595
1777805322.239,4667544,372.0,82.0,202125911511
1777805322.75,4667544,449.0,83.0,202171250506
1777805323.261,4667544,420.0,82.0,202216633874
1777805323.771,4667544,481.0,82.0,202262404570
1777805324.282,4667544,452.0,83.0,202308030796
1777805324.792,4667544,503.0,82.0,202353891457
1777805325.303,4667544,475.0,86.0,202400014935
1777805325.813,4667544,519.0,86.0,202446108506
1777805326.323,4667544,492.0,78.0,202490104304
1777805326.834,4719004,530.0,82.0,202534902041
1777805327.344,4719004,505.0,79.0,202581670659
1777805327.859,4721912,539.0,73.0,202615947061
1777805328.375,4721912,516.0,73.0,202647313069
1777805328.889,4721912,547.0,72.0,202678225771
1777805329.401,4721912,525.0,72.0,202709352583
1777805329.913,4721912,553.0,73.0,202740407313
1777805330.426,4721912,533.0,71.0,202771381477
1777805330.938,4721912,558.0,72.0,202802342519
1777805331.451,4721912,539.0,72.0,202833336397
1777805331.963,4721912,563.0,72.0,202864414259
1777805332.48,4721912,544.0,71.0,202895616755
1777805332.993,4721912,566.0,71.0,202926515785
1777805333.506,4721912,549.0,72.0,202957521259
1777805334.018,4721912,570.0,74.0,202988417299
1777805334.531,4721912,553.0,72.0,203019386702
1777805335.043,4721912,572.0,71.0,203050397670
1777805335.556,4721912,557.0,72.0,203081387519
1777805336.068,4721912,543.0,72.0,203113154650
1777805336.579,4721912,560.0,72.0,203145420254
1777805337.094,4721912,547.0,72.0,203177785649
1777805337.607,4721912,563.0,72.0,203209957320
1777805338.12,4721912,550.0,74.0,203242236046
1777805338.631,4721912,566.0,72.0,203274303285
1777805339.143,4721912,553.0,73.0,203306602519
1777805339.659,4721912,568.0,72.0,203339049641
1777805340.171,4721912,556.0,71.0,203371348813
1777805340.683,4721912,570.0,73.0,203403672278
1777805341.195,4721912,559.0,72.0,203435862991
1777805341.707,4721912,572.0,72.0,203467622981
1777805342.219,4721912,561.0,72.0,203498734290
1777805342.732,4721912,574.0,72.0,203529804706
1777805343.247,4721912,563.0,72.0,203561202636
1777805343.762,4721912,575.0,72.0,203592361919
1777805344.275,4721912,565.0,72.0,203623364037
1777805344.785,4778964,576.0,77.0,203653904792
1777805345.296,4778964,566.0,79.0,203698191116
1777805345.807,4778964,578.0,82.0,203745103960
1777805346.317,4778964,568.0,84.0,203791036215
1777805346.828,4778964,579.0,85.0,203836908535
1777805347.339,4778964,569.0,87.0,203883242461
1777805347.85,4778964,580.0,79.0,203928969029
1777805348.36,4778964,571.0,86.0,203975535194
1777805348.871,4778964,581.0,86.0,204022129008
1777805349.382,4778964,572.0,86.0,204068588117
1777805349.893,4778964,582.0,87.0,204114591601
1777805350.403,4830424,573.0,84.0,204159313471
1777805350.914,4830424,583.0,87.0,204206632014
1777805351.427,4830424,575.0,74.0,204243251061
1777805351.94,4830424,584.0,73.0,204274697392
1777805352.453,4830424,576.0,72.0,204306138168
1777805352.966,4830424,585.0,73.0,204337600673
1777805353.481,4830424,577.0,72.0,204368994148
1777805353.997,4830424,586.0,73.0,204400386950
1777805354.51,4830424,578.0,72.0,204431552703
1777805355.023,4830424,587.0,72.0,204462757335
1777805355.535,4830424,579.0,71.0,204493956474
1777805356.049,4830424,587.0,71.0,204525175816
1777805356.561,4830424,580.0,71.0,204556339920
1777805357.077,4830424,573.0,75.0,204587953731
1777805357.589,4830424,581.0,71.0,204619966222
1777805358.102,4830424,574.0,73.0,204651115496
1777805358.614,4830424,582.0,71.0,204682263853
1777805359.127,4830424,575.0,69.0,204713386698
1777805359.64,4830424,582.0,72.0,204744362571
1777805360.152,4830424,576.0,72.0,204775394352
1777805360.668,4830424,583.0,72.0,204806599900
1777805361.183,4830424,577.0,71.0,204837706327
1777805361.696,4830424,584.0,72.0,204869174752
1777805362.208,4830424,578.0,71.0,204900257741
1777805362.721,4830424,585.0,72.0,204931254915
1777805363.235,4830424,579.0,70.0,204962341139
1777805363.75,4830544,585.0,76.0,204993432612
1777805364.261,4900788,579.0,86.0,205034830578
1777805364.771,4900788,586.0,85.0,205080125323
1777805365.281,4901172,580.0,78.0,205124344692
1777805365.792,4901172,586.0,83.0,205168773289
1777805366.302,4901172,580.0,85.0,205212482833
1777805366.813,4901172,587.0,82.0,205257182364
1777805367.323,4901172,581.0,84.0,205301981810
1777805367.834,4901172,587.0,84.0,205346540351
1777805368.344,4901172,582.0,85.0,205391515395
1777805368.856,4901172,588.0,82.0,205435489952
1777805369.366,4901172,582.0,86.0,205480228668
1777805369.876,4901172,588.0,82.0,205525143165
1777805370.387,4901172,583.0,86.0,205570943463
1777805370.898,4901172,589.0,85.0,205615690541
1777805371.408,4952632,583.0,86.0,205660203672
1777805371.918,4952632,589.0,81.0,205707243407
1777805372.43,4953300,584.0,76.0,205748106462
1777805372.943,4953300,590.0,72.0,205779834347
1777805373.456,4953300,584.0,72.0,205810991188
1777805373.972,4953300,590.0,73.0,205842433063
1777805374.485,4953300,585.0,71.0,205873488160
1777805374.999,4953300,590.0,71.0,205904614911
1777805375.512,4953300,586.0,71.0,205935768762
1777805376.025,4953300,591.0,72.0,205966873907
1777805376.537,4953300,586.0,70.0,205997892993
1777805377.05,4953300,591.0,71.0,206028985320
1777805377.568,4953300,587.0,71.0,206060318858
1777805378.08,4953300,582.0,71.0,206091375175
1777805378.593,4953300,587.0,72.0,206122368809
1777805379.106,4953300,582.0,70.0,206153388932
1777805379.618,4953300,587.0,71.0,206184442930
1777805380.13,4953300,583.0,72.0,206215444560
1777805380.642,4953300,588.0,71.0,206246406211
