elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777805381.163,16116,0.0,63.0,206261176315
1777805381.671,84876,0.0,70.0,206276631171
1777805382.179,3589212,101.0,68.0,206291991178
1777805382.689,4567748,263.0,71.0,206315606169
1777805383.198,4584444,283.0,69.0,206355949754
1777805383.707,4700136,431.0,83.0,206398637938
1777805384.217,4700452,389.0,76.0,206444509403
1777805384.728,4700452,491.0,82.0,206489470897
1777805385.239,4700452,445.0,84.0,206536102858
1777805385.749,4700452,521.0,79.0,206581939593
1777805386.26,4700452,478.0,86.0,206628389914
1777805386.771,4700452,539.0,84.0,206675623863
1777805387.282,4700452,501.0,83.0,206721367093
1777805387.793,4700452,552.0,84.0,206768440214
1777805388.303,4700452,517.0,84.0,206814898103
1777805388.813,4751912,560.0,79.0,206858799419
1777805389.323,4751912,528.0,84.0,206906001142
1777805389.836,4754820,566.0,73.0,206945759646
1777805390.349,4754820,538.0,72.0,206977701458
1777805390.861,4754820,572.0,72.0,207008768579
1777805391.373,4754820,545.0,72.0,207039835577
1777805391.886,4754820,576.0,73.0,207070842944
1777805392.399,4754820,552.0,74.0,207101865630
1777805392.914,4754820,580.0,73.0,207132920666
1777805393.426,4754820,557.0,74.0,207164701102
1777805393.938,4754820,583.0,72.0,207196950287
1777805394.452,4754820,561.0,72.0,207229132516
1777805394.964,4754820,585.0,73.0,207261276721
1777805395.476,4754820,565.0,71.0,207293382047
1777805395.993,4754820,587.0,72.0,207325836737
1777805396.505,4754820,569.0,72.0,207357772995
1777805397.017,4754820,589.0,72.0,207389776209
1777805397.534,4754820,572.0,72.0,207422234622
1777805398.046,4754820,591.0,72.0,207454229108
1777805398.563,4801908,573.0,71.0,207486012962
1777805399.075,4801908,559.0,71.0,207517258122
1777805399.587,4801908,576.0,70.0,207548006578
1777805400.1,4801908,562.0,71.0,207578850859
1777805400.612,4801908,578.0,72.0,207609587353
1777805401.125,4801908,564.0,70.0,207640398187
1777805401.637,4801908,580.0,72.0,207671114051
1777805402.149,4801908,566.0,71.0,207701981465
1777805402.663,4801908,581.0,72.0,207732842164
1777805403.182,4801908,569.0,73.0,207764099714
1777805403.697,4801908,583.0,71.0,207794887660
1777805404.21,4801908,571.0,71.0,207825632698
1777805404.722,4801908,584.0,69.0,207856463735
1777805405.233,4861176,572.0,85.0,207896939645
1777805405.744,4861176,585.0,79.0,207943539013
1777805406.254,4861176,574.0,83.0,207989976394
1777805406.765,4861176,586.0,86.0,208035758137
1777805407.277,4861176,575.0,87.0,208082879415
1777805407.787,4861176,587.0,81.0,208129213403
1777805408.298,4861176,577.0,86.0,208176189479
1777805408.808,4861176,588.0,86.0,208223396268
1777805409.319,4861176,578.0,87.0,208269756622
1777805409.83,4861176,589.0,83.0,208315650365
1777805410.341,4912636,579.0,87.0,208361309061
1777805410.855,4912636,589.0,79.0,208409162943
1777805411.369,4912636,580.0,74.0,208440600179
1777805411.881,4912636,590.0,74.0,208471750429
1777805412.392,4912636,581.0,72.0,208502898299
1777805412.905,4912636,591.0,72.0,208533985988
1777805413.417,4912636,582.0,72.0,208565134528
1777805413.931,4912636,592.0,71.0,208596232532
1777805414.444,4912636,583.0,70.0,208627365814
1777805414.956,4912636,593.0,72.0,208658374646
1777805415.472,4912636,584.0,72.0,208689577691
1777805415.989,4912636,593.0,73.0,208720952733
1777805416.502,4912636,585.0,70.0,208751873125
1777805417.016,4912636,594.0,72.0,208782901244
1777805417.529,4912636,586.0,71.0,208813975749
1777805418.041,4912636,595.0,71.0,208844963097
1777805418.554,4912636,587.0,70.0,208876020818
1777805419.066,4912636,579.0,70.0,208906943224
1777805419.578,4912636,587.0,72.0,208937925871
1777805420.092,4912636,580.0,69.0,208968991649
1777805420.604,4912636,588.0,72.0,208999885002
1777805421.122,4912636,581.0,70.0,209031211521
1777805421.635,4912636,589.0,71.0,209062950454
1777805422.147,4912636,582.0,71.0,209095041192
1777805422.659,4912636,590.0,72.0,209127185885
1777805423.171,4912636,583.0,74.0,209159201184
1777805423.682,4971444,590.0,80.0,209193235276
1777805424.193,4971444,583.0,79.0,209236665768
1777805424.703,4971444,590.0,81.0,209282225161
1777805425.214,4971444,584.0,83.0,209327007212
1777805425.724,4971444,591.0,83.0,209371728350
1777805426.235,4971444,584.0,73.0,209408407699
1777805426.747,4971444,591.0,76.0,209441337363
1777805427.258,4971444,585.0,76.0,209474690672
1777805427.77,4971444,592.0,74.0,209507718724
1777805428.282,4971444,586.0,72.0,209540200514
1777805428.792,4971444,592.0,69.0,209573342091
1777805429.304,4971444,586.0,73.0,209606576870
1777805429.816,4971444,593.0,75.0,209638983647
1777805430.326,5022904,587.0,72.0,209672486979
1777805430.838,5022904,593.0,74.0,209705651445
1777805431.35,5022904,587.0,72.0,209736181152
1777805431.864,5022904,593.0,73.0,209767198346
1777805432.377,5022904,588.0,70.0,209798399377
1777805432.89,5022904,594.0,71.0,209829385747
1777805433.402,5022904,588.0,72.0,209860433947
1777805433.914,5022904,594.0,73.0,209891459319
1777805434.427,5022904,589.0,71.0,209922556713
1777805434.94,5022904,595.0,70.0,209953598686
1777805435.453,5022904,589.0,71.0,209984707066
1777805435.97,5022904,595.0,72.0,210016083756
1777805436.485,5022904,590.0,70.0,210047144834
1777805436.999,5022904,595.0,71.0,210078189615
1777805437.512,5022904,590.0,72.0,210109152793
1777805438.024,5022904,596.0,71.0,210140252994
1777805438.536,5022904,591.0,73.0,210171248276
1777805439.048,5022904,596.0,71.0,210202245450
1777805439.56,5022904,591.0,72.0,210233242502
1777805440.073,5022904,586.0,72.0,210264326773
1777805440.585,5022904,591.0,71.0,210295227023
1777805441.102,5022904,587.0,72.0,210326511794
1777805441.619,5022904,592.0,72.0,210357753413
