elapsed_sec,rss_kb,cpu_pct,thermal_max_c,rapl_package_energy_uj
1777805442.143,12388,0.0,62.0,210373945022
1777805442.651,84572,0.0,70.0,210389657079
1777805443.159,3611408,101.0,68.0,210404942807
1777805443.68,4534804,267.0,61.0,210427014833
1777805444.195,4538048,288.0,74.0,210467476643
1777805444.705,4667156,437.0,83.0,210509711521
1777805445.216,4667156,393.0,77.0,210556137366
1777805445.727,4667472,495.0,84.0,210600711471
1777805446.238,4667472,448.0,84.0,210647108996
1777805446.748,4667472,525.0,86.0,210693697805
1777805447.259,4667472,481.0,82.0,210739562373
1777805447.77,4667472,542.0,85.0,210786398068
1777805448.281,4667472,503.0,77.0,210831140385
1777805448.793,4667472,554.0,75.0,210864713297
1777805449.305,4667472,519.0,74.0,210897672502
1777805449.816,4667472,562.0,72.0,210929886897
1777805450.327,4718932,530.0,74.0,210963360567
1777805450.839,4718932,568.0,73.0,210996365670
1777805451.352,4721840,539.0,73.0,211027800953
1777805451.863,4721840,573.0,72.0,211060043791
1777805452.374,4721840,547.0,74.0,211092230476
1777805452.887,4721840,577.0,73.0,211124604600
1777805453.401,4721840,553.0,73.0,211157022302
1777805453.913,4721840,581.0,72.0,211189136844
1777805454.426,4721840,558.0,71.0,211221366193
1777805454.942,4721840,584.0,73.0,211253934347
1777805455.454,4721840,562.0,72.0,211286124511
1777805455.966,4721840,586.0,71.0,211318473854
1777805456.477,4721840,566.0,72.0,211349872761
1777805456.995,4721840,588.0,72.0,211381101807
1777805457.51,4721840,570.0,71.0,211412166425
1777805458.023,4721840,590.0,70.0,211443091028
1777805458.536,4721840,572.0,72.0,211473952033
1777805459.049,4721840,592.0,72.0,211504932361
1777805459.562,4768924,574.0,72.0,211535180087
1777805460.075,4768924,560.0,74.0,211566189773
1777805460.591,4768924,577.0,73.0,211597167477
1777805461.108,4768924,563.0,72.0,211628518593
1777805461.623,4768924,579.0,72.0,211659524068
1777805462.136,4768924,565.0,73.0,211690656617
1777805462.649,4768924,581.0,71.0,211722058331
1777805463.161,4768924,568.0,74.0,211753042383
1777805463.673,4768924,582.0,73.0,211784011786
1777805464.185,4768924,570.0,72.0,211814966602
1777805464.698,4768924,584.0,71.0,211845894623
1777805465.211,4768924,572.0,71.0,211876828260
1777805465.727,4768924,585.0,71.0,211907988520
1777805466.244,4768924,574.0,72.0,211939296057
1777805466.755,4825868,586.0,72.0,211969776020
1777805467.266,4825868,575.0,80.0,212014365994
1777805467.776,4825868,587.0,78.0,212061900235
1777805468.287,4825868,576.0,83.0,212107489962
1777805468.798,4825868,588.0,86.0,212154139379
1777805469.31,4825868,577.0,76.0,212191776184
1777805469.822,4825868,589.0,75.0,212224740272
1777805470.333,4825868,579.0,73.0,212257743422
1777805470.845,4825868,590.0,73.0,212290988088
1777805471.357,4825868,580.0,74.0,212323999845
1777805471.87,4825868,590.0,74.0,212356915105
1777805472.381,4825868,581.0,75.0,212389942852
1777805472.893,4877328,591.0,73.0,212422984332
1777805473.406,4877328,582.0,71.0,212455447567
1777805473.918,4877328,592.0,72.0,212485946879
1777805474.434,4877328,583.0,72.0,212517190573
1777805474.951,4877328,593.0,72.0,212548481631
1777805475.465,4877328,584.0,71.0,212579395126
1777805475.978,4877328,593.0,71.0,212610409207
1777805476.49,4877328,585.0,74.0,212641360299
1777805477.003,4877328,594.0,74.0,212672405081
1777805477.516,4877328,586.0,72.0,212704739287
1777805478.029,4877328,595.0,72.0,212735732677
1777805478.545,4877328,587.0,71.0,212766963738
1777805479.063,4877328,579.0,72.0,212798221897
1777805479.577,4877328,587.0,72.0,212829218766
1777805480.09,4877328,580.0,72.0,212860144102
1777805480.603,4877328,588.0,71.0,212891013225
1777805481.116,4877328,581.0,71.0,212921930565
1777805481.629,4877328,589.0,74.0,212952865422
1777805482.142,4877328,582.0,72.0,212983855150
1777805482.654,4877328,590.0,73.0,213014822844
1777805483.167,4877328,583.0,74.0,213045769664
1777805483.68,4877328,590.0,72.0,213076707207
1777805484.196,4877328,583.0,72.0,213107966405
1777805484.709,4877328,591.0,74.0,213140125929
1777805485.221,4877328,584.0,72.0,213172317436
1777805485.733,4877328,591.0,72.0,213204343782
1777805486.244,4933928,584.0,81.0,213238477362
1777805486.754,4933928,591.0,79.0,213281748430
1777805487.265,4933928,585.0,83.0,213327359092
1777805487.776,4933928,592.0,83.0,213372116790
1777805488.286,4933928,586.0,83.0,213416725624
1777805488.797,4933928,592.0,76.0,213452626716
1777805489.309,4933928,586.0,76.0,213485776106
1777805489.819,4933928,593.0,72.0,213518631857
1777805490.331,4933928,587.0,74.0,213551806821
1777805490.843,4933928,593.0,75.0,213584726415
1777805491.354,4933928,587.0,78.0,213617590344
1777805491.866,4933928,594.0,73.0,213650133474
1777805492.378,4933928,588.0,75.0,213683780238
1777805492.889,4985388,594.0,73.0,213716693118
1777805493.401,4985388,588.0,73.0,213749797769
1777805493.913,4985388,594.0,70.0,213780027611
1777805494.427,4985388,589.0,74.0,213810960455
1777805494.939,4985388,595.0,72.0,213841890673
1777805495.452,4985388,589.0,71.0,213872862457
1777805495.965,4985388,595.0,72.0,213903873364
1777805496.483,4985388,590.0,72.0,213935076409
1777805496.998,4985388,595.0,72.0,213966090490
1777805497.511,4985388,590.0,73.0,213996982317
1777805498.023,4985388,596.0,71.0,214027866760
