elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777930595.689,8016,0.0,55.1,0
1777930597.701,116064,95.0,56.2,0
1777930599.711,528784,62.3,55.1,0
1777930601.724,822208,42.4,53.45,0
1777930603.734,1069520,32.5,53.45,0
1777930605.743,1368016,26.6,55.1,0
1777930607.755,1588176,22.5,54.0,0
1777930609.768,1790416,19.8,53.45,0
1777930611.781,1986528,17.7,54.0,0
1777930613.793,2470400,16.1,54.55,0
1777930616.054,7258016,21.6,54.55,0
1777930618.067,7289344,41.2,62.8,0
1777930620.095,7299584,70.4,63.35,0
1777930622.116,7270912,95.5,66.1,0
1777930624.139,7270912,117.0,65.55,0
1777930626.165,7295488,134.0,68.85,0
1777930628.186,7301120,150.0,70.5,0
1777930630.219,7302144,165.0,73.25,0
1777930632.239,7302144,177.0,74.35,0
1777930634.264,7302144,189.0,74.35,0
1777930636.283,7302144,199.0,75.45,0
1777930638.314,7302144,208.0,76.55,0
1777930640.336,7302656,216.0,75.45,0
1777930642.354,7320576,224.0,74.9,0
1777930644.374,7320576,231.0,73.8,0
1777930646.395,7320576,237.0,73.25,0
1777930648.423,7320576,243.0,71.6,0
1777930650.446,7320576,248.0,69.4,0
1777930652.476,7320576,253.0,71.05,0
1777930654.499,7320576,258.0,72.15,0
1777930656.523,7320576,262.0,69.95,0
1777930658.549,7323648,266.0,71.05,0
1777930660.566,7323648,270.0,71.05,0
1777930662.686,7323648,274.0,70.5,0
1777930664.706,7323648,278.0,71.6,0
1777930666.733,7327232,281.0,74.35,0
1777930668.759,7327744,284.0,76.0,0
1777930670.792,7327744,287.0,75.45,0
1777930672.811,7327744,290.0,77.1,0
1777930674.837,7327744,293.0,76.0,0
1777930676.865,7327744,295.0,77.1,0
1777930678.897,7327744,298.0,77.1,0
1777930680.927,7327744,300.0,76.55,0
1777930682.949,7327744,302.0,77.1,0
1777930684.971,7327744,304.0,73.25,0
1777930686.99,7327744,306.0,72.15,0
1777930689.011,7327744,308.0,71.05,0
1777930691.037,7327744,310.0,74.9,0
1777930693.07,7327744,312.0,74.9,0
1777930695.1,7327744,314.0,75.45,0
1777930697.13,7327744,315.0,74.9,0
1777930699.157,7327744,317.0,74.35,0
1777930701.174,7327744,318.0,76.0,0
1777930703.203,7327744,320.0,74.9,0
1777930705.225,7327744,321.0,76.55,0
1777930707.249,7327744,322.0,76.0,0
1777930709.272,7327744,324.0,74.9,0
1777930711.297,7327744,325.0,72.7,0
1777930713.315,7327744,326.0,71.05,0
1777930715.334,7327744,327.0,70.5,0
1777930717.366,7327744,329.0,72.7,0
1777930719.388,7327744,330.0,74.35,0
1777930721.415,7327744,331.0,74.35,0
1777930723.447,7327744,332.0,76.0,0
1777930725.473,7327744,333.0,75.45,0
1777930727.501,7327744,334.0,76.55,0
1777930729.533,7327744,335.0,76.55,0
1777930731.551,7327744,335.0,76.55,0
1777930733.572,7327744,336.0,76.55,0
1777930735.594,7327744,337.0,76.55,0
1777930737.618,7327744,338.0,73.8,0
1777930739.64,7327744,339.0,72.15,0
1777930741.665,7327744,340.0,71.05,0
1777930743.703,7327744,340.0,68.85,0
1777930745.729,7327744,341.0,74.35,0
1777930747.758,7327744,342.0,73.25,0
1777930749.787,7327744,343.0,73.8,0
1777930751.813,7327744,343.0,75.45,0
1777930753.838,7327744,344.0,73.8,0
1777930755.866,7327744,344.0,74.35,0
1777930757.893,7327744,345.0,75.45,0
1777930759.923,7327744,346.0,75.45,0
1777930761.953,7327744,346.0,74.35,0
1777930763.972,7327744,347.0,75.45,0
1777930766.003,7327744,347.0,75.45,0
1777930768.021,7368704,348.0,74.35,0
1777930770.036,7368704,349.0,76.0,0
1777930772.064,7368704,349.0,72.15,0
1777930774.075,7368704,349.0,69.95,0
1777930776.099,7369216,350.0,68.85,0
1777930778.126,7369216,350.0,70.5,0
1777930780.15,7369216,351.0,69.95,0
1777930782.179,7369216,351.0,69.95,0
1777930784.207,7369216,351.0,68.3,0
1777930786.242,7369216,352.0,69.95,0
1777930788.267,7369216,352.0,67.75,0
1777930790.292,7369216,353.0,69.95,0
1777930792.313,7369216,353.0,69.95,0
1777930794.34,7369216,353.0,68.3,0
1777930796.362,7369216,354.0,68.85,0
1777930798.383,7369216,354.0,69.95,0
1777930800.406,7369216,354.0,69.95,0
1777930802.456,7339120,355.0,68.3,0
1777930804.478,7339120,355.0,68.3,0
1777930806.507,7339120,356.0,72.15,0
1777930808.531,7339120,356.0,74.9,0
1777930810.553,7339120,356.0,73.8,0
1777930812.584,7339120,357.0,76.55,0
1777930814.618,7339120,357.0,72.15,0
1777930816.644,7339120,357.0,76.0,0
1777930818.666,7339120,358.0,72.15,0
1777930820.695,7339120,358.0,70.5,0
1777930822.719,7339120,358.0,70.5,0
1777930824.741,7339120,358.0,70.5,0
1777930826.759,7339120,359.0,69.4,0
1777930828.778,7339120,359.0,69.4,0
1777930830.801,7379056,359.0,71.05,0
1777930832.825,7379056,359.0,69.4,0
1777930834.847,7379056,360.0,68.85,0
1777930836.868,7379056,360.0,70.5,0
1777930838.889,7379056,360.0,73.25,0
1777930840.909,7379056,361.0,73.8,0
1777930842.935,7379056,361.0,75.45,0
