elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777931712.1,8016,0.0,63.35,0
1777931714.11,116144,93.5,62.25,0
1777931716.119,356352,60.3,58.95,0
1777931718.128,541184,40.7,58.4,0
1777931720.137,724480,31.5,58.95,0
1777931722.146,909856,25.5,58.4,0
1777931724.155,1090080,21.6,57.3,0
1777931726.166,1273888,18.9,54.55,0
1777931728.178,1460256,16.9,55.1,0
1777931730.187,1663520,15.5,54.55,0
1777931732.196,1850400,14.2,55.65,0
1777931734.204,2054176,13.1,54.0,0
1777931736.216,2903072,12.3,53.45,0
1777931738.227,4718160,11.9,52.35,0
1777931740.239,7099984,15.2,55.1,0
1777931742.252,7222832,27.3,60.05,0
1777931744.28,7295072,50.3,63.9,0
1777931746.3,7295072,70.9,65.55,0
1777931748.318,7295072,89.3,65.55,0
1777931750.343,7320160,105.0,68.3,0
1777931752.363,7320160,119.0,71.6,0
1777931754.387,7326304,132.0,72.7,0
1777931756.407,7326304,144.0,71.6,0
1777931758.422,7326304,154.0,74.35,0
1777931760.449,7327328,164.0,72.7,0
1777931762.475,7327328,173.0,74.9,0
1777931764.498,7327328,181.0,73.25,0
1777931766.526,7327328,189.0,73.8,0
1777931768.549,7332448,196.0,73.25,0
1777931770.573,7332448,203.0,74.9,0
1777931772.595,7335520,209.0,73.25,0
1777931774.617,7335520,215.0,70.5,0
1777931776.639,7335520,220.0,70.5,0
1777931778.665,7335520,225.0,69.4,0
1777931780.692,7335520,229.0,69.4,0
1777931782.717,7335520,234.0,69.4,0
1777931784.739,7335520,238.0,70.5,0
1777931786.759,7335520,242.0,69.95,0
1777931788.785,7335520,246.0,69.4,0
1777931790.811,7357536,249.0,69.95,0
1777931792.83,7357536,253.0,71.05,0
1777931794.855,7357536,257.0,71.05,0
1777931796.91,7358048,260.0,69.4,0
1777931798.939,7360608,263.0,73.8,0
1777931800.962,7362144,266.0,73.8,0
1777931802.989,7362144,269.0,74.9,0
1777931805.009,7362144,271.0,74.35,0
1777931807.029,7362144,274.0,73.8,0
1777931809.048,7362144,276.0,74.9,0
1777931811.068,7362144,278.0,74.35,0
1777931813.09,7362144,280.0,75.45,0
1777931815.114,7362144,282.0,74.35,0
1777931817.141,7362144,285.0,76.0,0
1777931819.165,7362144,287.0,72.7,0
1777931821.182,7362144,289.0,71.6,0
1777931823.201,7362144,291.0,71.05,0
1777931825.223,7362144,293.0,71.05,0
1777931827.247,7362144,294.0,72.15,0
1777931829.271,7362144,296.0,73.25,0
1777931831.298,7362144,298.0,73.25,0
1777931833.321,7362144,299.0,71.6,0
1777931835.337,7362144,301.0,74.35,0
1777931837.361,7362144,302.0,73.8,0
1777931839.382,7362144,304.0,75.45,0
1777931841.41,7362144,305.0,74.9,0
1777931843.434,7362144,306.0,73.8,0
1777931845.455,7362144,307.0,74.35,0
1777931847.476,7362144,309.0,73.8,0
1777931849.491,7362144,310.0,73.25,0
1777931851.507,7362144,311.0,71.6,0
1777931853.527,7362144,312.0,73.25,0
1777931855.546,7362144,313.0,71.05,0
1777931857.566,7362144,315.0,70.5,0
1777931859.589,7362144,316.0,69.95,0
1777931861.61,7362144,317.0,73.25,0
1777931863.633,7362144,318.0,72.15,0
1777931865.652,7362144,319.0,72.7,0
1777931867.675,7362144,320.0,72.15,0
1777931869.697,7362144,321.0,72.7,0
1777931871.719,7362144,322.0,72.7,0
1777931873.74,7362144,322.0,74.9,0
1777931875.76,7362144,323.0,74.35,0
1777931877.778,7362144,324.0,74.9,0
1777931879.809,7362144,325.0,73.25,0
1777931881.83,7362144,325.0,73.8,0
1777931883.851,7362144,326.0,73.8,0
1777931885.87,7362144,327.0,73.25,0
1777931887.895,7362144,328.0,73.25,0
1777931889.921,7362144,328.0,73.8,0
1777931891.941,7362144,329.0,71.05,0
1777931893.958,7362144,330.0,71.05,0
1777931895.977,7362144,330.0,69.95,0
1777931897.997,7362144,331.0,73.25,0
1777931900.022,7362144,332.0,74.35,0
1777931902.046,7362144,332.0,72.7,0
1777931904.065,7362144,333.0,73.8,0
1777931906.085,7362144,334.0,72.7,0
1777931908.112,7362144,334.0,75.45,0
1777931910.142,7362144,335.0,72.7,0
1777931912.167,7362144,335.0,73.8,0
