elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777934212.525,7984,0.0,66.1,0
1777934214.535,116640,93.5,63.9,0
1777934216.544,367600,60.2,61.7,0
1777934218.553,560624,41.2,60.05,0
1777934220.564,764400,31.8,56.75,0
1777934222.575,1002000,26.2,56.75,0
1777934224.585,1350160,22.2,56.75,0
1777934226.595,1971264,19.5,55.1,0
1777934228.611,7327856,32.3,59.5,0
1777934230.637,7383680,64.7,62.8,0
1777934232.659,7403136,98.2,65.0,0
1777934234.677,7403136,125.0,66.1,0
1777934236.699,7403136,148.0,66.65,0
1777934238.723,7427200,167.0,70.5,0
1777934240.749,7433856,183.0,71.6,0
1777934242.776,7433856,197.0,73.25,0
1777934244.797,7433856,210.0,73.8,0
1777934246.819,7433856,220.0,73.8,0
1777934248.84,7433856,230.0,74.9,0
1777934250.866,7433856,238.0,76.55,0
1777934252.887,7433856,246.0,73.8,0
1777934254.91,7433856,253.0,75.45,0
1777934256.94,7436928,260.0,74.35,0
1777934258.967,7436928,265.0,73.25,0
1777934260.989,7436928,270.0,72.15,0
1777934263.019,7436928,275.0,71.6,0
1777934265.056,7436928,279.0,71.05,0
1777934267.079,7436928,284.0,71.05,0
1777934269.098,7466624,287.0,72.15,0
1777934271.118,7466624,291.0,70.5,0
1777934273.138,7466624,295.0,71.05,0
1777934275.158,7466624,298.0,69.95,0
1777934277.183,7469696,301.0,74.9,0
1777934279.205,7470208,304.0,75.45,0
1777934281.233,7470208,307.0,75.45,0
1777934283.264,7470208,309.0,74.9,0
1777934285.288,7470208,311.0,74.9,0
1777934287.31,7470208,313.0,76.0,0
1777934289.338,7470208,315.0,76.55,0
1777934291.365,7470208,317.0,74.35,0
1777934293.388,7470208,319.0,74.35,0
1777934295.41,7470208,321.0,73.25,0
1777934297.43,7470208,323.0,72.15,0
1777934299.45,7470208,324.0,70.5,0
1777934301.475,7470208,326.0,72.15,0
1777934303.495,7470208,328.0,72.7,0
1777934305.519,7470208,329.0,74.35,0
1777934307.547,7470208,330.0,73.8,0
1777934309.568,7470208,332.0,74.35,0
1777934311.589,7470208,333.0,74.35,0
1777934313.606,7470208,334.0,73.8,0
1777934315.631,7470208,335.0,75.45,0
1777934317.656,7470208,336.0,73.8,0
1777934319.674,7470208,338.0,73.25,0
1777934321.699,7470208,338.0,73.25,0
1777934323.718,7470208,340.0,72.15,0
1777934325.738,7470208,341.0,72.7,0
1777934327.758,7470208,342.0,72.15,0
1777934329.785,7470208,343.0,72.7,0
1777934331.799,7470208,343.0,74.9,0
1777934333.819,7470208,344.0,75.45,0
1777934335.845,7470208,345.0,73.8,0
1777934337.87,7470208,346.0,75.45,0
1777934339.892,7470208,347.0,77.1,0
1777934341.918,7470208,347.0,74.35,0
1777934343.942,7470208,348.0,74.35,0
1777934345.969,7470208,349.0,75.45,0
1777934347.995,7470208,349.0,76.55,0
1777934350.023,7470208,350.0,74.35,0
1777934352.044,7470208,350.0,75.45,0
1777934354.062,7470208,351.0,72.15,0
1777934356.085,7470208,352.0,72.15,0
1777934358.102,7470208,352.0,69.4,0
1777934360.123,7470208,353.0,72.7,0
1777934362.15,7470208,354.0,75.45,0
1777934364.179,7470208,354.0,74.35,0
1777934366.204,7470208,355.0,74.9,0
1777934368.22,7470208,355.0,76.55,0
1777934370.237,7470208,356.0,75.45,0
1777934372.262,7470208,356.0,76.0,0
1777934374.29,7470208,357.0,76.0,0
1777934376.312,7470208,357.0,74.9,0
1777934378.334,7470208,358.0,76.0,0
1777934380.353,7470208,358.0,75.45,0
1777934382.373,7470208,358.0,74.9,0
1777934384.393,7470208,359.0,76.55,0
1777934386.413,7486592,359.0,75.45,0
1777934388.437,7486592,360.0,73.8,0
1777934390.467,7486592,360.0,73.8,0
1777934392.493,7486592,360.0,72.15,0
1777934394.519,7486592,361.0,69.95,0
1777934396.543,7486592,361.0,70.5,0
1777934398.567,7486592,361.0,70.5,0
1777934400.591,7486592,362.0,69.4,0
1777934402.623,7486592,362.0,70.5,0
1777934404.641,7486592,362.0,70.5,0
1777934406.667,7486592,363.0,70.5,0
1777934408.693,7486592,363.0,70.5,0
1777934410.723,7486592,363.0,70.5,0
1777934412.751,7486592,363.0,68.85,0
1777934414.775,7486592,364.0,70.5,0
1777934416.794,7525600,364.0,69.95,0
1777934418.819,7525600,364.0,69.4,0
1777934420.841,7525600,364.0,70.5,0
1777934422.869,7525600,365.0,73.25,0
1777934424.896,7525600,365.0,73.8,0
1777934426.917,7525600,365.0,74.9,0
1777934428.939,7525600,365.0,76.0,0
1777934430.964,7525600,366.0,75.45,0
1777934432.985,7525600,366.0,73.25,0
1777934435.005,7525600,366.0,75.45,0
1777934437.031,7525600,366.0,73.8,0
1777934439.054,7525600,367.0,71.6,0
1777934441.097,7525600,367.0,70.5,0
1777934443.119,7525600,367.0,69.95,0
1777934445.147,7525600,367.0,71.6,0
1777934447.171,7525600,367.0,70.5,0
1777934449.195,7525600,368.0,69.95,0
1777934451.214,7544032,368.0,71.6,0
1777934453.235,7544032,368.0,71.05,0
1777934455.253,7544032,368.0,70.5,0
1777934457.273,7544032,368.0,70.5,0
1777934459.295,7544032,369.0,73.8,0
1777934461.318,7544032,369.0,74.9,0
1777934463.343,7544032,369.0,76.0,0
1777934465.364,7544032,369.0,75.45,0
1777934467.39,7544032,369.0,76.55,0
