elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777935358.187,7856,0.0,66.65,0
1777935360.197,116048,93.5,65.0,0
1777935362.207,925056,60.8,62.8,0
1777935364.216,1291136,41.2,59.5,0
1777935366.225,1606016,31.6,58.4,0
1777935368.235,1870240,25.8,57.85,0
1777935370.248,5419536,25.6,57.3,0
1777935372.263,7331824,54.2,63.9,0
1777935374.285,7404016,96.9,65.55,0
1777935376.304,7404016,130.0,67.2,0
1777935378.327,7404016,156.0,68.3,0
1777935380.349,7427568,178.0,68.85,0
1777935382.371,7427568,196.0,72.7,0
1777935384.393,7433712,212.0,73.8,0
1777935386.42,7433712,224.0,72.7,0
1777935388.444,7433712,235.0,74.35,0
1777935390.471,7434736,245.0,74.9,0
1777935392.5,7434736,254.0,76.55,0
1777935394.524,7434736,262.0,75.45,0
1777935396.547,7439856,268.0,73.25,0
1777935398.565,7439856,275.0,75.45,0
1777935400.588,7442928,280.0,73.25,0
1777935402.615,7442928,285.0,72.15,0
1777935404.647,7442928,290.0,70.5,0
1777935406.674,7442928,294.0,71.05,0
1777935408.693,7442928,297.0,71.6,0
1777935410.716,7442928,301.0,69.4,0
1777935412.737,7464944,304.0,70.5,0
1777935414.76,7464944,307.0,70.5,0
1777935416.784,7464944,310.0,71.05,0
1777935418.807,7465968,313.0,70.5,0
1777935420.831,7468528,316.0,73.25,0
1777935422.853,7469552,318.0,75.45,0
1777935424.878,7469552,321.0,74.9,0
1777935426.895,7469552,323.0,75.45,0
1777935428.912,7469552,325.0,74.9,0
1777935430.935,7469552,327.0,74.35,0
1777935432.959,7469552,328.0,75.45,0
1777935434.974,7469552,330.0,76.55,0
1777935436.998,7469552,331.0,75.45,0
1777935439.017,7469552,333.0,72.7,0
1777935441.043,7469552,335.0,72.7,0
1777935443.062,7469552,336.0,71.05,0
1777935445.085,7469552,338.0,72.7,0
1777935447.105,7469552,339.0,73.8,0
1777935449.123,7469552,340.0,75.45,0
1777935451.154,7469552,341.0,74.9,0
1777935453.182,7469552,342.0,74.9,0
1777935455.209,7469552,343.0,74.35,0
1777935457.238,7469552,344.0,75.45,0
1777935459.261,7469552,345.0,74.9,0
1777935461.283,7469552,346.0,74.9,0
1777935463.31,7469552,347.0,76.0,0
1777935465.339,7469552,348.0,73.25,0
1777935467.363,7469552,349.0,71.6,0
1777935469.382,7469552,350.0,71.05,0
1777935471.403,7469552,351.0,70.5,0
1777935473.425,7469552,352.0,70.5,0
1777935475.449,7469552,352.0,73.25,0
1777935477.468,7469552,353.0,73.8,0
1777935479.484,7469552,354.0,73.8,0
1777935481.504,7469552,354.0,74.9,0
1777935483.526,7469552,355.0,74.9,0
1777935485.549,7469552,356.0,77.1,0
1777935487.574,7469552,356.0,76.0,0
1777935489.594,7469552,357.0,76.0,0
1777935491.617,7469552,357.0,73.8,0
1777935493.654,7469552,358.0,73.8,0
1777935495.68,7469552,358.0,74.35,0
1777935497.705,7469552,359.0,71.6,0
1777935499.725,7469552,359.0,70.5,0
1777935501.751,7469552,360.0,71.05,0
1777935503.775,7469552,360.0,73.25,0
1777935505.798,7469552,361.0,74.9,0
1777935507.825,7469552,361.0,74.35,0
1777935509.853,7469552,362.0,73.8,0
1777935511.878,7469552,362.0,74.35,0
1777935513.902,7469552,363.0,74.9,0
1777935515.929,7469552,363.0,74.9,0
1777935517.957,7469552,363.0,74.9,0
1777935519.977,7469552,364.0,72.7,0
1777935521.998,7469552,364.0,73.8,0
1777935524.024,7469552,364.0,74.9,0
1777935526.055,7469552,365.0,71.6,0
1777935528.076,7469552,365.0,74.9,0
1777935530.101,7480816,365.0,72.7,0
1777935532.131,7480816,366.0,72.7,0
1777935534.154,7480816,366.0,71.05,0
1777935536.179,7480816,366.0,69.95,0
1777935538.21,7480816,367.0,68.85,0
1777935540.233,7480816,367.0,70.5,0
1777935542.255,7480816,367.0,69.95,0
1777935544.283,7480816,367.0,68.85,0
1777935546.307,7480816,367.0,69.4,0
1777935548.331,7480816,368.0,69.4,0
1777935550.353,7480816,368.0,69.95,0
1777935552.377,7480816,368.0,69.95,0
1777935554.402,7480816,368.0,69.4,0
1777935556.426,7480816,369.0,68.3,0
1777935558.451,7480816,369.0,69.95,0
1777935560.47,7519216,369.0,69.95,0
1777935562.49,7519216,369.0,69.95,0
1777935564.51,7519216,370.0,69.95,0
1777935566.535,7519216,370.0,72.7,0
1777935568.554,7519216,370.0,73.8,0
1777935570.569,7519216,370.0,73.8,0
1777935572.598,7519216,370.0,75.45,0
1777935574.625,7519216,371.0,74.9,0
1777935576.648,7519216,371.0,77.1,0
1777935578.669,7519216,371.0,75.45,0
1777935580.698,7519216,371.0,73.8,0
1777935582.712,7519216,371.0,72.7,0
1777935584.739,7519216,372.0,72.15,0
1777935586.776,7519216,372.0,71.6,0
1777935588.799,7519216,372.0,70.5,0
1777935590.843,7519216,372.0,68.85,0
1777935592.868,7519216,372.0,70.5,0
1777935594.908,7519216,372.0,71.6,0
1777935596.925,7524336,373.0,71.05,0
1777935598.948,7524336,373.0,71.05,0
1777935600.973,7524336,373.0,70.5,0
1777935602.992,7524336,373.0,72.15,0
1777935605.014,7524336,373.0,73.8,0
1777935607.045,7524336,373.0,74.35,0
1777935609.069,7524336,374.0,75.45,0
1777935611.093,7524336,374.0,76.0,0
1777935613.118,7524336,374.0,74.35,0
1777935615.142,7524336,374.0,76.0,0
1777935617.165,7524336,374.0,76.0,0
1777935619.189,7524336,374.0,76.0,0
1777935621.229,7524336,374.0,74.9,0
1777935623.251,7524336,375.0,73.25,0
1777935625.28,7524336,375.0,72.15,0
1777935627.318,7524336,375.0,69.4,0
1777935629.34,7524336,375.0,71.6,0
1777935631.366,7524336,375.0,71.6,0
1777935633.401,7524336,375.0,69.95,0
1777935635.428,7524336,375.0,70.5,0
1777935637.451,7524336,375.0,71.05,0
1777935639.47,7538672,375.0,72.7,0
1777935641.489,7538672,375.0,72.15,0
1777935643.514,7538672,376.0,71.6,0
1777935645.534,7538672,376.0,69.95,0
1777935647.559,7538672,376.0,74.35,0
1777935649.587,7538672,376.0,74.9,0
1777935651.612,7538672,376.0,76.0,0
1777935653.63,7538672,376.0,76.55,0
1777935655.658,7538672,376.0,76.0,0
1777935657.685,7538672,376.0,75.45,0
1777935659.713,7538672,377.0,76.55,0
1777935661.739,7538672,377.0,74.9,0
1777935663.761,7538672,377.0,74.9,0
1777935665.783,7538672,377.0,73.25,0
1777935667.801,7538672,377.0,72.15,0
1777935669.821,7538672,377.0,72.7,0
1777935671.845,7538672,377.0,71.6,0
1777935673.865,7538672,377.0,74.9,0
1777935675.887,7538672,378.0,74.9,0
1777935677.918,7538672,378.0,73.25,0
1777935679.938,7538672,378.0,75.45,0
1777935681.957,7538672,378.0,74.35,0
1777935683.982,7538672,378.0,73.25,0
1777935686.013,7538672,378.0,74.35,0
1777935688.039,7538672,378.0,76.0,0
1777935690.055,7538672,378.0,73.8,0
1777935692.067,7538672,378.0,75.45,0
1777935694.087,7538672,378.0,73.8,0
1777935696.105,7538672,378.0,72.7,0
1777935698.122,7538672,379.0,69.95,0
1777935700.139,7538672,379.0,72.7,0
1777935702.152,7538672,379.0,72.7,0
1777935704.179,7538672,379.0,71.6,0
1777935706.2,7538672,379.0,73.8,0
1777935708.225,7538672,379.0,75.45,0
1777935710.255,7538672,379.0,74.9,0
1777935712.283,7538672,379.0,77.1,0
1777935714.314,7538672,379.0,76.0,0
1777935716.338,7538672,379.0,73.8,0
1777935718.365,7538672,379.0,74.9,0
1777935720.393,7538672,379.0,75.45,0
1777935722.513,7538672,379.0,76.55,0
1777935724.534,7538672,380.0,71.6,0
1777935726.554,7538672,380.0,70.5,0
1777935728.574,7538672,380.0,70.5,0
1777935730.603,7538672,380.0,72.15,0
1777935732.629,7538672,380.0,74.9,0
1777935734.654,7538672,380.0,72.7,0
1777935736.681,7538672,380.0,73.25,0
1777935738.702,7538672,380.0,74.9,0
1777935740.721,7538672,380.0,74.35,0
1777935742.743,7538672,380.0,73.8,0
1777935744.767,7538672,380.0,74.35,0
1777935746.799,7538672,380.0,74.9,0
1777935748.823,7538672,380.0,74.35,0
1777935750.849,7538672,381.0,74.35,0
1777935752.869,7538672,381.0,74.35,0
1777935754.899,7538672,381.0,74.35,0
1777935756.921,7550448,381.0,74.35,0
1777935758.946,7550448,381.0,73.8,0
1777935760.971,7550448,381.0,72.15,0
1777935762.994,7550448,381.0,69.95,0
1777935765.029,7550448,381.0,70.5,0
1777935767.049,7550448,381.0,70.5,0
1777935769.074,7550448,381.0,71.05,0
1777935771.095,7550448,381.0,68.85,0
1777935773.215,7550448,381.0,71.6,0
1777935775.243,7550448,381.0,69.95,0
1777935777.267,7550448,381.0,69.4,0
1777935779.29,7550448,381.0,69.4,0
1777935781.317,7550448,381.0,70.5,0
1777935783.355,7550448,381.0,70.5,0
1777935785.38,7550448,381.0,69.4,0
1777935787.406,7588336,381.0,69.4,0
1777935789.426,7588336,381.0,69.95,0
1777935791.451,7588336,381.0,70.5,0
1777935793.471,7588336,382.0,72.7,0
1777935795.494,7588336,382.0,74.9,0
1777935797.518,7588336,382.0,76.0,0
1777935799.542,7588336,382.0,74.9,0
1777935801.567,7588336,382.0,75.45,0
1777935803.592,7588336,382.0,75.45,0
1777935805.613,7588336,382.0,73.25,0
1777935807.639,7588336,382.0,74.9,0
1777935809.657,7588336,382.0,73.25,0
1777935811.683,7588336,382.0,72.15,0
1777935813.707,7604720,382.0,72.15,0
1777935815.731,7604720,382.0,71.05,0
1777935817.759,7604720,382.0,71.6,0
1777935819.783,7604720,382.0,69.4,0
1777935821.803,7604720,382.0,71.6,0
1777935823.829,7604720,382.0,71.05,0
1777935825.851,7604720,382.0,70.5,0
1777935827.873,7604720,382.0,71.05,0
1777935829.893,7604720,382.0,71.6,0
1777935831.915,7604720,382.0,73.8,0
1777935833.933,7604720,382.0,73.8,0
1777935835.956,7604720,382.0,74.9,0
1777935837.985,7604720,383.0,75.45,0
1777935840.013,7604720,383.0,76.0,0
1777935842.041,7604720,383.0,75.45,0
1777935844.063,7604720,383.0,76.55,0
1777935846.088,7604720,383.0,74.9,0
1777935848.224,7604720,383.0,73.25,0
1777935850.244,7604720,383.0,72.15,0
1777935852.275,7604720,383.0,71.05,0
1777935854.3,7604720,383.0,70.5,0
1777935856.326,7604720,383.0,69.95,0
1777935858.351,7604720,383.0,70.5,0
1777935860.367,7604720,383.0,70.5,0
1777935862.392,7604720,383.0,69.4,0
1777935864.408,7604720,383.0,70.5,0
1777935866.426,7604720,383.0,70.5,0
1777935868.445,7604720,383.0,69.95,0
1777935870.471,7607792,383.0,70.5,0
1777935872.492,7607792,383.0,69.95,0
1777935874.51,7607792,383.0,70.5,0
1777935876.549,7607792,383.0,71.05,0
1777935878.571,7607792,383.0,74.9,0
1777935880.593,7607792,383.0,73.8,0
1777935882.607,7607792,383.0,74.35,0
1777935884.631,7607792,383.0,76.0,0
1777935886.659,7607792,383.0,76.55,0
1777935888.681,7607792,383.0,77.1,0
1777935890.709,7607792,383.0,76.0,0
1777935892.732,7607792,383.0,75.45,0
1777935894.754,7607792,383.0,74.9,0
1777935896.774,7607792,383.0,72.7,0
1777935898.794,7607792,384.0,72.7,0
1777935900.814,7607792,384.0,70.5,0
1777935902.834,7607792,384.0,73.8,0
1777935904.851,7607792,384.0,72.7,0
1777935906.873,7607792,384.0,75.45,0
1777935908.887,7607792,384.0,75.45,0
1777935910.908,7607792,384.0,73.8,0
1777935912.928,7607792,384.0,74.9,0
1777935914.942,7607792,384.0,73.8,0
1777935916.961,7607792,384.0,74.35,0
1777935918.989,7607792,384.0,75.45,0
1777935921.012,7607792,384.0,75.45,0
1777935923.032,7607792,384.0,73.25,0
1777935925.053,7607792,384.0,71.6,0
1777935927.073,7607792,384.0,71.6,0
1777935929.094,7607792,384.0,69.95,0
1777935931.121,7607792,384.0,72.15,0
1777935933.15,7607792,384.0,71.6,0
1777935935.177,7607792,384.0,74.35,0
1777935937.207,7607792,384.0,73.25,0
1777935939.227,7607792,384.0,76.0,0
1777935941.246,7607792,384.0,74.35,0
1777935943.269,7607792,384.0,74.9,0
1777935945.293,7607792,384.0,76.0,0
1777935947.31,7607792,384.0,75.45,0
1777935949.337,7607792,384.0,76.55,0
1777935951.367,7607792,384.0,76.0,0
1777935953.386,7607792,384.0,73.25,0
1777935955.406,7607792,385.0,71.05,0
1777935957.431,7607792,385.0,71.05,0
1777935959.45,7607792,385.0,70.5,0
1777935961.47,7607792,385.0,71.6,0
1777935963.481,7607792,385.0,74.35,0
1777935965.51,7607792,385.0,74.9,0
1777935967.529,7607792,385.0,73.8,0
1777935969.55,7607792,385.0,74.9,0
1777935971.578,7607792,385.0,75.45,0
1777935973.602,7607792,385.0,75.45,0
1777935975.628,7607792,385.0,75.45,0
1777935977.649,7607792,385.0,76.0,0
1777935979.676,7607792,385.0,74.9,0
1777935981.7,7607792,385.0,74.9,0
1777935983.715,7599088,385.0,76.0,0
1777935985.743,7599088,385.0,76.55,0
1777935987.764,7599088,385.0,72.7,0
1777935989.788,7599088,385.0,71.05,0
1777935991.811,7599088,385.0,71.05,0
1777935993.833,7599088,385.0,70.5,0
1777935995.855,7599088,385.0,68.3,0
1777935997.877,7599088,385.0,68.85,0
1777935999.9,7599088,385.0,69.95,0
1777936001.922,7599088,385.0,70.5,0
1777936003.953,7599088,385.0,68.85,0
1777936005.973,7580656,385.0,69.4,0
1777936008.007,7487472,385.0,71.6,0
1777936010.028,7487472,385.0,70.5,0
1777936012.046,7487472,385.0,70.5,0
1777936014.071,7487472,385.0,73.25,0
1777936016.097,7487472,385.0,74.35,0
1777936018.116,7487472,385.0,75.45,0
1777936020.141,7487472,385.0,75.45,0
1777936022.165,7487472,385.0,76.55,0
1777936024.187,7487472,385.0,75.45,0
1777936026.21,7487472,385.0,73.8,0
1777936028.235,7487472,385.0,71.6,0
1777936030.259,7487472,385.0,72.15,0
1777936032.282,7487472,385.0,71.05,0
1777936034.304,7487472,385.0,69.95,0
1777936036.329,7487472,385.0,70.5,0
1777936038.346,7487472,385.0,70.5,0
1777936040.367,7487472,385.0,71.05,0
1777936042.386,7487472,385.0,69.95,0
1777936044.405,7487472,385.0,72.7,0
1777936046.433,7487472,385.0,73.8,0
1777936048.46,7487472,385.0,75.45,0
1777936050.487,7487472,385.0,76.0,0
1777936052.51,7487472,385.0,74.35,0
1777936054.542,7487472,385.0,75.45,0
1777936056.561,7487472,386.0,74.9,0
1777936058.582,7487472,386.0,76.0,0
1777936060.607,7487472,386.0,75.45,0
1777936062.635,7487472,386.0,73.25,0
1777936064.663,7487472,386.0,72.7,0
1777936066.687,7487472,386.0,70.5,0
1777936068.715,7487472,386.0,71.05,0
1777936070.741,7487472,386.0,68.85,0
1777936072.767,7487472,386.0,69.4,0
1777936074.805,7487472,386.0,69.4,0
1777936076.835,7487472,386.0,69.95,0
1777936078.862,7487472,386.0,69.95,0
1777936080.891,7487472,386.0,69.95,0
1777936082.911,7501808,386.0,69.95,0
1777936084.93,7501808,386.0,69.95,0
1777936086.949,7501808,386.0,69.4,0
1777936088.966,7501808,386.0,71.05,0
1777936090.987,7501808,386.0,73.25,0
1777936093.008,7501808,386.0,73.25,0
1777936095.023,7501808,386.0,75.45,0
1777936097.044,7501808,386.0,76.0,0
1777936099.066,7501808,386.0,75.45,0
1777936101.089,7501808,386.0,76.55,0
1777936103.118,7501808,386.0,76.55,0
1777936105.238,7501808,386.0,77.1,0
1777936107.263,7501808,386.0,74.9,0
1777936109.287,7501808,386.0,72.7,0
1777936111.307,7501808,386.0,72.7,0
1777936113.328,7501808,386.0,71.05,0
1777936115.349,7501808,386.0,72.7,0
1777936117.382,7501808,386.0,74.9,0
1777936119.408,7501808,386.0,74.9,0
1777936121.435,7501808,386.0,74.9,0
1777936123.46,7501808,386.0,74.9,0
1777936125.486,7501808,386.0,75.45,0
1777936127.512,7501808,386.0,74.9,0
1777936129.533,7501808,386.0,74.35,0
1777936131.557,7501808,386.0,75.45,0
1777936133.585,7501808,386.0,75.45,0
1777936135.613,7501808,386.0,73.8,0
1777936137.634,7501808,386.0,72.7,0
1777936139.654,7501808,386.0,71.05,0
1777936141.674,7501808,386.0,71.05,0
1777936143.701,7501808,386.0,72.15,0
1777936145.73,7501808,386.0,73.25,0
1777936147.753,7501808,386.0,73.25,0
1777936149.764,7501808,386.0,73.25,0
1777936151.788,7501808,386.0,75.45,0
1777936153.808,7501808,386.0,73.25,0
1777936155.831,7501808,386.0,73.25,0
1777936157.853,7501808,386.0,74.35,0
1777936159.87,7501808,386.0,73.25,0
1777936161.895,7501808,386.0,75.45,0
1777936163.917,7501808,386.0,74.9,0
1777936165.934,7501808,386.0,72.15,0
1777936167.957,7501808,387.0,72.7,0
1777936169.978,7501808,387.0,71.6,0
1777936171.998,7501808,387.0,69.95,0
1777936174.019,7501808,387.0,74.35,0
1777936176.042,7501808,387.0,74.35,0
1777936178.065,7501808,387.0,76.0,0
1777936180.092,7501808,387.0,73.8,0
1777936182.113,7501808,387.0,76.0,0
1777936184.138,7501808,387.0,76.0,0
1777936186.161,7501808,387.0,74.9,0
1777936188.189,7501808,387.0,76.55,0
1777936190.216,7501808,387.0,74.9,0
1777936192.24,7501808,387.0,76.0,0
1777936194.264,7501808,387.0,76.55,0
1777936196.285,7501808,387.0,74.35,0
1777936198.306,7501808,387.0,76.55,0
1777936200.334,7513584,387.0,74.35,0
1777936202.364,7513584,387.0,75.45,0
1777936204.391,7513584,387.0,72.15,0
1777936206.416,7513584,387.0,71.6,0
1777936208.442,7513584,387.0,68.3,0
1777936210.479,7513584,387.0,69.95,0
1777936212.498,7513584,387.0,69.4,0
1777936214.525,7513584,387.0,69.4,0
1777936216.547,7513584,387.0,68.85,0
1777936218.578,7513584,387.0,69.4,0
1777936220.603,7513584,387.0,69.4,0
1777936222.628,7513584,387.0,69.95,0
1777936224.651,7513584,387.0,70.5,0
1777936226.675,7513584,387.0,71.6,0
1777936228.703,7513584,387.0,69.4,0
1777936230.723,7520752,387.0,70.5,0
1777936232.751,7520752,387.0,71.6,0
1777936234.771,7520752,387.0,71.6,0
1777936236.789,7520752,387.0,71.05,0
1777936238.815,7520752,387.0,74.35,0
1777936240.832,7520752,387.0,73.8,0
1777936242.859,7520752,387.0,76.0,0
1777936244.878,7520752,387.0,74.9,0
1777936246.903,7520752,387.0,75.45,0
1777936248.925,7520752,387.0,75.45,0
1777936250.943,7520752,387.0,76.55,0
1777936252.966,7520752,387.0,76.0,0
1777936254.991,7520752,387.0,73.8,0
1777936257.01,7520752,387.0,76.0,0
1777936259.028,7520752,387.0,73.25,0
1777936261.051,7520752,387.0,72.15,0
1777936263.074,7520752,387.0,70.5,0
1777936265.116,7537136,387.0,71.6,0
1777936267.143,7537136,387.0,71.6,0
