host_label,model,config,type_k,type_v,phase,n_prompt,n_gen,threads,avg_tokens_per_sec,stddev_tokens_per_sec,avg_ms,build_commit,build_number,speedup_vs_f16_pct,speedup_vs_q4_pct
raspberry_pi5_llama_bench_compact,gemma4_e4b,f16/f16,f16,f16,prompt,1024,0,4,20.232707,0.0,50611.12135,unknown,0,0.0,22.64785848997588
raspberry_pi5_llama_bench_compact,gemma4_e4b,f16/f16,f16,f16,decode,0,32,4,3.401674,0.0,9407.133398,unknown,0,0.0,2.789730436653448
raspberry_pi5_llama_bench_compact,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,prompt,1024,0,4,16.496584,0.0,62073.456514,unknown,0,-18.46575942606198,0.0
raspberry_pi5_llama_bench_compact,gemma4_e4b,q4_0/q4_0,q4_0,q4_0,decode,0,32,4,3.309352,0.0,9669.565632,unknown,0,-2.71401668707818,0.0
raspberry_pi5_llama_bench_compact,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,prompt,1024,0,4,18.736282,0.0,54653.318086,unknown,0,-7.39606914685218,13.576738068923856
raspberry_pi5_llama_bench_compact,gemma4_e4b,q8_0/q8_0,q8_0,q8_0,decode,0,32,4,3.362177,0.0,9517.642829,unknown,0,-1.1611047972263089,1.5962339454974828
raspberry_pi5_llama_bench_compact,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,prompt,1024,0,4,19.020856,0.0,53835.642279,unknown,0,-5.989564322757223,15.301786115234517
raspberry_pi5_llama_bench_compact,gemma4_e4b,q8_0/tbq4,q8_0,tbq4,decode,0,32,4,3.286278,0.0,9737.458763,unknown,0,-3.392329776457126,-0.6972361960891571
raspberry_pi5_llama_bench_compact,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,prompt,1024,0,4,18.866831,0.0,54275.145893,unknown,0,-6.75083171026003,14.368107967079746
raspberry_pi5_llama_bench_compact,gemma4_e4b,tbq4/tbq4,tbq4,tbq4,decode,0,32,4,3.377046,0.0,9475.737493,unknown,0,-0.7239964793804399,2.045536407127435
raspberry_pi5_llama_bench_compact,qwen35_4b,f16/f16,f16,f16,prompt,1024,0,4,20.558677,0.0,49808.651652,unknown,0,0.0,5.886035498929676
raspberry_pi5_llama_bench_compact,qwen35_4b,f16/f16,f16,f16,decode,0,32,4,2.200908,0.0,14539.451071,unknown,0,0.0,-1.4788636246639841
raspberry_pi5_llama_bench_compact,qwen35_4b,q4_0/q4_0,q4_0,q4_0,prompt,1024,0,4,19.415853,0.0,52740.408088,unknown,0,-5.558840191905345,0.0
raspberry_pi5_llama_bench_compact,qwen35_4b,q4_0/q4_0,q4_0,q4_0,decode,0,32,4,2.233945,0.0,14324.433777,unknown,0,1.5010622888371516,0.0
raspberry_pi5_llama_bench_compact,qwen35_4b,q8_0/q8_0,q8_0,q8_0,prompt,1024,0,4,20.311425,0.0,50414.976319,unknown,0,-1.2026649380210586,4.612581275723504
raspberry_pi5_llama_bench_compact,qwen35_4b,q8_0/q8_0,q8_0,q8_0,decode,0,32,4,2.221417,0.0,14405.218046,unknown,0,0.9318426758410769,-0.5608016311950181
raspberry_pi5_llama_bench_compact,qwen35_4b,q8_0/tbq4,q8_0,tbq4,prompt,1024,0,4,20.527111,0.0,49885.246183,unknown,0,-0.15354100849971353,5.723457012164257
raspberry_pi5_llama_bench_compact,qwen35_4b,q8_0/tbq4,q8_0,tbq4,decode,0,32,4,2.223062,0.0,14394.561032,unknown,0,1.0065845551018082,-0.48716508239906586
raspberry_pi5_llama_bench_compact,qwen35_4b,tbq4/tbq4,tbq4,tbq4,prompt,1024,0,4,20.515974,0.0,49912.327768,unknown,0,-0.20771278229625434,5.666096668531639
raspberry_pi5_llama_bench_compact,qwen35_4b,tbq4/tbq4,tbq4,tbq4,decode,0,32,4,2.228057,0.0,14362.291806,unknown,0,1.233536340455843,-0.263569604444136
