elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777920580.231,8528,0.0,55.1,0
1777920582.245,3329952,98.5,55.65,0
1777920584.267,4722880,193.0,61.15,0
1777920586.291,4854976,252.0,65.0,0
1777920588.315,4854976,283.0,67.75,0
1777920590.347,4856512,297.0,67.2,0
1777920592.369,4856512,311.0,68.85,0
1777920594.383,4856512,318.0,70.5,0
1777920596.402,4856512,326.0,70.5,0
1777920598.423,4856512,331.0,72.15,0
1777920600.447,4856512,334.0,70.5,0
1777920602.467,4856512,338.0,74.9,0
1777920604.494,4856512,341.0,75.45,0
1777920606.523,4907712,344.0,74.35,0
1777920608.547,4910784,346.0,71.6,0
1777920610.565,4910784,347.0,71.05,0
1777920612.585,4910784,347.0,69.4,0
1777920614.609,4910784,348.0,70.5,0
1777920616.627,4910784,348.0,68.85,0
1777920618.654,4910784,349.0,68.85,0
1777920620.688,4910784,349.0,69.4,0
1777920622.715,4910784,350.0,68.85,0
1777920624.733,4910784,350.0,69.95,0
1777920626.758,4910784,350.0,68.3,0
1777920628.783,4910784,350.0,70.5,0
1777920630.801,4910784,351.0,69.4,0
1777920632.812,4910784,351.0,68.85,0
1777920634.835,4910784,351.0,68.85,0
1777920636.854,4958912,351.0,70.5,0
1777920638.874,4958912,351.0,69.95,0
1777920640.896,4958912,351.0,69.95,0
1777920642.918,4958912,352.0,69.95,0
1777920644.936,4958912,352.0,69.95,0
1777920646.953,4958912,352.0,70.5,0
1777920648.971,4958912,352.0,69.4,0
1777920650.991,4958912,352.0,68.85,0
1777920653.015,4958912,352.0,69.95,0
1777920655.035,4958912,352.0,68.85,0
1777920657.061,5042688,352.0,71.05,0
1777920659.089,5042688,353.0,73.8,0
1777920661.116,5042688,354.0,73.8,0
1777920663.144,5042688,354.0,74.9,0
1777920665.167,5042688,354.0,73.25,0
1777920667.189,5042688,355.0,73.8,0
1777920669.224,5042688,355.0,74.9,0
1777920671.252,5042688,356.0,75.45,0
1777920673.275,5042688,356.0,75.45,0
1777920675.298,5042688,356.0,74.9,0
1777920677.318,5042688,357.0,75.45,0
1777920679.339,5042688,357.0,73.8,0
1777920681.356,5044224,357.0,74.9,0
1777920683.377,5044224,358.0,75.45,0
1777920685.397,5044224,358.0,72.7,0
1777920687.413,5044224,359.0,75.45,0
1777920689.439,5044224,359.0,74.9,0
1777920691.456,5044224,359.0,74.35,0
1777920693.48,5044224,359.0,74.35,0
1777920695.51,5044224,360.0,74.9,0
1777920697.537,5044224,360.0,73.8,0
1777920699.563,5044224,360.0,73.8,0
1777920701.589,5044224,360.0,72.15,0
1777920703.622,5044224,360.0,73.25,0
1777920705.646,5044736,361.0,73.25,0
1777920707.673,5044736,361.0,72.7,0
1777920709.697,5044736,361.0,74.9,0
1777920711.723,5044736,361.0,73.8,0
1777920713.749,5044736,362.0,73.8,0
1777920715.776,5044736,362.0,72.15,0
1777920717.807,5044736,362.0,73.8,0
1777920719.827,5044736,362.0,72.7,0
1777920721.849,5044736,362.0,73.8,0
1777920723.881,5044736,363.0,74.35,0
1777920725.899,5044736,363.0,72.15,0
1777920727.92,5044736,363.0,72.7,0
1777920729.945,5044736,363.0,73.25,0
1777920731.971,5045760,363.0,71.6,0
1777920733.994,5045760,363.0,72.15,0
1777920736.015,5045760,364.0,71.05,0
1777920738.049,5045760,364.0,74.35,0
1777920740.083,5045760,364.0,72.7,0
1777920742.106,5045760,364.0,74.35,0
1777920744.127,5045760,364.0,73.25,0
1777920746.153,5045760,364.0,73.8,0
1777920748.181,5045760,364.0,72.7,0
1777920750.198,5045760,365.0,74.35,0
1777920752.219,5045760,365.0,73.25,0
1777920754.247,5045760,365.0,71.6,0
1777920756.274,5045760,365.0,72.7,0
1777920758.3,5046784,365.0,71.6,0
1777920760.324,5046784,365.0,73.25,0
1777920762.343,5046784,365.0,72.7,0
1777920764.365,5046784,366.0,74.35,0
1777920766.389,5046784,366.0,72.7,0
1777920768.419,5046784,366.0,71.05,0
1777920770.449,5046784,366.0,72.15,0
1777920772.478,5046784,366.0,72.15,0
1777920774.501,5046784,366.0,74.35,0
1777920776.531,5046784,366.0,71.05,0
1777920778.557,5046784,366.0,72.7,0
1777920780.585,5046784,366.0,73.8,0
1777920782.609,5046784,366.0,72.15,0
1777920784.64,5047808,367.0,70.5,0
1777920786.653,5047808,367.0,72.7,0
1777920788.673,5047808,367.0,74.35,0
1777920790.707,5047808,367.0,70.5,0
1777920792.731,5047808,367.0,72.15,0
1777920794.758,5047808,367.0,73.8,0
1777920796.783,5047808,367.0,72.7,0
1777920798.809,5047808,367.0,76.55,0
1777920800.848,5047808,367.0,72.15,0
1777920802.875,5047808,368.0,75.45,0
1777920804.995,5047808,368.0,74.35,0
1777920807.021,5047808,368.0,74.9,0
1777920809.042,5047808,368.0,74.35,0
1777920811.069,5047808,368.0,72.7,0
1777920813.101,5049344,368.0,73.8,0
1777920815.125,5049344,368.0,72.15,0
1777920817.147,5049344,368.0,74.35,0
1777920819.166,5049344,368.0,72.15,0
1777920821.194,5049344,368.0,74.35,0
1777920823.215,5049344,368.0,74.35,0
1777920825.239,5049344,368.0,72.7,0
1777920827.261,5049344,369.0,72.7,0
1777920829.276,5049344,369.0,73.8,0
1777920831.298,5049344,369.0,72.15,0
1777920833.326,5049344,369.0,72.7,0
1777920835.35,5049344,369.0,74.35,0
1777920837.377,5049344,369.0,74.9,0
1777920839.401,5049344,369.0,72.7,0
