elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777926582.9,8560,0.0,67.2,0
1777926584.912,3172720,98.5,65.0,0
1777926586.943,4567296,189.0,67.75,0
1777926588.965,4699904,251.0,71.05,0
1777926590.991,4699904,283.0,73.25,0
1777926593.011,4699904,300.0,71.05,0
1777926595.041,4699904,313.0,73.8,0
1777926597.064,4699904,321.0,72.7,0
1777926599.08,4699904,328.0,74.35,0
1777926601.098,4699904,333.0,74.9,0
1777926603.111,4699904,336.0,74.9,0
1777926605.131,4699904,339.0,74.35,0
1777926607.156,4699904,342.0,74.9,0
1777926609.176,4751104,345.0,75.45,0
1777926611.197,4753664,347.0,73.25,0
1777926613.212,4753664,348.0,71.05,0
1777926615.237,4753664,348.0,69.95,0
1777926617.261,4753664,349.0,71.05,0
1777926619.282,4753664,349.0,69.95,0
1777926621.304,4753664,350.0,68.85,0
1777926623.327,4753664,350.0,68.85,0
1777926625.355,4753664,351.0,68.3,0
1777926627.38,4753664,351.0,69.95,0
1777926629.407,4753664,351.0,69.95,0
1777926631.427,4753664,351.0,67.75,0
1777926633.447,4753664,352.0,69.4,0
1777926635.466,4753664,352.0,68.3,0
1777926637.497,4753664,352.0,67.75,0
1777926639.514,4801792,352.0,68.3,0
1777926641.536,4801792,352.0,69.95,0
1777926643.586,4801792,352.0,68.85,0
1777926645.602,4801792,353.0,69.4,0
1777926647.616,4801792,353.0,68.3,0
1777926649.631,4801792,353.0,68.85,0
1777926651.653,4801792,353.0,69.4,0
1777926653.675,4801792,353.0,68.85,0
1777926655.699,4801792,353.0,68.85,0
1777926657.717,4801792,353.0,67.75,0
1777926659.735,4801792,353.0,68.85,0
1777926661.759,4801792,354.0,68.3,0
1777926663.776,4801792,354.0,68.85,0
1777926665.803,4873840,354.0,69.95,0
1777926667.822,4875376,354.0,72.7,0
1777926669.845,4876400,355.0,73.25,0
1777926671.869,4876400,355.0,74.9,0
1777926673.882,4876400,356.0,75.45,0
1777926675.904,4876400,356.0,75.45,0
1777926677.928,4876400,357.0,76.0,0
1777926679.955,4876400,357.0,74.9,0
