elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1777928336.047,8544,0.0,63.35,0
1777928338.06,3221456,100.0,62.8,0
1777928340.087,4535200,192.0,67.2,0
1777928342.111,4666272,252.0,69.95,0
1777928344.129,4666272,283.0,72.7,0
1777928346.151,4666784,301.0,72.7,0
1777928348.167,4666784,314.0,74.35,0
1777928350.193,4666784,322.0,73.25,0
1777928352.216,4666784,328.0,73.25,0
1777928354.243,4666784,334.0,73.8,0
1777928356.267,4666784,337.0,73.25,0
1777928358.289,4666784,341.0,74.35,0
1777928360.318,4666784,344.0,74.9,0
1777928362.339,4718496,347.0,74.9,0
1777928364.361,4721056,349.0,71.05,0
1777928366.399,4721056,349.0,70.5,0
1777928368.424,4721056,350.0,69.95,0
1777928370.443,4721056,350.0,70.5,0
1777928372.461,4721056,351.0,69.95,0
1777928374.483,4721056,351.0,68.3,0
1777928376.601,4721056,352.0,69.95,0
1777928378.618,4721056,352.0,69.4,0
1777928380.641,4721056,352.0,69.95,0
1777928382.657,4721056,352.0,68.3,0
1777928384.672,4721056,352.0,69.4,0
1777928386.699,4721056,353.0,68.3,0
1777928388.721,4721056,353.0,68.3,0
1777928390.738,4721056,353.0,67.75,0
1777928392.763,4769184,353.0,67.75,0
1777928394.787,4769184,353.0,67.75,0
1777928396.814,4769184,353.0,68.3,0
1777928398.867,4769184,353.0,68.3,0
1777928400.882,4769184,353.0,67.2,0
1777928402.907,4769184,353.0,67.2,0
1777928404.93,4769184,353.0,68.85,0
1777928406.948,4769184,354.0,67.75,0
1777928408.984,4769184,354.0,68.3,0
1777928411.007,4769184,354.0,68.85,0
1777928413.027,4769184,354.0,69.4,0
1777928415.053,4769184,354.0,67.75,0
1777928417.072,4769184,354.0,67.2,0
1777928419.089,4769184,354.0,68.85,0
1777928421.109,4838656,354.0,69.4,0
1777928423.133,4840192,355.0,72.15,0
1777928425.155,4841216,355.0,73.8,0
1777928427.177,4841216,356.0,74.9,0
1777928429.2,4841216,356.0,74.35,0
1777928431.224,4841216,357.0,73.8,0
1777928433.254,4841216,357.0,75.45,0
1777928435.275,4841216,357.0,72.7,0
1777928437.302,4841216,357.0,73.25,0
1777928439.32,4841216,358.0,73.8,0
1777928441.343,4841216,358.0,73.25,0
1777928443.364,4841216,358.0,72.7,0
1777928445.388,4841728,359.0,73.8,0
1777928447.412,4841728,359.0,72.15,0
1777928449.431,4841728,359.0,73.25,0
1777928451.458,4841728,360.0,74.35,0
1777928453.479,4841728,360.0,72.7,0
1777928455.494,4841728,360.0,72.7,0
1777928457.517,4841728,360.0,73.25,0
1777928459.538,4841728,361.0,72.15,0
1777928461.558,4841728,361.0,74.9,0
1777928463.581,4841728,361.0,72.15,0
1777928465.6,4841728,361.0,71.05,0
1777928467.623,4841728,362.0,73.8,0
1777928469.647,4841728,362.0,72.15,0
1777928471.667,4842240,362.0,74.35,0
1777928473.69,4842240,362.0,73.25,0
1777928475.713,4842240,362.0,73.25,0
1777928477.739,4842240,363.0,73.25,0
1777928479.763,4842240,363.0,73.8,0
1777928481.776,4842240,363.0,72.7,0
1777928483.799,4842240,363.0,71.05,0
1777928485.821,4842240,363.0,72.7,0
1777928487.841,4842240,364.0,73.25,0
1777928489.869,4842240,364.0,72.15,0
1777928491.895,4842240,364.0,71.6,0
1777928493.918,4842240,364.0,72.7,0
1777928495.946,4842240,364.0,71.05,0
1777928498.067,4842240,364.0,72.7,0
1777928500.087,4843776,364.0,72.15,0
1777928502.109,4843776,365.0,73.25,0
1777928504.138,4843776,365.0,71.6,0
