elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777996011.857,32,0.0,12096,-1475,17.8416,72,True,True
1777996012.893,6244992,97.8,12096,-1475,17.8416,72,True,True
1777996013.925,7709984,95.4,12096,-1475,17.8416,72,True,True
1777996014.958,7717552,124.0,12096,-1475,17.8416,72,True,True
1777996015.99,7717632,94.7,12096,-1475,17.8416,72,True,True
1777996017.036,7717664,98.7,12096,-1475,17.8416,72,True,True
1777996018.073,7744784,150.4,12096,-1475,17.8416,72,True,True
1777996019.103,7744976,93.3,12096,-1475,17.8416,72,True,True
1777996020.146,7745008,97.9,12096,-1475,17.8416,72,True,True
1777996021.189,7773040,101.4,12096,-1475,17.8416,72,True,True
1777996022.217,7773040,101.1,12096,-1475,17.8416,72,True,True
1777996023.246,7799648,96.5,12096,-1475,17.8416,72,True,True
1777996024.289,7835968,108.1,12096,-1475,17.8416,72,True,True
1777996025.322,7835792,95.3,12096,-1475,17.8416,72,True,True
1777996026.366,7835968,97.7,12096,-1475,17.8416,72,True,True
1777996027.399,7835968,91.8,12096,-1475,17.8416,72,True,True
1777996028.431,7863008,101.0,12096,-1475,17.8416,72,True,True
1777996029.463,7862832,98.8,12096,-1475,17.8416,72,True,True
1777996030.502,7863024,97.8,12096,-1475,17.8416,72,True,True
1777996031.54,7885552,106.3,12096,-1475,17.8416,72,True,True
1777996032.578,7885552,107.7,12096,-1475,17.8416,72,True,True
1777996033.61,7906448,100.6,12096,-1475,17.8416,72,True,True
1777996034.647,7906448,102.0,12096,-1475,17.8416,72,True,True
1777996035.678,7906448,98.9,12096,-1475,17.8416,72,True,True
1777996036.707,7906448,95.6,12096,-1475,17.8416,72,True,True
1777996037.743,7933456,102.6,12096,-1475,17.8416,72,True,True
1777996038.782,7933456,98.2,12096,-1475,17.8416,72,True,True
1777996039.817,7933456,98.6,12096,-1475,17.8416,72,True,True
1777996040.853,7933488,96.1,12096,-1475,17.8416,72,True,True
1777996041.883,7957936,101.0,12096,-1475,17.8416,72,True,True
1777996042.919,7957952,95.5,12096,-1475,17.8416,72,True,True
1777996043.946,7966160,95.5,12096,-1475,17.8416,72,True,True
1777996044.979,7991008,151.8,12096,-1475,17.8416,72,True,True
1777996046.016,7991008,100.0,12096,-1475,17.8416,72,True,True
1777996047.052,8016800,109.0,12096,-1475,17.8416,72,True,True
1777996048.085,8016800,99.7,12096,-1475,17.8416,72,True,True
1777996049.118,8016800,98.2,12096,-1475,17.8416,72,True,True
1777996050.149,8016800,95.7,12096,-1475,17.8416,72,True,True
1777996051.181,8041152,102.5,12096,-1475,17.8416,72,True,True
1777996052.219,8045536,100.3,12096,-1475,17.8416,72,True,True
1777996053.248,8045536,96.2,12096,-1475,17.8416,72,True,True
1777996054.285,8068720,101.5,12096,-1475,17.8416,72,True,True
1777996055.315,8068720,102.3,12096,-1475,17.8416,72,True,True
1777996056.35,8068720,93.5,12096,-1475,17.8416,72,True,True
1777996057.386,8095808,110.5,12096,-1475,17.8416,72,True,True
1777996058.421,8095808,101.0,12096,-1475,17.8416,72,True,True
1777996059.456,8095808,97.9,12096,-1475,17.8416,72,True,True
1777996060.498,8095824,93.1,12096,-1475,17.8416,72,True,True
1777996061.532,8128304,106.5,12096,-1475,17.8416,72,True,True
1777996062.564,8128528,99.2,12096,-1475,17.8416,72,True,True
1777996063.598,8128560,94.1,12096,-1475,17.8416,72,True,True
1777996064.633,8128560,98.1,12099,-1276,15.4383,72,True,True
1777996065.666,8156832,104.3,12099,-1276,15.4383,72,True,True
1777996066.707,8156832,97.8,12099,-1276,15.4383,72,True,True
1777996067.741,8156832,131.4,12099,-1276,15.4383,72,True,True
1777996068.778,8183760,100.8,12099,-1276,15.4383,72,True,True
1777996069.817,8183760,101.6,12099,-1276,15.4383,72,True,True
1777996070.852,8183760,96.3,12099,-1276,15.4383,72,True,True
1777996071.888,8183760,96.5,12099,-1276,15.4383,72,True,True
1777996072.926,8212992,102.0,12099,-1276,15.4383,72,True,True
1777996073.961,8212992,101.3,12099,-1276,15.4383,72,True,True
1777996074.997,8224608,107.8,12099,-1276,15.4383,72,True,True
1777996076.032,8265600,102.0,12099,-1276,15.4383,72,True,True
1777996077.066,8265600,100.6,12099,-1276,15.4383,72,True,True
1777996078.106,8265600,101.2,12099,-1276,15.4383,72,True,True
1777996079.143,8265600,115.7,12099,-1276,15.4383,72,True,True
1777996080.18,8304016,99.7,12099,-1276,15.4383,72,True,True
1777996081.218,8304016,99.5,12099,-1276,15.4383,72,True,True
1777996082.259,8304016,128.8,12099,-1276,15.4383,72,True,True
1777996083.311,8339664,98.1,12099,-1276,15.4383,72,True,True
1777996084.351,8339840,103.5,12099,-1276,15.4383,72,True,True
1777996085.389,8339856,127.5,12099,-1276,15.4383,72,True,True
1777996086.435,8372464,97.4,12099,-1276,15.4383,72,True,True
1777996087.463,8372464,102.5,12099,-1276,15.4383,72,True,True
1777996088.495,8372464,93.0,12099,-1276,15.4383,72,True,True
1777996089.531,8409984,99.3,12099,-1276,15.4383,72,True,True
1777996090.563,8409984,95.8,12099,-1276,15.4383,72,True,True
1777996091.603,8410016,103.5,12099,-1276,15.4383,72,True,True
1777996092.639,8410016,97.7,12099,-1276,15.4383,72,True,True
