elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777996093.717,32,0.0,12099,-1276,15.4383,72,True,True
1777996094.749,6160672,96.9,12099,-1276,15.4383,72,True,True
1777996095.785,7685840,100.1,12099,-1276,15.4383,72,True,True
1777996096.822,7693248,99.5,12099,-1276,15.4383,72,True,True
1777996097.855,7693680,98.8,12099,-1276,15.4383,72,True,True
1777996098.892,7706896,98.3,12099,-1276,15.4383,72,True,True
1777996099.932,7708624,98.0,12099,-1276,15.4383,72,True,True
1777996100.961,7708624,94.7,12099,-1276,15.4383,72,True,True
1777996101.999,7708624,96.3,12099,-1276,15.4383,72,True,True
1777996103.032,7730848,162.4,12099,-1276,15.4383,72,True,True
1777996104.07,7730848,101.0,12099,-1276,15.4383,72,True,True
1777996105.103,7730848,93.7,12099,-1276,15.4383,72,True,True
1777996106.139,7697872,102.5,12099,-1276,15.4383,72,True,True
1777996107.179,7697872,100.1,12099,-1276,15.4383,72,True,True
1777996108.208,7710416,106.7,12099,-1276,15.4383,72,True,True
1777996109.243,7710416,101.5,12099,-1276,15.4383,72,True,True
1777996110.285,7710416,96.6,12099,-1276,15.4383,72,True,True
1777996111.316,7710416,94.4,12099,-1276,15.4383,72,True,True
1777996112.347,7720160,101.0,12099,-1276,15.4383,72,True,True
1777996113.382,7772416,94.6,12099,-1276,15.4383,72,True,True
1777996114.412,7798016,103.8,12099,-1276,15.4383,72,True,True
1777996115.443,7797856,103.2,12099,-1276,15.4383,72,True,True
1777996116.475,7798048,94.5,12099,-1276,15.4383,72,True,True
1777996117.514,7811040,103.0,12099,-1276,15.4383,72,True,True
1777996118.55,7811072,100.6,12099,-1276,15.4383,72,True,True
1777996119.589,7811088,92.1,12099,-1276,15.4383,72,True,True
1777996120.626,7822512,94.2,12099,-1276,15.4383,72,True,True
1777996121.663,7822400,102.7,12099,-1276,15.4383,72,True,True
1777996122.698,7822512,93.0,12099,-1276,15.4383,72,True,True
1777996123.739,7831104,102.1,12099,-1276,15.4383,72,True,True
1777996124.773,7831104,99.3,12107,-1274,15.4243,72,True,True
1777996125.806,7831136,97.7,12107,-1274,15.4243,72,True,True
1777996126.841,7846912,96.4,12107,-1274,15.4243,72,True,True
1777996127.88,7846912,94.6,12107,-1274,15.4243,72,True,True
1777996128.92,7846912,98.3,12107,-1274,15.4243,72,True,True
1777996129.961,7858224,99.3,12107,-1274,15.4243,72,True,True
1777996130.996,7887232,96.0,12107,-1274,15.4243,72,True,True
1777996132.031,7905856,94.2,12107,-1274,15.4243,72,True,True
1777996133.071,7905856,135.4,12107,-1274,15.4243,72,True,True
1777996134.107,7905856,100.2,12107,-1274,15.4243,72,True,True
1777996135.148,7905856,98.5,12107,-1274,15.4243,72,True,True
1777996136.191,7919536,106.4,12107,-1274,15.4243,72,True,True
1777996137.224,7919536,100.8,12107,-1274,15.4243,72,True,True
1777996138.253,7919536,96.3,12107,-1274,15.4243,72,True,True
1777996139.29,7919536,96.6,12107,-1274,15.4243,72,True,True
1777996140.321,7939248,160.1,12107,-1274,15.4243,72,True,True
1777996141.352,7939248,97.2,12107,-1274,15.4243,72,True,True
1777996142.382,7939248,97.6,12107,-1274,15.4243,72,True,True
1777996143.422,7956048,91.3,12107,-1274,15.4243,72,True,True
1777996144.458,7941280,143.1,12107,-1274,15.4243,72,True,True
1777996145.493,7771616,95.2,12107,-1274,15.4243,72,True,True
1777996146.536,7784720,97.7,12107,-1274,15.4243,72,True,True
1777996147.566,7784896,100.4,12107,-1274,15.4243,72,True,True
1777996148.608,7784944,93.2,12107,-1274,15.4243,72,True,True
1777996149.641,7784944,96.6,12107,-1274,15.4243,72,True,True
1777996150.679,7817248,107.6,12107,-1274,15.4243,72,True,True
1777996151.713,7818032,162.3,12107,-1274,15.4243,72,True,True
1777996152.749,7826960,96.3,12107,-1274,15.4243,72,True,True
1777996153.786,7826960,96.3,12107,-1274,15.4243,72,True,True
1777996154.828,7859824,125.9,12107,-1274,15.4243,72,True,True
1777996155.864,7859824,98.6,12107,-1274,15.4243,72,True,True
1777996156.919,7859824,95.8,12107,-1274,15.4243,72,True,True
1777996157.95,7881904,157.0,12107,-1274,15.4243,72,True,True
1777996158.984,7881936,97.1,12107,-1274,15.4243,72,True,True
1777996160.015,7881952,98.7,12107,-1274,15.4243,72,True,True
1777996161.049,7902208,95.4,12107,-1274,15.4243,72,True,True
1777996162.085,7902208,98.1,12107,-1274,15.4243,72,True,True
1777996163.118,7902208,94.2,12107,-1274,15.4243,72,True,True
1777996164.155,7944160,98.5,12107,-1274,15.4243,72,True,True
1777996165.192,7944160,98.7,12107,-1274,15.4243,72,True,True
1777996166.233,7944160,96.4,12107,-1274,15.4243,72,True,True
1777996167.273,7965888,95.8,12107,-1274,15.4243,72,True,True
1777996168.309,7965888,96.1,12107,-1274,15.4243,72,True,True
1777996169.343,7965920,152.5,12107,-1274,15.4243,72,True,True
1777996170.373,7965920,98.5,12107,-1274,15.4243,72,True,True
1777996171.409,7974160,98.3,12107,-1274,15.4243,72,True,True
