elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777996172.501,32,0.0,12107,-1274,15.4243,72,True,True
1777996173.531,5627776,85.7,12107,-1274,15.4243,72,True,True
1777996174.557,7659232,104.6,12107,-1274,15.4243,72,True,True
1777996175.59,7666768,109.0,12107,-1274,15.4243,72,True,True
1777996176.628,7666864,97.3,12107,-1274,15.4243,72,True,True
1777996177.663,7673904,97.0,12107,-1274,15.4243,72,True,True
1777996178.693,7673936,101.0,12107,-1274,15.4243,72,True,True
1777996179.731,7673936,97.8,12107,-1274,15.4243,72,True,True
1777996180.768,7673936,91.2,12107,-1274,15.4243,72,True,True
1777996181.809,7690848,103.6,12107,-1274,15.4243,72,True,True
1777996182.848,7690848,98.1,12107,-1274,15.4243,72,True,True
1777996183.876,7690848,95.2,12107,-1274,15.4243,72,True,True
1777996184.916,7724416,98.7,12064,-1131,13.6444,72,True,True
1777996185.954,7724416,100.4,12064,-1131,13.6444,72,True,True
1777996186.989,7724416,93.6,12064,-1131,13.6444,72,True,True
1777996188.024,7733568,100.4,12064,-1131,13.6444,72,True,True
1777996189.066,7733568,96.7,12064,-1131,13.6444,72,True,True
1777996190.103,7733568,98.8,12064,-1131,13.6444,72,True,True
1777996191.141,7738736,100.2,12064,-1131,13.6444,72,True,True
1777996192.172,7738736,99.2,12064,-1131,13.6444,72,True,True
1777996193.212,7767104,110.6,12064,-1131,13.6444,72,True,True
1777996194.247,7767104,101.3,12064,-1131,13.6444,72,True,True
1777996195.279,7767104,93.3,12064,-1131,13.6444,72,True,True
1777996196.31,7776096,105.8,12064,-1131,13.6444,72,True,True
1777996197.346,7776096,100.5,12064,-1131,13.6444,72,True,True
1777996198.384,7776096,96.9,12064,-1131,13.6444,72,True,True
1777996199.43,7776112,93.9,12064,-1131,13.6444,72,True,True
1777996200.467,7805360,102.7,12064,-1131,13.6444,72,True,True
1777996201.514,7805360,98.3,12064,-1131,13.6444,72,True,True
1777996202.553,7805360,90.0,12064,-1131,13.6444,72,True,True
1777996203.586,7823568,100.9,12064,-1131,13.6444,72,True,True
1777996204.62,7822928,100.7,12064,-1131,13.6444,72,True,True
1777996205.657,7822928,96.1,12064,-1131,13.6444,72,True,True
1777996206.688,7814400,99.5,12064,-1131,13.6444,72,True,True
1777996207.722,7814576,97.7,12064,-1131,13.6444,72,True,True
1777996208.759,7814576,95.5,12064,-1131,13.6444,72,True,True
1777996209.797,7819712,110.0,12064,-1131,13.6444,72,True,True
1777996210.84,7819712,99.4,12064,-1131,13.6444,72,True,True
1777996211.875,7865584,95.0,12064,-1131,13.6444,72,True,True
1777996212.905,7876672,108.9,12064,-1131,13.6444,72,True,True
1777996213.946,7876672,100.8,12064,-1131,13.6444,72,True,True
1777996214.99,7815712,114.2,12064,-1131,13.6444,72,True,True
1777996216.036,7761856,102.4,12064,-1131,13.6444,72,True,True
1777996217.076,7761856,102.1,12064,-1131,13.6444,72,True,True
1777996218.115,7761856,123.6,12064,-1131,13.6444,72,True,True
1777996219.144,7761888,96.4,12064,-1131,13.6444,72,True,True
1777996220.182,7770560,98.2,12064,-1131,13.6444,72,True,True
1777996221.22,7770560,98.5,12064,-1131,13.6444,72,True,True
1777996222.26,7770576,98.9,12064,-1131,13.6444,72,True,True
1777996223.289,7783888,102.1,12064,-1131,13.6444,72,True,True
1777996224.327,7783888,98.9,12064,-1131,13.6444,72,True,True
1777996225.363,7783888,96.4,12064,-1131,13.6444,72,True,True
1777996226.407,7793072,101.7,12064,-1131,13.6444,72,True,True
1777996227.44,7793088,100.7,12064,-1131,13.6444,72,True,True
1777996228.479,7793088,97.9,12064,-1131,13.6444,72,True,True
1777996229.513,7793088,96.9,12064,-1131,13.6444,72,True,True
1777996230.553,7815808,99.6,12064,-1131,13.6444,72,True,True
1777996231.586,7815808,103.3,12064,-1131,13.6444,72,True,True
1777996232.623,7815808,112.4,12064,-1131,13.6444,72,True,True
1777996233.653,7849456,111.3,12064,-1131,13.6444,72,True,True
1777996234.695,7849584,101.7,12064,-1131,13.6444,72,True,True
1777996235.733,7849584,97.3,12064,-1131,13.6444,72,True,True
1777996236.775,7849584,98.3,12064,-1131,13.6444,72,True,True
1777996237.81,7858704,100.7,12064,-1131,13.6444,72,True,True
1777996238.854,7858704,94.0,12064,-1131,13.6444,72,True,True
1777996239.894,7858704,94.0,12064,-1131,13.6444,72,True,True
1777996240.932,7877776,101.0,12064,-1131,13.6444,72,True,True
1777996241.971,7877776,95.8,12064,-1131,13.6444,72,True,True
1777996243.014,7877792,96.8,12064,-1131,13.6444,72,True,True
1777996244.054,7912352,99.1,12091,-1490,18.0156,72,True,True
1777996245.092,7912352,99.8,12091,-1490,18.0156,72,True,True
1777996246.126,7912352,98.5,12091,-1490,18.0156,72,True,True
1777996247.157,7921376,97.2,12091,-1490,18.0156,72,True,True
1777996248.19,7921376,95.9,12091,-1490,18.0156,72,True,True
1777996249.223,7929856,106.5,12091,-1490,18.0156,72,True,True
1777996250.26,7929856,97.3,12091,-1490,18.0156,72,True,True
1777996251.288,7938144,93.5,12091,-1490,18.0156,72,True,True
