elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777996724.959,32,0.0,12673,3925,49.7415,77,True,True
1777996725.981,5403744,66.4,12673,3925,49.7415,77,True,True
1777996727.018,5640544,100.0,12673,3925,49.7415,77,True,True
1777996728.054,5692080,101.8,12673,3925,49.7415,77,True,True
1777996729.099,5692208,98.1,12673,3925,49.7415,77,True,True
1777996730.133,5692208,98.4,12673,3925,49.7415,77,True,True
1777996731.175,5813552,100.9,12673,3925,49.7415,77,True,True
1777996732.214,5813552,123.5,12673,3925,49.7415,77,True,True
1777996733.255,5813648,98.4,12673,3925,49.7415,77,True,True
1777996734.289,5813648,99.7,12673,3925,49.7415,77,True,True
1777996735.328,5934656,132.2,12673,3925,49.7415,77,True,True
1777996736.369,5938928,100.2,12673,3925,49.7415,77,True,True
1777996737.412,5939104,99.0,12673,3925,49.7415,77,True,True
1777996738.457,6059456,99.1,12673,3925,49.7415,77,True,True
1777996739.494,6059488,99.8,12673,3925,49.7415,77,True,True
1777996740.533,6059488,99.1,12673,3925,49.7415,77,True,True
1777996741.582,6059488,98.9,12673,3925,49.7415,77,True,True
1777996742.628,6059488,99.7,12673,3925,49.7415,77,True,True
1777996743.668,6182096,100.9,12673,3925,49.7415,77,True,True
1777996744.712,6182096,99.6,12673,3925,49.7415,77,True,True
1777996745.748,6182096,99.6,12673,3925,49.7415,77,True,True
1777996746.787,6297184,100.7,12673,3925,49.7415,77,True,True
1777996747.824,6297008,100.8,12673,3925,49.7415,77,True,True
1777996748.865,6297184,99.7,12673,3925,49.7415,77,True,True
1777996749.908,6416064,101.3,12673,3925,49.7415,77,True,True
1777996750.946,6416064,100.6,12673,3925,49.7415,77,True,True
1777996751.979,6416064,98.9,12673,3925,49.7415,77,True,True
1777996753.027,6416064,97.6,12673,3925,49.7415,77,True,True
1777996754.066,6524400,98.4,12673,3925,49.7415,77,True,True
1777996755.108,6537504,100.2,12673,3925,49.7415,77,True,True
1777996756.148,6537504,98.9,12673,3925,49.7415,77,True,True
1777996757.187,6537504,99.7,12673,3925,49.7415,77,True,True
1777996758.22,6537504,99.2,12673,3925,49.7415,77,True,True
1777996759.27,6656016,99.5,12673,3925,49.7415,77,True,True
1777996760.308,6656016,98.8,12673,3925,49.7415,77,True,True
1777996761.347,6656016,100.0,12673,3925,49.7415,77,True,True
1777996762.386,6774048,229.0,12673,3925,49.7415,77,True,True
1777996763.428,6774048,99.5,12673,3925,49.7415,77,True,True
1777996764.463,6773904,99.0,12673,3925,49.7415,77,True,True
1777996765.494,6816240,123.4,12673,3925,49.7415,77,True,True
1777996766.531,6937184,102.6,12673,3925,49.7415,77,True,True
1777996767.572,6937184,99.6,12673,3925,49.7415,77,True,True
1777996768.612,6937184,99.0,12673,3925,49.7415,77,True,True
1777996769.646,6937184,100.0,12673,3925,49.7415,77,True,True
1777996770.689,7055536,101.2,12673,3925,49.7415,77,True,True
1777996771.723,7055536,100.0,12673,3925,49.7415,77,True,True
1777996772.774,7055536,98.5,12673,3925,49.7415,77,True,True
1777996773.809,7055360,99.6,12673,3925,49.7415,77,True,True
1777996774.86,7055568,101.2,12673,3925,49.7415,77,True,True
1777996775.892,7055568,180.9,12673,3925,49.7415,77,True,True
1777996776.933,7055568,99.0,12673,3925,49.7415,77,True,True
1777996777.973,7174800,103.6,12673,3925,49.7415,77,True,True
1777996779.004,7174800,98.8,12673,3925,49.7415,77,True,True
1777996780.053,7174800,91.4,12687,-1143,14.5012,77,True,True
1777996781.089,7174800,98.7,12687,-1143,14.5012,77,True,True
1777996782.222,7178096,98.5,12687,-1143,14.5012,77,True,True
1777996783.269,7300368,157.0,12687,-1143,14.5012,77,True,True
1777996784.31,7300368,98.5,12687,-1143,14.5012,77,True,True
1777996785.347,7300368,98.0,12687,-1143,14.5012,77,True,True
1777996786.386,7300368,97.2,12687,-1143,14.5012,77,True,True
