elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777997031.651,32,0.0,12257,-1065,13.0537,77,True,True
1777997032.678,5248560,97.2,12257,-1065,13.0537,77,True,True
1777997033.71,5485120,86.3,12257,-1065,13.0537,77,True,True
1777997034.746,5485120,98.8,12257,-1065,13.0537,77,True,True
1777997035.783,5536656,100.2,12257,-1065,13.0537,77,True,True
1777997036.821,5536656,98.8,12257,-1065,13.0537,77,True,True
1777997037.862,5536656,154.0,12257,-1065,13.0537,77,True,True
1777997038.89,5647168,99.2,12257,-1065,13.0537,77,True,True
1777997039.934,5647168,98.9,12257,-1065,13.0537,77,True,True
1777997040.985,5647168,172.4,12257,-1065,13.0537,77,True,True
1777997042.024,5708032,98.5,12257,-1065,13.0537,77,True,True
1777997043.062,5708032,100.2,12257,-1065,13.0537,77,True,True
1777997044.099,5708032,98.6,12257,-1065,13.0537,77,True,True
1777997045.144,5818176,100.1,12257,-1065,13.0537,77,True,True
1777997046.185,5818208,98.7,12257,-1065,13.0537,77,True,True
1777997047.226,5818208,99.1,12257,-1065,13.0537,77,True,True
1777997048.259,5818208,99.0,12257,-1065,13.0537,77,True,True
1777997049.299,5928592,104.4,12257,-1065,13.0537,77,True,True
1777997050.329,5928448,100.0,12257,-1065,13.0537,77,True,True
1777997051.365,5928624,100.0,12257,-1065,13.0537,77,True,True
1777997052.402,6036592,101.0,12257,-1065,13.0537,77,True,True
1777997053.436,6036416,101.1,12257,-1065,13.0537,77,True,True
1777997054.465,6036592,98.8,12257,-1065,13.0537,77,True,True
1777997055.5,6146112,104.7,12257,-1065,13.0537,77,True,True
1777997056.538,6146112,100.0,12257,-1065,13.0537,77,True,True
1777997057.583,6146112,100.1,12257,-1065,13.0537,77,True,True
1777997058.617,6146112,98.5,12257,-1065,13.0537,77,True,True
1777997059.662,6257920,123.8,12257,-1065,13.0537,77,True,True
1777997060.695,6257952,99.5,12257,-1065,13.0537,77,True,True
1777997061.734,6257952,100.0,12257,-1065,13.0537,77,True,True
1777997062.778,6257952,99.7,12257,-1065,13.0537,77,True,True
1777997063.814,6387728,103.4,12257,-1065,13.0537,77,True,True
1777997064.849,6388112,99.1,12257,-1065,13.0537,77,True,True
1777997065.888,6388112,99.4,12257,-1065,13.0537,77,True,True
1777997066.928,6388112,99.5,12257,-1065,13.0537,77,True,True
1777997067.969,6498928,100.9,12257,-1065,13.0537,77,True,True
1777997068.998,6498752,100.0,12257,-1065,13.0537,77,True,True
1777997070.039,6498928,145.7,12257,-1065,13.0537,77,True,True
1777997071.075,6498928,98.1,12257,-1065,13.0537,77,True,True
1777997072.121,6542944,98.7,12257,-1065,13.0537,77,True,True
1777997073.155,6653520,154.9,12257,-1065,13.0537,77,True,True
1777997074.194,6653520,98.7,12257,-1065,13.0537,77,True,True
1777997075.235,6653520,99.3,12257,-1065,13.0537,77,True,True
1777997076.283,6653520,104.3,12257,-1065,13.0537,77,True,True
1777997077.32,6762768,100.1,12257,-1065,13.0537,77,True,True
1777997078.356,6762768,100.3,12257,-1065,13.0537,77,True,True
1777997079.405,6762768,100.0,12221,-1060,12.9543,77,True,True
1777997080.448,6762768,147.5,12221,-1060,12.9543,77,True,True
1777997081.491,6871872,102.3,12221,-1060,12.9543,77,True,True
1777997082.526,6871872,99.4,12221,-1060,12.9543,77,True,True
1777997083.566,6871872,98.3,12221,-1060,12.9543,77,True,True
1777997084.605,6871872,98.6,12221,-1060,12.9543,77,True,True
1777997085.641,6982288,100.6,12221,-1060,12.9543,77,True,True
1777997086.681,6982288,145.2,12221,-1060,12.9543,77,True,True
1777997087.721,6982288,98.1,12221,-1060,12.9543,77,True,True
1777997088.762,6982304,100.0,12221,-1060,12.9543,77,True,True
1777997089.798,7092736,103.0,12221,-1060,12.9543,77,True,True
1777997090.825,7092736,169.7,12221,-1060,12.9543,77,True,True
1777997091.852,7092736,98.9,12221,-1060,12.9543,77,True,True
1777997092.924,7092736,99.3,12221,-1060,12.9543,77,True,True
1777997093.987,7092736,96.9,12221,-1060,12.9543,77,True,True
1777997095.022,7202608,100.6,12221,-1060,12.9543,77,True,True
1777997096.067,7202608,126.2,12221,-1060,12.9543,77,True,True
1777997097.113,7202608,100.0,12221,-1060,12.9543,77,True,True
1777997098.148,7311472,101.7,12221,-1060,12.9543,77,True,True
1777997099.184,7311472,98.6,12221,-1060,12.9543,77,True,True
1777997100.217,7311472,98.3,12221,-1060,12.9543,77,True,True
1777997101.255,7311504,97.6,12221,-1060,12.9543,77,True,True
1777997102.289,7422032,94.0,12221,-1060,12.9543,77,True,True
1777997103.331,7422032,124.5,12221,-1060,12.9543,77,True,True
