elapsed_sec,rss_kb,cpu_pct,battery_voltage_mv,battery_current_ma,battery_power_w,battery_capacity_pct,battery_external_connected,battery_is_charging
1777997132.422,32,0.0,12221,-1060,12.9543,77,True,True
1777997133.454,5213408,95.9,12221,-1060,12.9543,77,True,True
1777997134.482,5449824,88.3,12221,-1060,12.9543,77,True,True
1777997135.519,5449824,125.6,12221,-1060,12.9543,77,True,True
1777997136.557,5501376,98.5,12221,-1060,12.9543,77,True,True
1777997137.597,5501424,99.0,12221,-1060,12.9543,77,True,True
1777997138.633,5609648,98.3,12221,-1060,12.9543,77,True,True
1777997139.667,5609680,99.2,12237,-957,11.7108,77,True,True
1777997140.706,5609744,98.1,12237,-957,11.7108,77,True,True
1777997141.736,5609744,99.7,12237,-957,11.7108,77,True,True
1777997142.771,5609744,127.0,12237,-957,11.7108,77,True,True
1777997143.808,5717152,98.2,12237,-957,11.7108,77,True,True
1777997144.851,5717216,100.2,12237,-957,11.7108,77,True,True
1777997145.879,5744016,98.7,12237,-957,11.7108,77,True,True
1777997146.919,5824432,181.2,12237,-957,11.7108,77,True,True
1777997147.959,5824432,100.2,12237,-957,11.7108,77,True,True
1777997148.997,5824432,100.0,12237,-957,11.7108,77,True,True
1777997150.039,5824432,99.7,12237,-957,11.7108,77,True,True
1777997151.077,5932576,99.7,12237,-957,11.7108,77,True,True
1777997152.116,5932608,100.6,12237,-957,11.7108,77,True,True
1777997153.15,5932608,92.7,12237,-957,11.7108,77,True,True
1777997154.196,6040960,96.7,12237,-957,11.7108,77,True,True
1777997155.232,6040960,99.8,12237,-957,11.7108,77,True,True
1777997156.264,6148256,99.0,12237,-957,11.7108,77,True,True
1777997157.308,6148256,100.3,12237,-957,11.7108,77,True,True
1777997158.342,6148256,97.0,12237,-957,11.7108,77,True,True
1777997159.389,6148256,99.9,12237,-957,11.7108,77,True,True
1777997160.43,6193872,99.2,12237,-957,11.7108,77,True,True
1777997161.474,6193872,98.9,12237,-957,11.7108,77,True,True
1777997162.512,6302240,98.9,12237,-957,11.7108,77,True,True
1777997163.555,6302240,99.6,12237,-957,11.7108,77,True,True
1777997164.596,6302240,98.4,12237,-957,11.7108,77,True,True
1777997165.641,6302256,100.0,12237,-957,11.7108,77,True,True
1777997166.673,6409648,99.9,12237,-957,11.7108,77,True,True
1777997167.704,6409648,100.7,12237,-957,11.7108,77,True,True
1777997168.748,6516784,100.7,12237,-957,11.7108,77,True,True
1777997169.778,6516784,100.3,12237,-957,11.7108,77,True,True
1777997170.812,6516784,98.4,12237,-957,11.7108,77,True,True
1777997171.855,6516784,98.8,12237,-957,11.7108,77,True,True
