elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778016319.604,8512,0.0,51.8,0
1778016321.616,116256,93.0,55.1,0
1778016323.625,279600,59.8,55.1,0
1778016325.636,445488,40.4,52.35,0
1778016327.648,617520,30.6,52.35,0
1778016329.66,791088,24.8,51.8,0
1778016331.672,964144,20.9,52.9,0
1778016333.684,1137712,18.2,51.8,0
1778016335.696,1311296,16.1,52.9,0
1778016337.708,1477696,14.5,52.9,0
1778016339.72,1651776,13.2,50.7,0
1778016341.732,1825344,12.2,52.9,0
1778016343.744,1999424,11.3,51.8,0
1778016345.755,2173504,10.5,51.8,0
1778016347.767,2347072,9.9,52.9,0
1778016349.779,2521152,9.3,51.8,0
1778016351.791,2695232,8.8,51.8,0
1778016353.802,2869824,8.4,51.8,0
1778016355.815,3039808,8.0,52.9,0
1778016357.826,3213376,7.7,51.8,0
1778016359.838,3387456,7.4,52.35,0
1778016361.85,3561536,7.1,51.8,0
1778016363.862,3735104,6.9,52.35,0
1778016365.874,3909184,6.6,51.25,0
1778016367.885,4083264,6.4,51.8,0
1778016369.897,4257344,6.2,52.9,0
1778016371.909,4430912,6.0,52.35,0
1778016373.935,4604528,5.9,51.8,0
1778016375.966,4769904,5.7,51.8,0
1778016379.245,6849584,7.7,53.45,0
1778016381.279,6964400,10.3,53.45,0
1778016383.304,6907568,18.8,61.15,0
1778016385.324,6948528,30.5,63.9,0
1778016387.35,6948528,41.5,66.1,0
1778016389.375,6872752,51.8,66.1,0
1778016391.502,6872880,60.2,70.5,0
1778016393.521,6879536,69.3,71.6,0
1778016395.547,6879536,78.0,73.25,0
1778016397.574,6868272,86.2,74.9,0
1778016399.606,6859056,94.0,76.55,0
1778016401.632,6859056,101.0,76.55,0
1778016403.658,6849840,108.0,77.1,0
1778016405.685,6867760,114.0,74.9,0
1778016407.712,6866736,121.0,76.55,0
1778016409.732,6865712,127.0,75.45,0
1778016411.781,6865712,133.0,72.7,0
1778016413.804,6865712,138.0,72.7,0
1778016415.822,6865712,143.0,71.6,0
1778016417.836,6865712,148.0,72.15,0
1778016419.86,6865712,153.0,72.15,0
1778016421.884,6865712,158.0,71.05,0
1778016423.91,6865712,162.0,70.5,0
1778016425.937,6865712,166.0,72.15,0
1778016427.961,6914352,170.0,74.35,0
1778016429.984,6914352,175.0,71.05,0
1778016432.004,6906160,179.0,72.7,0
1778016434.03,6908256,182.0,74.9,0
1778016436.058,6908256,186.0,76.0,0
1778016438.083,6908256,189.0,76.0,0
1778016440.112,6908256,193.0,76.0,0
1778016442.133,6908256,196.0,77.65,0
1778016444.153,6908256,199.0,75.45,0
1778016446.168,6908256,202.0,77.65,0
1778016448.184,6908256,205.0,74.9,0
1778016450.216,6908256,208.0,73.8,0
1778016452.244,6908256,211.0,71.6,0
1778016454.272,6908784,214.0,73.25,0
1778016456.293,6908784,216.0,72.7,0
1778016458.314,6908784,219.0,70.5,0
1778016460.335,6909328,221.0,71.05,0
1778016462.36,6909328,224.0,71.6,0
1778016464.38,6909328,226.0,70.5,0
1778016466.404,6909328,228.0,71.6,0
1778016468.427,6909328,230.0,71.05,0
1778016470.448,6909856,232.0,71.05,0
1778016472.481,6909856,234.0,71.6,0
1778016474.506,6909856,237.0,70.5,0
1778016476.527,6890912,238.0,71.6,0
1778016478.554,6888352,240.0,72.15,0
1778016480.574,6888352,242.0,72.7,0
1778016482.596,6888352,244.0,74.9,0
1778016484.614,6888352,246.0,76.55,0
1778016486.637,6888352,248.0,75.45,0
1778016488.66,6888352,250.0,76.0,0
