elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778018471.201,8016,0.0,66.1,0
1778018473.211,115728,94.5,63.9,0
1778018475.241,460816,67.2,61.7,0
1778018477.256,1339968,45.8,61.15,0
1778018479.267,2050112,35.6,57.85,0
1778018481.279,5030464,31.3,57.85,0
1778018483.322,7274224,47.3,60.05,0
1778018485.347,7352048,86.2,65.55,0
1778018487.374,7328496,125.0,67.75,0
1778018489.395,7328496,155.0,67.75,0
1778018491.416,7329520,180.0,68.3,0
1778018493.44,7353072,198.0,72.15,0
1778018495.461,7359728,215.0,73.25,0
1778018497.491,7359728,228.0,73.25,0
1778018499.516,7359728,240.0,74.9,0
1778018501.534,7360240,250.0,76.0,0
1778018503.555,7360240,258.0,76.0,0
1778018505.58,7360240,266.0,76.0,0
1778018507.599,7369456,273.0,76.55,0
1778018509.619,7369968,280.0,76.0,0
1778018511.665,7369968,285.0,74.35,0
1778018513.688,7369968,290.0,73.8,0
1778018515.708,7369968,294.0,71.6,0
1778018517.731,7369968,298.0,71.6,0
1778018519.757,7369968,302.0,71.6,0
1778018521.784,7369968,305.0,71.05,0
1778018523.806,7369968,309.0,71.6,0
1778018525.833,7369968,311.0,71.05,0
1778018527.857,7369968,314.0,69.4,0
1778018529.879,7397104,317.0,71.05,0
1778018531.898,7397104,320.0,71.6,0
1778018533.919,7397616,322.0,72.15,0
1778018535.947,7397616,324.0,76.0,0
1778018537.975,7397616,326.0,75.45,0
1778018540.004,7397616,328.0,76.55,0
1778018542.033,7397616,330.0,76.0,0
1778018544.055,7397616,332.0,76.55,0
1778018546.082,7397616,334.0,76.55,0
1778018548.115,7397616,335.0,73.8,0
1778018550.14,7397616,336.0,72.7,0
1778018552.18,7397616,338.0,72.15,0
1778018554.198,7397616,339.0,71.6,0
1778018556.238,7397616,340.0,72.15,0
1778018558.264,7397616,341.0,71.05,0
1778018560.287,7397616,342.0,71.6,0
1778018562.308,7397616,343.0,69.4,0
1778018564.336,7397616,344.0,69.4,0
1778018566.364,7397616,345.0,69.95,0
1778018568.392,7397616,346.0,69.95,0
1778018570.416,7397616,347.0,69.4,0
1778018572.444,7397616,348.0,71.05,0
1778018574.466,7421680,349.0,72.15,0
1778018576.49,7421680,350.0,71.05,0
1778018578.514,7421680,351.0,70.5,0
1778018580.531,7421680,351.0,74.9,0
1778018582.556,7421680,352.0,74.9,0
1778018584.589,7421680,353.0,76.55,0
1778018586.616,7421680,354.0,77.1,0
1778018588.641,7421680,354.0,77.1,0
1778018590.664,7421680,355.0,75.45,0
1778018592.684,7421680,356.0,76.55,0
1778018594.708,7421680,356.0,76.0,0
1778018596.726,7421680,357.0,73.8,0
1778018598.744,7421680,357.0,72.15,0
1778018600.769,7452400,358.0,71.05,0
1778018602.796,7452400,358.0,71.6,0
1778018604.819,7452400,359.0,69.95,0
1778018606.84,7452400,359.0,70.5,0
1778018608.861,7452400,359.0,69.95,0
1778018610.878,7452400,360.0,71.05,0
1778018612.899,7452400,360.0,69.4,0
1778018614.924,7452400,361.0,70.5,0
1778018616.95,7452400,361.0,72.15,0
1778018618.972,7452400,362.0,73.8,0
1778018620.998,7452400,362.0,73.8,0
1778018623.028,7452400,363.0,76.0,0
1778018625.054,7452400,363.0,76.0,0
1778018627.079,7452400,363.0,76.0,0
1778018629.106,7452400,364.0,76.0,0
1778018631.132,7452400,364.0,73.8,0
1778018633.158,7452400,365.0,75.45,0
1778018635.18,7452400,365.0,74.35,0
1778018637.194,7452400,365.0,73.25,0
1778018639.213,7452400,365.0,71.05,0
1778018641.235,7452400,366.0,69.95,0
1778018643.262,7452400,366.0,69.95,0
1778018645.281,7452400,366.0,71.6,0
1778018647.305,7452400,366.0,69.95,0
1778018649.322,7452400,367.0,69.95,0
1778018651.338,7452400,367.0,71.6,0
1778018653.361,7452400,367.0,69.95,0
1778018655.386,7456496,367.0,72.7,0
1778018657.408,7456496,368.0,70.5,0
1778018659.432,7456496,368.0,73.8,0
1778018661.455,7456496,368.0,74.9,0
1778018663.484,7456496,369.0,76.0,0
1778018665.512,7456496,369.0,76.0,0
1778018667.534,7456496,369.0,77.65,0
1778018669.56,7456496,369.0,76.55,0
1778018671.584,7456496,370.0,75.45,0
1778018673.606,7456496,370.0,73.8,0
1778018675.636,7456496,370.0,72.7,0
