elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778019463.896,7520,0.0,65.0,0
1778019465.906,116240,93.0,63.9,0
1778019467.915,385088,60.7,60.6,0
1778019469.924,594512,41.4,60.05,0
1778019471.936,801360,31.8,58.95,0
1778019473.946,1013376,26.2,56.75,0
1778019475.955,1399936,22.3,57.85,0
1778019477.964,2088096,19.5,55.65,0
1778019479.975,5669536,20.7,56.2,0
1778019482.008,7298896,43.2,61.7,0
1778019484.029,7351632,78.5,65.0,0
1778019486.048,7351632,107.0,65.0,0
1778019488.067,7351632,132.0,67.75,0
1778019490.096,7374672,152.0,69.4,0
1778019492.122,7380816,169.0,71.05,0
1778019494.144,7381328,184.0,74.35,0
1778019496.167,7381328,197.0,73.25,0
1778019498.186,7381328,208.0,74.35,0
1778019500.206,7382352,219.0,75.45,0
1778019502.227,7382352,228.0,74.9,0
1778019504.255,7382352,236.0,77.1,0
1778019506.278,7382864,243.0,76.0,0
1778019508.304,7385936,250.0,76.55,0
1778019510.324,7385936,256.0,73.25,0
1778019512.341,7385936,262.0,71.6,0
1778019514.359,7385936,267.0,71.6,0
1778019516.395,7385936,271.0,71.05,0
1778019518.418,7385936,276.0,70.5,0
1778019520.436,7385936,280.0,70.5,0
1778019522.455,7385936,284.0,69.95,0
1778019524.488,7385936,287.0,69.95,0
1778019526.507,7406416,290.0,71.6,0
1778019528.527,7406416,294.0,71.6,0
1778019530.548,7406416,297.0,73.25,0
1778019532.575,7406416,300.0,73.25,0
1778019534.604,7406416,303.0,74.9,0
1778019536.619,7406416,305.0,74.9,0
1778019538.64,7406416,307.0,76.0,0
1778019540.667,7406416,310.0,76.55,0
1778019542.696,7406416,312.0,76.0,0
1778019544.72,7406416,314.0,76.0,0
1778019546.744,7406416,316.0,72.7,0
1778019548.768,7406416,317.0,71.6,0
1778019550.794,7406416,319.0,71.6,0
1778019552.82,7406416,321.0,70.5,0
1778019554.843,7406416,322.0,72.15,0
1778019556.872,7406416,324.0,69.95,0
1778019558.9,7406416,325.0,71.05,0
1778019560.92,7406416,326.0,69.95,0
1778019562.944,7406416,328.0,70.5,0
1778019564.986,7406416,329.0,71.05,0
1778019567.01,7406416,330.0,71.05,0
1778019569.03,7406416,331.0,71.05,0
1778019571.051,7425360,332.0,70.5,0
1778019573.08,7425360,333.0,69.95,0
1778019575.099,7425360,335.0,71.05,0
1778019577.12,7425360,336.0,74.35,0
1778019579.146,7425360,337.0,74.35,0
1778019581.172,7425360,338.0,75.45,0
1778019583.201,7425360,339.0,76.0,0
1778019585.229,7425360,339.0,75.45,0
1778019587.256,7425360,340.0,76.0,0
1778019589.275,7425360,341.0,76.55,0
1778019591.296,7425360,342.0,74.9,0
1778019593.324,7425360,343.0,73.25,0
1778019595.348,7425360,344.0,71.6,0
1778019597.372,7460176,344.0,69.95,0
