elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778020435.781,8000,0.0,65.0,0
1778020437.791,115632,95.0,63.35,0
1778020439.803,698336,62.8,61.7,0
1778020441.815,1238496,43.3,59.5,0
1778020443.824,1519616,33.4,58.4,0
1778020445.833,1815552,27.2,56.75,0
1778020447.843,2094128,23.2,57.85,0
1778020449.868,7328688,41.4,60.6,0
1778020451.886,7402416,85.6,65.55,0
1778020453.903,7402416,120.0,66.1,0
1778020455.927,7402416,148.0,66.65,0
1778020457.967,7404976,171.0,66.65,0
1778020459.991,7426480,190.0,71.6,0
1778020462.016,7433136,205.0,72.7,0
1778020464.039,7433136,219.0,74.35,0
1778020466.069,7433136,230.0,74.9,0
1778020468.094,7433648,240.0,74.35,0
1778020470.128,7433648,249.0,75.45,0
1778020472.153,7433648,257.0,76.55,0
1778020474.177,7438768,264.0,73.8,0
1778020476.2,7438768,271.0,76.0,0
1778020478.224,7441840,276.0,73.25,0
1778020480.244,7441840,282.0,73.25,0
1778020482.261,7441840,286.0,71.6,0
1778020484.288,7441840,290.0,71.05,0
1778020486.31,7441840,294.0,69.95,0
1778020488.336,7441840,298.0,69.95,0
1778020490.36,7441840,301.0,71.05,0
1778020492.38,7441840,304.0,71.6,0
1778020494.408,7441840,307.0,70.5,0
1778020496.436,7456176,310.0,70.5,0
1778020498.46,7456176,313.0,71.6,0
1778020500.486,7456176,315.0,74.35,0
1778020502.516,7456176,318.0,74.9,0
1778020504.539,7456176,320.0,76.0,0
1778020506.562,7456176,322.0,75.45,0
1778020508.586,7456176,324.0,77.65,0
1778020510.602,7456176,326.0,76.0,0
1778020512.624,7456176,328.0,76.0,0
1778020514.646,7456176,329.0,75.45,0
1778020516.672,7456176,331.0,73.25,0
1778020518.704,7456176,332.0,71.6,0
1778020520.73,7456176,334.0,72.15,0
1778020522.764,7456176,335.0,71.05,0
1778020524.788,7456176,336.0,71.6,0
1778020526.812,7456176,337.0,70.5,0
1778020528.836,7456176,339.0,71.05,0
1778020530.871,7456176,340.0,71.6,0
1778020532.892,7456176,341.0,69.95,0
1778020534.916,7456176,342.0,71.6,0
1778020536.938,7456176,343.0,72.15,0
1778020538.964,7456176,343.0,71.05,0
1778020540.981,7468976,344.0,72.15,0
1778020543.001,7468976,345.0,71.05,0
1778020545.019,7468976,346.0,71.05,0
1778020547.04,7468976,347.0,74.9,0
1778020549.062,7468976,348.0,73.8,0
1778020551.086,7468976,349.0,76.0,0
1778020553.113,7468976,350.0,77.1,0
1778020555.138,7468976,350.0,74.9,0
1778020557.164,7468976,351.0,76.55,0
1778020559.188,7468976,352.0,74.35,0
1778020561.211,7468976,352.0,76.0,0
1778020563.236,7468976,353.0,74.35,0
1778020565.263,7468976,354.0,73.8,0
1778020567.283,7503280,354.0,73.25,0
1778020569.301,7503280,355.0,71.05,0
1778020571.32,7503280,355.0,71.6,0
1778020573.348,7503280,356.0,70.5,0
1778020575.372,7503280,356.0,69.95,0
1778020577.4,7503280,356.0,70.5,0
1778020579.418,7503280,357.0,70.5,0
1778020581.443,7503280,358.0,70.5,0
1778020583.463,7503280,358.0,68.85,0
1778020585.49,7503280,359.0,72.7,0
1778020587.521,7503280,359.0,73.8,0
1778020589.546,7503280,360.0,75.45,0
1778020591.57,7503280,360.0,75.45,0
1778020593.598,7503280,360.0,76.0,0
1778020595.623,7503280,361.0,76.55,0
1778020597.641,7503280,361.0,77.1,0
1778020599.667,7503280,361.0,74.35,0
1778020601.692,7503280,362.0,75.45,0
1778020603.712,7503280,362.0,72.7,0
1778020605.726,7503280,363.0,72.15,0
1778020607.746,7503280,363.0,71.6,0
1778020609.764,7503280,363.0,71.05,0
1778020611.786,7503280,363.0,69.95,0
1778020613.812,7503280,364.0,71.6,0
1778020615.832,7503280,364.0,69.4,0
1778020617.852,7503280,364.0,71.05,0
1778020619.887,7503280,364.0,69.95,0
1778020621.908,7503280,365.0,70.5,0
1778020623.93,7503280,365.0,71.6,0
1778020625.951,7503280,365.0,72.15,0
1778020627.974,7503280,366.0,71.6,0
1778020629.996,7503280,366.0,73.25,0
1778020632.016,7503280,366.0,74.35,0
1778020634.031,7503280,367.0,75.45,0
1778020636.055,7503280,367.0,76.0,0
1778020638.076,7503280,367.0,76.0,0
1778020640.1,7503280,367.0,74.9,0
1778020642.124,7503280,368.0,73.8,0
1778020644.154,7503280,368.0,71.6,0
1778020646.176,7503280,368.0,72.15,0
1778020648.199,7503280,368.0,70.5,0
1778020650.224,7503280,368.0,69.95,0
1778020652.252,7503280,368.0,70.5,0
1778020654.274,7503280,369.0,70.5,0
1778020656.3,7503280,369.0,70.5,0
1778020658.325,7503280,369.0,69.95,0
1778020660.374,7503280,369.0,69.95,0
1778020662.396,7503280,369.0,69.95,0
1778020664.514,7510960,370.0,72.15,0
1778020666.538,7510960,370.0,71.6,0
1778020668.565,7510960,370.0,74.9,0
1778020670.588,7510960,370.0,75.45,0
1778020672.612,7510960,371.0,75.45,0
1778020674.638,7510960,371.0,75.45,0
1778020676.663,7510960,371.0,75.45,0
1778020678.692,7510960,371.0,74.9,0
1778020680.711,7510960,371.0,73.25,0
1778020682.726,7510960,371.0,72.15,0
1778020684.748,7510960,372.0,71.6,0
1778020686.772,7510960,372.0,71.6,0
1778020688.796,7510960,372.0,70.5,0
1778020690.817,7522224,372.0,71.05,0
1778020692.835,7522224,372.0,70.5,0
1778020694.855,7522224,372.0,71.6,0
1778020696.878,7522224,373.0,71.6,0
1778020698.904,7522224,373.0,74.9,0
1778020700.923,7522224,373.0,74.35,0
1778020702.946,7522224,373.0,76.0,0
1778020704.974,7522224,373.0,76.55,0
1778020707.0,7522224,373.0,76.55,0
1778020709.025,7522224,373.0,75.45,0
1778020711.046,7522224,374.0,75.45,0
1778020713.074,7522224,374.0,74.9,0
1778020715.096,7522224,374.0,76.55,0
1778020717.116,7522224,374.0,73.8,0
1778020719.134,7522224,374.0,69.95,0
1778020721.158,7522224,374.0,70.5,0
1778020723.184,7522224,374.0,71.05,0
1778020725.199,7522224,374.0,71.6,0
1778020727.227,7522224,375.0,69.95,0
1778020729.247,7536048,375.0,70.5,0
1778020731.267,7536048,375.0,71.05,0
1778020733.294,7536048,375.0,71.6,0
1778020735.314,7536048,375.0,73.8,0
1778020737.342,7536048,375.0,75.45,0
1778020739.372,7536048,375.0,75.45,0
1778020741.392,7536048,375.0,75.45,0
1778020743.415,7536048,376.0,76.0,0
1778020745.44,7536048,376.0,76.0,0
1778020747.457,7536048,376.0,73.8,0
1778020749.484,7536048,376.0,71.6,0
1778020751.531,7536048,376.0,71.6,0
1778020753.556,7536048,376.0,71.05,0
1778020755.605,7536048,376.0,71.05,0
1778020757.628,7536048,376.0,69.95,0
