elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778008710.751,9520,0.0,55.1,0
1778008712.765,3177888,98.0,56.2,0
1778008714.777,4375776,85.1,56.75,0
1778008716.787,4444880,98.1,56.2,0
1778008718.796,4570864,74.6,55.65,0
1778008720.808,4682720,60.7,56.2,0
1778008722.828,4723312,84.9,62.25,0
1778008724.846,4855408,124.0,65.55,0
1778008726.862,4855408,153.0,66.1,0
1778008728.88,4855920,176.0,68.85,0
1778008730.902,4855920,195.0,69.95,0
1778008732.927,4855920,211.0,71.6,0
1778008734.954,4855920,223.0,69.95,0
1778008736.978,4855920,234.0,72.7,0
1778008739.006,4855920,243.0,72.7,0
1778008741.03,4855920,251.0,74.9,0
1778008743.057,4855920,258.0,73.8,0
1778008745.084,4907120,265.0,74.9,0
1778008747.106,4907120,271.0,76.55,0
1778008749.125,4910192,276.0,73.8,0
1778008751.145,4910192,280.0,71.6,0
1778008753.163,4910192,283.0,70.5,0
1778008755.189,4910192,286.0,70.5,0
1778008757.213,4910192,289.0,69.95,0
1778008759.236,4910192,291.0,68.85,0
1778008761.264,4910192,294.0,69.95,0
1778008763.279,4910192,296.0,68.85,0
1778008765.301,4910192,298.0,70.5,0
1778008767.326,4910192,300.0,69.95,0
1778008769.349,4910192,302.0,68.85,0
1778008771.373,4910192,303.0,70.5,0
1778008773.392,4910192,305.0,69.4,0
1778008775.409,4910192,307.0,69.4,0
1778008777.431,4910192,308.0,70.5,0
1778008779.453,4910192,309.0,69.95,0
1778008781.471,4910192,310.0,69.95,0
1778008783.5,4910192,311.0,68.85,0
1778008785.529,4910192,313.0,70.5,0
1778008787.556,4910192,314.0,68.85,0
1778008789.572,4910192,315.0,69.95,0
1778008791.592,4910192,316.0,70.5,0
1778008793.613,4910192,317.0,69.95,0
1778008795.634,4910192,317.0,69.95,0
1778008797.656,4910192,318.0,67.75,0
1778008799.683,4980128,319.0,68.3,0
1778008801.707,4980128,320.0,72.15,0
1778008803.728,4980128,321.0,71.6,0
1778008805.751,4980128,322.0,72.15,0
1778008807.769,4980128,322.0,72.7,0
1778008809.794,4980128,323.0,73.8,0
1778008811.93,4980128,324.0,73.8,0
1778008813.963,4980128,325.0,72.7,0
1778008815.986,4980128,325.0,73.25,0
1778008818.003,5031840,327.0,74.9,0
1778008820.028,5031840,327.0,73.8,0
1778008822.049,5031840,328.0,69.4,0
1778008824.07,5031840,328.0,70.5,0
1778008826.093,5031840,329.0,69.4,0
1778008828.119,5031840,329.0,69.4,0
1778008830.155,5031840,329.0,68.85,0
1778008832.184,5031840,330.0,68.85,0
1778008834.204,5031840,330.0,68.3,0
1778008836.222,5031840,331.0,68.85,0
1778008838.246,5031840,331.0,69.4,0
1778008840.265,5031840,331.0,68.85,0
1778008842.279,5031840,332.0,69.4,0
1778008844.304,5031840,332.0,68.3,0
1778008846.323,5031840,332.0,69.4,0
1778008848.338,5031840,333.0,69.4,0
1778008850.396,5031840,333.0,68.85,0
1778008852.422,5031840,333.0,69.95,0
1778008854.444,5031840,333.0,68.3,0
1778008856.46,5031840,334.0,67.75,0
1778008858.483,5031840,334.0,67.75,0
1778008860.522,5031840,334.0,69.4,0
1778008862.548,5031840,334.0,69.4,0
1778008864.569,5031840,335.0,68.85,0
1778008866.592,5031840,335.0,68.85,0
1778008868.609,5031840,335.0,69.4,0
1778008870.626,5101504,335.0,69.95,0
1778008872.654,5101504,336.0,71.05,0
1778008874.687,5101504,336.0,72.15,0
1778008876.72,5101504,336.0,72.7,0
1778008878.741,5101504,337.0,74.9,0
1778008880.766,5101504,337.0,71.6,0
1778008882.786,5101504,337.0,73.25,0
1778008884.812,5101504,338.0,75.45,0
1778008886.838,5101504,338.0,74.9,0
1778008888.858,5101504,338.0,74.35,0
1778008890.886,5101504,339.0,75.45,0
1778008892.908,5153216,339.0,76.0,0
1778008894.936,5153216,339.0,74.35,0
1778008896.958,5153216,340.0,72.7,0
1778008898.975,5153216,340.0,71.6,0
1778008900.993,5153216,340.0,69.4,0
1778008903.013,5153216,340.0,68.85,0
1778008905.033,5153216,340.0,68.85,0
1778008907.051,5153216,340.0,70.5,0
1778008909.076,5153216,340.0,67.75,0
1778008911.093,5153216,341.0,68.3,0
1778008913.118,5153216,341.0,69.4,0
1778008915.137,5153216,341.0,67.75,0
1778008917.16,5153216,341.0,67.75,0
1778008919.187,5153216,341.0,67.75,0
1778008921.21,5221936,341.0,72.15,0
1778008923.234,5221936,341.0,73.25,0
1778008925.255,5221936,342.0,73.25,0
1778008927.278,5221936,342.0,72.7,0
1778008929.307,5221936,342.0,72.7,0
1778008931.332,5221936,342.0,74.9,0
1778008933.358,5221936,342.0,74.35,0
1778008935.38,5221936,343.0,74.35,0
1778008937.404,5221936,343.0,74.9,0
1778008939.426,5221936,343.0,74.35,0
1778008941.452,5273136,343.0,76.0,0
1778008943.474,5273136,344.0,72.7,0
1778008945.498,5273136,344.0,70.5,0
1778008947.512,5273136,344.0,69.95,0
1778008949.525,5273136,344.0,69.95,0
1778008951.548,5273136,344.0,68.85,0
1778008953.568,5273136,344.0,69.95,0
1778008955.608,5273136,344.0,68.85,0
1778008957.634,5273136,344.0,68.3,0
1778008959.66,5273136,344.0,67.75,0
1778008961.686,5273136,344.0,68.3,0
1778008963.704,5273136,344.0,69.4,0
1778008965.721,5273136,344.0,68.3,0
1778008967.745,5273136,345.0,67.75,0
1778008969.873,5273136,345.0,67.2,0
1778008971.902,5273136,345.0,67.75,0
1778008973.92,5273136,345.0,68.3,0
1778008975.937,5273136,345.0,67.75,0
1778008977.952,5273136,345.0,68.85,0
1778008979.987,5273136,345.0,67.2,0
1778008982.006,5273136,345.0,68.3,0
1778008984.024,5273136,345.0,68.3,0
1778008986.046,5273136,345.0,69.4,0
1778008988.07,5273136,345.0,67.75,0
1778008990.09,5273136,345.0,67.75,0
1778008992.108,5273136,345.0,68.3,0
1778008994.13,5273136,345.0,67.2,0
