elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778010343.779,8080,0.0,63.35,0
1778010345.789,666208,82.5,62.8,0
1778010347.801,1006720,42.6,59.5,0
1778010349.812,1471120,29.8,59.5,0
1778010351.824,2152080,23.6,57.85,0
1778010353.848,4531568,39.1,62.25,0
1778010355.872,4534672,82.2,66.1,0
1778010357.891,4666256,122.0,67.75,0
1778010359.908,4666256,155.0,70.5,0
1778010361.933,4666256,179.0,71.05,0
1778010363.953,4666256,199.0,72.15,0
1778010365.968,4666256,214.0,71.6,0
1778010367.986,4666256,228.0,73.8,0
1778010370.008,4666256,239.0,73.25,0
1778010372.031,4666256,249.0,74.9,0
1778010374.052,4666256,257.0,73.8,0
1778010376.069,4717456,264.0,75.45,0
1778010378.09,4717456,272.0,76.55,0
1778010380.11,4720528,277.0,72.7,0
1778010382.129,4720528,281.0,72.7,0
1778010384.149,4720528,285.0,71.6,0
1778010386.173,4720528,289.0,71.05,0
1778010388.187,4720528,292.0,69.4,0
1778010390.203,4720528,295.0,69.4,0
1778010392.224,4720528,297.0,69.4,0
1778010394.241,4720528,300.0,69.4,0
1778010396.265,4720528,302.0,68.85,0
1778010398.29,4720528,304.0,68.85,0
1778010400.308,4720528,306.0,69.95,0
1778010402.345,4720528,308.0,70.5,0
1778010404.359,4720528,309.0,69.95,0
1778010406.384,4720528,311.0,69.4,0
1778010408.411,4720528,312.0,69.4,0
1778010410.44,4720528,313.0,70.5,0
1778010412.454,4720528,314.0,68.85,0
1778010414.476,4720528,316.0,68.85,0
1778010416.5,4720528,317.0,68.85,0
1778010418.521,4720528,318.0,69.4,0
1778010420.544,4720528,319.0,69.4,0
1778010422.565,4720528,320.0,69.4,0
1778010424.576,4777376,321.0,70.5,0
1778010426.588,4777376,322.0,72.15,0
1778010428.61,4777376,323.0,73.25,0
1778010430.639,4777376,325.0,73.8,0
1778010432.654,4777376,326.0,72.7,0
1778010434.678,4777376,327.0,75.45,0
1778010436.705,4777376,328.0,75.45,0
1778010438.73,4777376,329.0,77.1,0
1778010440.748,4829088,330.0,73.8,0
1778010442.774,4829088,331.0,73.8,0
1778010444.8,4829088,331.0,71.6,0
1778010446.825,4829088,332.0,72.15,0
1778010448.841,4829088,332.0,71.6,0
1778010450.861,4829088,333.0,68.85,0
1778010452.879,4829088,333.0,70.5,0
1778010454.893,4829088,334.0,69.4,0
1778010456.95,4829088,334.0,70.5,0
1778010458.977,4829088,335.0,69.95,0
1778010460.993,4829088,335.0,69.95,0
1778010463.01,4829088,335.0,69.4,0
1778010465.038,4829088,336.0,69.95,0
1778010467.062,4829088,336.0,69.95,0
1778010469.079,4829088,336.0,69.95,0
1778010471.1,4829088,337.0,70.5,0
1778010473.128,4829088,337.0,69.95,0
1778010475.154,4829088,337.0,68.3,0
1778010477.184,4829088,338.0,68.85,0
1778010479.202,4829088,338.0,68.85,0
1778010481.221,4829088,338.0,69.4,0
1778010483.24,4829088,338.0,69.4,0
1778010485.257,4829088,339.0,70.5,0
1778010487.282,4888912,339.0,73.25,0
1778010489.304,4888912,340.0,72.7,0
1778010491.331,4888912,340.0,75.45,0
1778010493.345,4888912,341.0,73.8,0
1778010495.366,4888912,341.0,74.35,0
1778010497.386,4888912,341.0,75.45,0
1778010499.401,4888912,342.0,77.1,0
1778010501.422,4888912,342.0,76.0,0
1778010503.446,4888912,343.0,74.35,0
1778010505.467,4888912,343.0,76.55,0
1778010507.492,4940624,343.0,74.9,0
1778010509.511,4940624,344.0,76.55,0
1778010511.528,4940624,344.0,73.25,0
1778010513.548,4940624,344.0,72.15,0
1778010515.563,4940624,344.0,71.05,0
1778010517.581,4940624,345.0,69.4,0
1778010519.595,4940624,345.0,69.95,0
1778010521.609,4940624,345.0,69.4,0
1778010523.624,4997072,345.0,70.5,0
1778010525.648,4997072,345.0,73.8,0
