elapsed_sec,rss_kb,cpu_pct,thermal_max_c,vcgencmd_throttled
1778013156.22,8064,0.0,66.65,0
1778013158.231,3284560,98.5,63.9,0
1778013160.252,4568320,187.0,68.85,0
1778013162.278,4699904,244.0,71.05,0
1778013164.308,4699904,278.0,72.15,0
1778013166.333,4699904,296.0,71.05,0
1778013168.354,4699904,308.0,73.25,0
1778013170.375,4699904,317.0,73.25,0
1778013172.404,4699904,324.0,75.45,0
1778013174.426,4699904,329.0,74.35,0
1778013176.445,4699904,334.0,74.9,0
1778013178.473,4699904,338.0,76.55,0
1778013180.5,4699904,340.0,74.9,0
1778013182.522,4751616,344.0,76.55,0
1778013184.539,4754688,346.0,72.15,0
1778013186.566,4754688,347.0,71.6,0
1778013188.581,4754688,347.0,70.5,0
1778013190.596,4754688,347.0,68.85,0
1778013192.613,4754688,348.0,71.05,0
1778013194.639,4754688,348.0,69.95,0
1778013196.662,4754688,349.0,69.4,0
1778013198.675,4754688,349.0,67.75,0
1778013200.703,4754688,349.0,68.85,0
1778013202.743,4754688,350.0,68.85,0
1778013204.77,4754688,350.0,68.85,0
1778013206.787,4754688,350.0,69.95,0
1778013208.806,4754688,351.0,68.3,0
1778013210.828,4754688,351.0,69.95,0
1778013212.855,4754688,351.0,68.3,0
1778013214.87,4754688,351.0,70.5,0
1778013216.898,4754688,351.0,69.95,0
1778013218.924,4754688,351.0,67.2,0
1778013220.952,4754688,352.0,69.95,0
1778013222.974,4754688,352.0,69.95,0
1778013224.997,4754688,352.0,68.85,0
1778013227.021,4754688,352.0,67.75,0
1778013229.035,4754688,352.0,69.95,0
1778013231.054,4813712,352.0,70.5,0
1778013233.07,4813712,353.0,71.6,0
1778013235.083,4813712,353.0,68.85,0
1778013237.125,4813712,353.0,69.4,0
1778013239.144,4813712,353.0,69.95,0
1778013241.2,4813712,353.0,70.5,0
1778013243.213,4813712,353.0,69.95,0
1778013245.257,4813712,353.0,70.5,0
1778013247.281,4813712,353.0,68.85,0
1778013249.335,4813712,354.0,69.4,0
1778013251.355,4813712,354.0,69.95,0
1778013253.411,4813712,354.0,68.85,0
1778013255.43,4813712,354.0,69.95,0
1778013257.488,4813712,354.0,71.05,0
1778013259.504,4813712,354.0,69.4,0
1778013261.531,4813712,354.0,69.4,0
1778013263.548,4813712,354.0,69.4,0
1778013265.569,4813712,354.0,68.85,0
1778013267.588,4813712,354.0,69.4,0
1778013269.606,4869520,354.0,72.15,0
1778013271.628,4869520,355.0,74.9,0
1778013273.651,4869520,355.0,74.35,0
1778013275.679,4869520,355.0,73.8,0
1778013277.704,4869520,356.0,74.9,0
1778013279.732,4869520,356.0,74.35,0
1778013281.754,4869520,356.0,74.35,0
1778013283.776,4869520,356.0,74.35,0
1778013285.798,4869520,357.0,74.35,0
1778013287.827,4869520,357.0,74.35,0
1778013289.949,4921232,357.0,74.35,0
1778013291.976,4921232,358.0,75.45,0
1778013294.005,4921744,358.0,73.25,0
1778013296.02,4921744,358.0,70.5,0
1778013298.032,4921744,358.0,70.5,0
1778013300.047,4921744,358.0,70.5,0
1778013302.067,4921744,358.0,69.95,0
1778013304.096,4921744,358.0,70.5,0
1778013306.115,4921744,358.0,70.5,0
1778013308.133,4921744,358.0,68.85,0
1778013310.152,4921744,358.0,69.95,0
1778013312.215,4921744,358.0,69.4,0
1778013314.24,4921744,358.0,69.95,0
1778013316.269,4921744,358.0,68.85,0
1778013318.286,4921744,358.0,68.85,0
1778013320.308,4980816,358.0,71.05,0
1778013322.33,4980816,358.0,74.9,0
1778013324.356,4980816,358.0,74.35,0
1778013326.384,4980816,358.0,76.0,0
1778013328.404,4980816,358.0,73.8,0
1778013330.42,4980816,358.0,73.25,0
1778013332.454,4980816,359.0,74.9,0
1778013334.479,4980816,359.0,75.45,0
1778013336.5,4980816,359.0,73.8,0
1778013338.511,5032016,359.0,76.0,0
1778013340.536,5032016,360.0,76.0,0
1778013342.556,5032016,360.0,72.15,0
1778013344.572,5032016,360.0,71.6,0
1778013346.589,5032016,360.0,71.05,0
1778013348.605,5032016,360.0,70.5,0
1778013350.658,5032016,360.0,68.85,0
1778013352.681,5032016,359.0,68.85,0
1778013354.709,5032016,359.0,68.3,0
1778013356.735,5032016,359.0,69.4,0
1778013358.749,5032016,359.0,69.95,0
1778013360.769,5032016,359.0,69.4,0
1778013362.793,5032016,359.0,68.3,0
1778013364.815,5032016,359.0,68.85,0
1778013366.833,5032016,359.0,68.85,0
1778013368.884,5032016,359.0,69.4,0
1778013370.903,5032016,359.0,69.4,0
1778013372.924,5032016,359.0,69.4,0
1778013374.947,5032016,359.0,69.4,0
1778013376.976,5032016,359.0,68.3,0
1778013378.987,5032016,359.0,69.95,0
1778013381.002,5032016,359.0,68.85,0
1778013383.043,5032016,359.0,69.4,0
1778013385.068,5032016,359.0,68.85,0
1778013387.091,5032016,359.0,69.95,0
1778013389.114,5091184,359.0,71.6,0
1778013391.143,5091184,359.0,73.8,0
1778013393.27,5091184,359.0,73.25,0
1778013395.292,5091184,359.0,76.0,0
1778013397.323,5091184,360.0,74.35,0
1778013399.338,5091184,360.0,74.9,0
1778013401.364,5142384,360.0,75.45,0
1778013403.394,5142384,360.0,72.7,0
1778013405.422,5142384,360.0,71.05,0
1778013407.437,5142384,360.0,71.6,0
1778013409.46,5142384,360.0,69.95,0
1778013411.49,5142384,360.0,68.3,0
1778013413.508,5142384,360.0,69.4,0
1778013415.526,5142384,360.0,68.3,0
1778013417.555,5142384,360.0,70.5,0
1778013419.571,5142384,360.0,68.85,0
1778013421.624,5142384,360.0,69.4,0
1778013423.644,5142384,360.0,68.85,0
1778013425.662,5142384,360.0,69.4,0
1778013427.689,5199088,360.0,71.05,0
1778013429.714,5199088,360.0,73.8,0
1778013431.735,5199088,360.0,73.8,0
1778013433.76,5199088,360.0,74.9,0
1778013435.784,5199088,360.0,75.45,0
1778013437.906,5199088,360.0,74.35,0
1778013439.928,5199088,360.0,74.9,0
1778013441.952,5199088,360.0,74.35,0
1778013443.974,5250288,361.0,73.8,0
1778013445.996,5250288,361.0,76.55,0
1778013448.02,5250288,361.0,72.15,0
1778013450.039,5250288,361.0,69.95,0
1778013452.054,5250288,361.0,71.05,0
